42897   , -18961.1    , array([ 1.27018    ,  0.9491     ,  2.58923    ,  2.58793    ,  4.90983    ])
42898   , -3710.54    , array([ 1.27018    ,  0.213143   ,  2.58923    ,  2.58793    ,  4.90983    ])
42899   , -21977.6    , array([ 1.27018    ,  0.0696321  ,  2.58923    ,  2.58793    ,  4.90983    ])
42900   , -3369.67    , array([ 1.27018    ,  0.303313   ,  2.58923    ,  2.58793    ,  4.90983    ])
42901   , -3183.81    , array([ 1.27018    ,  0.275674   ,  2.58923    ,  2.58793    ,  4.90983    ])
42902   , -3220.1     , array([ 1.27018    ,  0.247758   ,  2.58923    ,  2.58793    ,  4.90983    ])
42903   , -3183.81    , array([ 1.27018    ,  0.275674   ,  2.58923    ,  2.58793    ,  4.90983    ])
42904   , -4365.34    , array([ 1.27018    ,  0.275674   ,  3.58923    ,  2.58793    ,  4.90983    ])
42905   , -4418.74    , array([ 1.27018    ,  0.275674   ,  0.971191   ,  2.58793    ,  4.90983    ])
42906   , -3183.81    , array([ 1.27018    ,  0.275674   ,  2.58923    ,  2.58793    ,  4.90983    ])
42907   , -2958.64    , array([ 1.27018    ,  0.275674   ,  1.97119    ,  2.58793    ,  4.90983    ])
42908   , -3167.11    , array([ 1.27018    ,  0.275674   ,  1.58923    ,  2.58793    ,  4.90983    ])
42909   , -2954.91    , array([ 1.27018    ,  0.275674   ,  2.08005    ,  2.58793    ,  4.90983    ])
42910   , -2953.75    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.58793    ,  4.90983    ])
42911   , -2953.76    , array([ 1.27018    ,  0.275674   ,  2.04751    ,  2.58793    ,  4.90983    ])
42912   , -2953.8     , array([ 1.27018    ,  0.275674   ,  2.03657    ,  2.58793    ,  4.90983    ])
42913   , -2953.75    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.58793    ,  4.90983    ])
42914   , -3410.45    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  3.58793    ,  4.90983    ])
42915   , -9561.47    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  0.969895   ,  4.90983    ])
42916   , -2953.75    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.58793    ,  4.90983    ])
42917   , -3718.92    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  1.96989    ,  4.90983    ])
42918   , -2958.69    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.96989    ,  4.90983    ])
42919   , -2922.43    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.77375    ,  4.90983    ])
42920   , -2922.41    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.77189    ,  4.90983    ])
42921   , -2922.37    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.90983    ])
42922   , -2922.38    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.7644     ,  4.90983    ])
42923   , -2922.38    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76797    ,  4.90983    ])
42924   , -2922.37    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.90983    ])
42926   , -2994.9     , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  3.2918     ])
42927   , -2922.37    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.90983    ])
42928   , -2939.32    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.2918     ])
42930   , -2929.78    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.60081    ])
42932   , -2924.99    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.7918     ])
42933   , -2921.22    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.96556    ])
42935   , -2921.66    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.94427    ])
42936   , -2920.96    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.97871    ])
42937   , -2920.8     , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.98684    ])
42938   , -2920.7     , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99187    ])
42939   , -2920.64    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99498    ])
