94177   , -6062.16    , array([ 0.0115173  ,  0.00297345 ,  1.11263e-41,  0.00278047 ,  0.00085843 ])
94178   , -6072.94    , array([ 0.0115058  ,  0.00297643 ,  1.11263e-41,  0.00278047 ,  0.00085843 ])
94179   , -6068.14    , array([ 0.0115058  ,  0.00297345 ,  1.11375e-41,  0.00278047 ,  0.00085843 ])
94180   , -6068.14    , array([ 0.0115058  ,  0.00297345 ,  1.11263e-41,  0.00278325 ,  0.00085843 ])
94181   , -6069.26    , array([ 0.0115058  ,  0.00297345 ,  1.11263e-41,  0.00278047 ,  0.000859289])
94182   , -6068.11    , array([ 0.0115074  ,  0.00297385 ,  1.11263e-41,  0.00278047 ,  0.000858546])
94183   , -6068.11    , array([ 0.0115074  ,  0.00297385 ,  1.11263e-41,  0.00278047 ,  0.000858546])
94184   , -6062.13    , array([ 0.0115189  ,  0.00297385 ,  1.11263e-41,  0.00278047 ,  0.000858546])
94185   , -6072.91    , array([ 0.0115074  ,  0.00297682 ,  1.11263e-41,  0.00278047 ,  0.000858546])
94186   , -6068.11    , array([ 0.0115074  ,  0.00297385 ,  1.11375e-41,  0.00278047 ,  0.000858546])
94187   , -6068.11    , array([ 0.0115074  ,  0.00297385 ,  1.11263e-41,  0.00278325 ,  0.000858546])
94188   , -6069.22    , array([ 0.0115074  ,  0.00297385 ,  1.11263e-41,  0.00278047 ,  0.000859405])
94196   , -6068.1     , array([ 0.0115078  ,  0.00297395 ,  1.11263e-41,  0.00278047 ,  0.000858575])
94197   , -6068.1     , array([ 0.0115078  ,  0.00297395 ,  1.11263e-41,  0.00278047 ,  0.000858575])
94198   , -6062.12    , array([ 0.0115193  ,  0.00297395 ,  1.11263e-41,  0.00278047 ,  0.000858575])
94199   , -6072.9     , array([ 0.0115078  ,  0.00297692 ,  1.11263e-41,  0.00278047 ,  0.000858575])
94200   , -6068.1     , array([ 0.0115078  ,  0.00297395 ,  1.11375e-41,  0.00278047 ,  0.000858575])
94201   , -6068.1     , array([ 0.0115078  ,  0.00297395 ,  1.11263e-41,  0.00278325 ,  0.000858575])
94202   , -6069.21    , array([ 0.0115078  ,  0.00297395 ,  1.11263e-41,  0.00278047 ,  0.000859434])
94203   , -6068.09    , array([ 0.0115081  ,  0.00297405 ,  1.11263e-41,  0.00278047 ,  0.000858603])
94204   , -6068.09    , array([ 0.0115081  ,  0.00297405 ,  1.11263e-41,  0.00278047 ,  0.000858603])
94205   , -6062.11    , array([ 0.0115197  ,  0.00297405 ,  1.11263e-41,  0.00278047 ,  0.000858603])
94206   , -6072.89    , array([ 0.0115081  ,  0.00297702 ,  1.11263e-41,  0.00278047 ,  0.000858603])
94207   , -6068.09    , array([ 0.0115081  ,  0.00297405 ,  1.11375e-41,  0.00278047 ,  0.000858603])
94208   , -6068.09    , array([ 0.0115081  ,  0.00297405 ,  1.11263e-41,  0.00278325 ,  0.000858603])
94209   , -6069.21    , array([ 0.0115081  ,  0.00297405 ,  1.11263e-41,  0.00278047 ,  0.000859462])
94210   , -5386.74    , array([ 1.53615    ,  0.34967    ,  1.11263e-41,  0.00277762 ,  0.105889   ])
94211   , -5386.74    , array([ 1.53615    ,  0.34967    ,  1.11263e-41,  0.00277762 ,  0.105889   ])
94212   , -5385.17    , array([ 1.53769    ,  0.34967    ,  1.11263e-41,  0.00277762 ,  0.105889   ])
94213   , -5391.74    , array([ 1.53615    ,  0.350019   ,  1.11263e-41,  0.00277762 ,  0.105889   ])
94214   , -5386.74    , array([ 1.53615    ,  0.34967    ,  1.11375e-41,  0.00277762 ,  0.105889   ])
94215   , -5386.74    , array([ 1.53615    ,  0.34967    ,  1.11263e-41,  0.0027804  ,  0.105889   ])
94216   , -5388.14    , array([ 1.53615    ,  0.34967    ,  1.11263e-41,  0.00277762 ,  0.105995   ])
94217   , -6013.14    , array([ 0.0142574  ,  0.00366413 ,  1.11263e-41,  0.00278034 ,  0.00106005 ])
94218   , -6013.14    , array([ 0.0142574  ,  0.00366413 ,  1.11263e-41,  0.00278034 ,  0.00106005 ])
94219   , -6007.2     , array([ 0.0142717  ,  0.00366413 ,  1.11263e-41,  0.00278034 ,  0.00106005 ])
94220   , -6017.89    , array([ 0.0142574  ,  0.0036678  ,  1.11263e-41,  0.00278034 ,  0.00106005 ])
94221   , -6013.14    , array([ 0.0142574  ,  0.00366413 ,  1.11375e-41,  0.00278034 ,  0.00106005 ])
94222   , -6013.14    , array([ 0.0142574  ,  0.00366413 ,  1.11263e-41,  0.00278313 ,  0.00106005 ])
94223   , -6014.23    , array([ 0.0142574  ,  0.00366413 ,  1.11263e-41,  0.00278034 ,  0.00106111 ])
94224   , -3996.71    , array([ 0.338692   ,  0.0801783  ,  1.11263e-41,  0.0027785  ,  0.0239244  ])
