308478  , -24199.4    , array([ 0.800214   ,  0.909163   ,  1.13362e-15,  0.203114   ,  0.246909   ])
308479  , -24199.4    , array([ 0.800214   ,  0.909163   ,  1.13362e-15,  0.203114   ,  0.246909   ])
308480  , -24178.6    , array([ 0.801015   ,  0.909163   ,  1.13362e-15,  0.203114   ,  0.246909   ])
308481  , -24208.9    , array([ 0.800214   ,  0.910073   ,  1.13362e-15,  0.203114   ,  0.246909   ])
308482  , -24199.4    , array([ 0.800214   ,  0.909163   ,  1.13476e-15,  0.203114   ,  0.246909   ])
308483  , -24198.9    , array([ 0.800214   ,  0.909163   ,  1.13362e-15,  0.203317   ,  0.246909   ])
308484  , -24217.1    , array([ 0.800214   ,  0.909163   ,  1.13362e-15,  0.203114   ,  0.247156   ])
308492  , -24195.1    , array([ 0.800496   ,  0.908735   ,  1.13362e-15,  0.203108   ,  0.247012   ])
308493  , -24195.1    , array([ 0.800496   ,  0.908735   ,  1.13362e-15,  0.203108   ,  0.247012   ])
308494  , -24174.2    , array([ 0.801297   ,  0.908735   ,  1.13362e-15,  0.203108   ,  0.247012   ])
308495  , -24204.5    , array([ 0.800496   ,  0.909644   ,  1.13362e-15,  0.203108   ,  0.247012   ])
308496  , -24195.1    , array([ 0.800496   ,  0.908735   ,  1.13476e-15,  0.203108   ,  0.247012   ])
308497  , -24194.5    , array([ 0.800496   ,  0.908735   ,  1.13362e-15,  0.203311   ,  0.247012   ])
308498  , -24212.8    , array([ 0.800496   ,  0.908735   ,  1.13362e-15,  0.203108   ,  0.24726    ])
308499  , -24156.1    , array([ 0.803052   ,  0.904867   ,  1.13362e-15,  0.203051   ,  0.247955   ])
308500  , -24156.1    , array([ 0.803052   ,  0.904867   ,  1.13362e-15,  0.203051   ,  0.247955   ])
308501  , -24135.3    , array([ 0.803855   ,  0.904867   ,  1.13362e-15,  0.203051   ,  0.247955   ])
308502  , -24165.5    , array([ 0.803052   ,  0.905773   ,  1.13362e-15,  0.203051   ,  0.247955   ])
308503  , -24156.1    , array([ 0.803052   ,  0.904867   ,  1.13476e-15,  0.203051   ,  0.247955   ])
308504  , -24155.5    , array([ 0.803052   ,  0.904867   ,  1.13362e-15,  0.203254   ,  0.247955   ])
308505  , -24173.9    , array([ 0.803052   ,  0.904867   ,  1.13362e-15,  0.203051   ,  0.248203   ])
308506  , -135903     , array([ 6.33309    ,  0.0570795  ,  1.13362e-15,  0.169607   ,  2.92096    ])
308507  , -135903     , array([ 6.33309    ,  0.0570795  ,  1.13362e-15,  0.169607   ,  2.92096    ])
308508  , -135915     , array([ 6.33942    ,  0.0570795  ,  1.13362e-15,  0.169607   ,  2.92096    ])
308509  , -135864     , array([ 6.33309    ,  0.0571366  ,  1.13362e-15,  0.169607   ,  2.92096    ])
308510  , -135903     , array([ 6.33309    ,  0.0570795  ,  1.13476e-15,  0.169607   ,  2.92096    ])
308511  , -135866     , array([ 6.33309    ,  0.0570795  ,  1.13362e-15,  0.169777   ,  2.92096    ])
308512  , -135901     , array([ 6.33309    ,  0.0570795  ,  1.13362e-15,  0.169607   ,  2.92389    ])
308513  , -23335.7    , array([ 0.893391   ,  0.784573   ,  1.13362e-15,  0.201174   ,  0.281622   ])
308514  , -23335.7    , array([ 0.893391   ,  0.784573   ,  1.13362e-15,  0.201174   ,  0.281622   ])
308515  , -23316      , array([ 0.894285   ,  0.784573   ,  1.13362e-15,  0.201174   ,  0.281622   ])
308516  , -23341.7    , array([ 0.893391   ,  0.785358   ,  1.13362e-15,  0.201174   ,  0.281622   ])
308517  , -23335.7    , array([ 0.893391   ,  0.784573   ,  1.13476e-15,  0.201174   ,  0.281622   ])
308518  , -23334.6    , array([ 0.893391   ,  0.784573   ,  1.13362e-15,  0.201375   ,  0.281622   ])
308519  , -23356.4    , array([ 0.893391   ,  0.784573   ,  1.13362e-15,  0.201174   ,  0.281904   ])
308520  , -22023.2    , array([ 1.24498    ,  0.771684   ,  1.13362e-15,  2.78517    ,  0.413153   ])
308521  , -22023.2    , array([ 1.24498    ,  0.771684   ,  1.13362e-15,  2.78517    ,  0.413153   ])
308522  , -22013      , array([ 1.24623    ,  0.771684   ,  1.13362e-15,  2.78517    ,  0.413153   ])
308523  , -22040.5    , array([ 1.24498    ,  0.772456   ,  1.13362e-15,  2.78517    ,  0.413153   ])
308524  , -22023.2    , array([ 1.24498    ,  0.771684   ,  1.13476e-15,  2.78517    ,  0.413153   ])
308525  , -22029.1    , array([ 1.24498    ,  0.771684   ,  1.13362e-15,  2.78796    ,  0.413153   ])
308526  , -22029.3    , array([ 1.24498    ,  0.771684   ,  1.13362e-15,  2.78517    ,  0.413566   ])
308527  , -23095      , array([ 0.926542   ,  0.783147   ,  1.13362e-15,  0.268457   ,  0.293725   ])
308528  , -23095      , array([ 0.926542   ,  0.783147   ,  1.13362e-15,  0.268457   ,  0.293725   ])
308529  , -23075.8    , array([ 0.927469   ,  0.783147   ,  1.13362e-15,  0.268457   ,  0.293725   ])
308530  , -23101      , array([ 0.926542   ,  0.783931   ,  1.13362e-15,  0.268457   ,  0.293725   ])
308531  , -23095      , array([ 0.926542   ,  0.783147   ,  1.13476e-15,  0.268457   ,  0.293725   ])
308532  , -23093.5    , array([ 0.926542   ,  0.783147   ,  1.13362e-15,  0.268725   ,  0.293725   ])
308533  , -23114.9    , array([ 0.926542   ,  0.783147   ,  1.13362e-15,  0.268457   ,  0.294019   ])
308534  , -20614.3    , array([ 1.13587    ,  0.775225   ,  1.13362e-15,  1.3471     ,  0.371626   ])
308535  , -20614.3    , array([ 1.13587    ,  0.775225   ,  1.13362e-15,  1.3471     ,  0.371626   ])
308536  , -20600      , array([ 1.137      ,  0.775225   ,  1.13362e-15,  1.3471     ,  0.371626   ])
308537  , -20626      , array([ 1.13587    ,  0.776001   ,  1.13362e-15,  1.3471     ,  0.371626   ])
308538  , -20614.3    , array([ 1.13587    ,  0.775225   ,  1.13476e-15,  1.3471     ,  0.371626   ])
308539  , -20614      , array([ 1.13587    ,  0.775225   ,  1.13362e-15,  1.34845    ,  0.371626   ])
308540  , -20624.7    , array([ 1.13587    ,  0.775225   ,  1.13362e-15,  1.3471     ,  0.371998   ])
308541  , -20576.5    , array([ 1.1529     ,  0.774649   ,  1.13362e-15,  1.51562    ,  0.378069   ])
308542  , -20576.5    , array([ 1.1529     ,  0.774649   ,  1.13362e-15,  1.51562    ,  0.378069   ])
308543  , -20562.7    , array([ 1.15405    ,  0.774649   ,  1.13362e-15,  1.51562    ,  0.378069   ])
308544  , -20589      , array([ 1.1529     ,  0.775425   ,  1.13362e-15,  1.51562    ,  0.378069   ])
308545  , -20576.5    , array([ 1.1529     ,  0.774649   ,  1.13476e-15,  1.51562    ,  0.378069   ])
308546  , -20576.9    , array([ 1.1529     ,  0.774649   ,  1.13362e-15,  1.51714    ,  0.378069   ])
308547  , -20586      , array([ 1.1529     ,  0.774649   ,  1.13362e-15,  1.51562    ,  0.378448   ])
308548  , -23964.9    , array([ 1.71854    ,  0.604102   ,  1.13362e-15,  5.92577    ,  0.489611   ])
308549  , -23964.9    , array([ 1.71854    ,  0.604102   ,  1.13362e-15,  5.92577    ,  0.489611   ])
308550  , -23964.6    , array([ 1.72026    ,  0.604102   ,  1.13362e-15,  5.92577    ,  0.489611   ])
308551  , -23986.2    , array([ 1.71854    ,  0.604706   ,  1.13362e-15,  5.92577    ,  0.489611   ])
308552  , -23964.9    , array([ 1.71854    ,  0.604102   ,  1.13476e-15,  5.92577    ,  0.489611   ])
308553  , -23979.6    , array([ 1.71854    ,  0.604102   ,  1.13362e-15,  5.9317     ,  0.489611   ])
