242629  , -26624.8    , array([ 0.534317   ,  1.1755     ,  0.0132816  ,  7.22511e-26,  0.11306    ])
242630  , -26624.8    , array([ 0.534317   ,  1.1755     ,  0.0132816  ,  7.22511e-26,  0.11306    ])
242631  , -26609.1    , array([ 0.534851   ,  1.1755     ,  0.0132816  ,  7.22511e-26,  0.11306    ])
242632  , -26638      , array([ 0.534317   ,  1.17667    ,  0.0132816  ,  7.22511e-26,  0.11306    ])
242633  , -26624.7    , array([ 0.534317   ,  1.1755     ,  0.0132949  ,  7.22511e-26,  0.11306    ])
242634  , -26624.8    , array([ 0.534317   ,  1.1755     ,  0.0132816  ,  7.23233e-26,  0.11306    ])
242635  , -26628.2    , array([ 0.534317   ,  1.1755     ,  0.0132816  ,  7.22511e-26,  0.113173   ])
242636  , -25604.9    , array([ 0.531741   ,  1.08428    ,  0.0404192  ,  7.22511e-26,  0.113999   ])
242637  , -25604.9    , array([ 0.531741   ,  1.08428    ,  0.0404192  ,  7.22511e-26,  0.113999   ])
242638  , -25588.9    , array([ 0.532273   ,  1.08428    ,  0.0404192  ,  7.22511e-26,  0.113999   ])
242639  , -25618.2    , array([ 0.531741   ,  1.08536    ,  0.0404192  ,  7.22511e-26,  0.113999   ])
242640  , -25604.8    , array([ 0.531741   ,  1.08428    ,  0.0404596  ,  7.22511e-26,  0.113999   ])
242641  , -25604.9    , array([ 0.531741   ,  1.08428    ,  0.0404192  ,  7.23233e-26,  0.113999   ])
242642  , -25608.6    , array([ 0.531741   ,  1.08428    ,  0.0404192  ,  7.22511e-26,  0.114113   ])
242643  , -17848.3    , array([ 0.521561   ,  0.784915   ,  3.46683    ,  7.22511e-26,  0.117833   ])
242644  , -17848.3    , array([ 0.521561   ,  0.784915   ,  3.46683    ,  7.22511e-26,  0.117833   ])
242645  , -17840.2    , array([ 0.522083   ,  0.784915   ,  3.46683    ,  7.22511e-26,  0.117833   ])
242646  , -17863.8    , array([ 0.521561   ,  0.7857     ,  3.46683    ,  7.22511e-26,  0.117833   ])
242647  , -17847.6    , array([ 0.521561   ,  0.784915   ,  3.4703     ,  7.22511e-26,  0.117833   ])
242648  , -17848.3    , array([ 0.521561   ,  0.784915   ,  3.46683    ,  7.23233e-26,  0.117833   ])
242649  , -17841.6    , array([ 0.521561   ,  0.784915   ,  3.46683    ,  7.22511e-26,  0.11795    ])
242657  , -17846.6    , array([ 0.521559   ,  0.78486    ,  3.47014    ,  7.22511e-26,  0.117833   ])
242658  , -17846.6    , array([ 0.521559   ,  0.78486    ,  3.47014    ,  7.22511e-26,  0.117833   ])
242659  , -17838.5    , array([ 0.52208    ,  0.78486    ,  3.47014    ,  7.22511e-26,  0.117833   ])
