39750   , -68418.5    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.14426    ])
39751   , -67203.2    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.50456    ])
39752   , -66470.9    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.72723    ])
39753   , -66025.8    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.86485    ])
39754   , -65753.8    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39757   , -65753.8    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39758   , -66298      , array([ 15.633     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39759   , -64747.9    , array([ 13.015     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39760   , -62681.2    , array([ 10.397     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39761   , -57317      , array([ 6.1609     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39763   , -57317      , array([ 6.1609     ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39764   , -51468.6    , array([ 3.54287    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39765   , -46496.4    , array([ 1.92483    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39766   , -45935.6    , array([ 0.924831   ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39767   , -45290.7    , array([ 1.13261    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39768   , -45275.5    , array([ 1.36421    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39769   , -45610.3    , array([ 1.57835    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39770   , -45275.5    , array([ 1.36421    ,  3.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39771   , -50346.7    , array([ 1.36421    ,  4.17168    ,  2.58793    ,  2.58793    ,  4.94991    ])
39772   , -29756.9    , array([ 1.36421    ,  1.55364    ,  2.58793    ,  2.58793    ,  4.94991    ])
39774   , -29756.9    , array([ 1.36421    ,  1.55364    ,  2.58793    ,  2.58793    ,  4.94991    ])
39775   , -8763.32    , array([ 1.36421    ,  0.553643   ,  2.58793    ,  2.58793    ,  4.94991    ])
39777   , -20947.9    , array([ 1.36421    ,  1.05354    ,  2.58793    ,  2.58793    ,  4.94991    ])
39778   , -3507.09    , array([ 1.36421    ,  0.317575   ,  2.58793    ,  2.58793    ,  4.94991    ])
39779   , -5522.2     , array([ 1.36421    ,  0.171677   ,  2.58793    ,  2.58793    ,  4.94991    ])
39780   , -3904.53    , array([ 1.36421    ,  0.346116   ,  2.58793    ,  2.58793    ,  4.94991    ])
39781   , -3255.69    , array([ 1.36421    ,  0.288058   ,  2.58793    ,  2.58793    ,  4.94991    ])
39782   , -3326.49    , array([ 1.36421    ,  0.243604   ,  2.58793    ,  2.58793    ,  4.94991    ])
39783   , -3255.69    , array([ 1.36421    ,  0.288058   ,  2.58793    ,  2.58793    ,  4.94991    ])
