97425   , -27691.9    , array([ 0.490251   ,  0.807033   ,  3.27023e-37,  1.05592e-31,  0.0460838  ])
97426   , -7382.87    , array([ 1.24731    ,  0.406569   ,  3.27023e-37,  1.05592e-31,  0.130367   ])
97427   , -7382.87    , array([ 1.24731    ,  0.406569   ,  3.27023e-37,  1.05592e-31,  0.130367   ])
97428   , -7378.47    , array([ 1.24856    ,  0.406569   ,  3.27023e-37,  1.05592e-31,  0.130367   ])
97429   , -7386.49    , array([ 1.24731    ,  0.406976   ,  3.27023e-37,  1.05592e-31,  0.130367   ])
97430   , -7382.87    , array([ 1.24731    ,  0.406569   ,  3.2735e-37 ,  1.05592e-31,  0.130367   ])
97431   , -7382.87    , array([ 1.24731    ,  0.406569   ,  3.27023e-37,  1.05697e-31,  0.130367   ])
97432   , -7388.98    , array([ 1.24731    ,  0.406569   ,  3.27023e-37,  1.05592e-31,  0.130498   ])
97440   , -7369.58    , array([ 1.25188    ,  0.403939   ,  3.27023e-37,  1.05592e-31,  0.130903   ])
97441   , -7369.58    , array([ 1.25188    ,  0.403939   ,  3.27023e-37,  1.05592e-31,  0.130903   ])
97442   , -7365.18    , array([ 1.25313    ,  0.403939   ,  3.27023e-37,  1.05592e-31,  0.130903   ])
97443   , -7372.96    , array([ 1.25188    ,  0.404343   ,  3.27023e-37,  1.05592e-31,  0.130903   ])
97444   , -7369.58    , array([ 1.25188    ,  0.403939   ,  3.2735e-37 ,  1.05592e-31,  0.130903   ])
97445   , -7369.58    , array([ 1.25188    ,  0.403939   ,  3.27023e-37,  1.05697e-31,  0.130903   ])
97446   , -7375.93    , array([ 1.25188    ,  0.403939   ,  3.27023e-37,  1.05592e-31,  0.131034   ])
97447   , -7342.98    , array([ 1.24612    ,  0.401785   ,  3.27023e-37,  1.05592e-31,  0.130307   ])
97448   , -7342.98    , array([ 1.24612    ,  0.401785   ,  3.27023e-37,  1.05592e-31,  0.130307   ])
97449   , -7338.57    , array([ 1.24736    ,  0.401785   ,  3.27023e-37,  1.05592e-31,  0.130307   ])
97450   , -7346.35    , array([ 1.24612    ,  0.402187   ,  3.27023e-37,  1.05592e-31,  0.130307   ])
97451   , -7342.98    , array([ 1.24612    ,  0.401785   ,  3.2735e-37 ,  1.05592e-31,  0.130307   ])
97452   , -7342.98    , array([ 1.24612    ,  0.401785   ,  3.27023e-37,  1.05697e-31,  0.130307   ])
97453   , -7349.33    , array([ 1.24612    ,  0.401785   ,  3.27023e-37,  1.05592e-31,  0.130437   ])
97454   , -7238.7     , array([ 1.22332    ,  0.39328    ,  3.27023e-37,  1.05592e-31,  0.127947   ])
97455   , -7238.7     , array([ 1.22332    ,  0.39328    ,  3.27023e-37,  1.05592e-31,  0.127947   ])
97456   , -7234.23    , array([ 1.22455    ,  0.39328    ,  3.27023e-37,  1.05592e-31,  0.127947   ])
97457   , -7241.99    , array([ 1.22332    ,  0.393674   ,  3.27023e-37,  1.05592e-31,  0.127947   ])
97458   , -7238.7     , array([ 1.22332    ,  0.39328    ,  3.2735e-37 ,  1.05592e-31,  0.127947   ])
97459   , -7238.7     , array([ 1.22332    ,  0.39328    ,  3.27023e-37,  1.05697e-31,  0.127947   ])
97460   , -7245.03    , array([ 1.22332    ,  0.39328    ,  3.27023e-37,  1.05592e-31,  0.128075   ])
97461   , -6854.46    , array([ 1.13624    ,  0.361025   ,  3.27023e-37,  1.05592e-31,  0.118929   ])
97462   , -6854.46    , array([ 1.13624    ,  0.361025   ,  3.27023e-37,  1.05592e-31,  0.118929   ])
97463   , -6849.73    , array([ 1.13738    ,  0.361025   ,  3.27023e-37,  1.05592e-31,  0.118929   ])
97464   , -6857.41    , array([ 1.13624    ,  0.361387   ,  3.27023e-37,  1.05592e-31,  0.118929   ])
97465   , -6854.46    , array([ 1.13624    ,  0.361025   ,  3.2735e-37 ,  1.05592e-31,  0.118929   ])
97466   , -6854.46    , array([ 1.13624    ,  0.361025   ,  3.27023e-37,  1.05697e-31,  0.118929   ])
97467   , -6860.73    , array([ 1.13624    ,  0.361025   ,  3.27023e-37,  1.05592e-31,  0.119048   ])
97468   , -5928.09    , array([ 1.01427    ,  0.29747    ,  3.27023e-37,  1.05592e-31,  0.101279   ])
97469   , -5928.09    , array([ 1.01427    ,  0.29747    ,  3.27023e-37,  1.05592e-31,  0.101279   ])
97470   , -5923.35    , array([ 1.01528    ,  0.29747    ,  3.27023e-37,  1.05592e-31,  0.101279   ])
97471   , -5930.16    , array([ 1.01427    ,  0.297768   ,  3.27023e-37,  1.05592e-31,  0.101279   ])
97472   , -5928.09    , array([ 1.01427    ,  0.29747    ,  3.2735e-37 ,  1.05592e-31,  0.101279   ])
97473   , -5928.09    , array([ 1.01427    ,  0.29747    ,  3.27023e-37,  1.05697e-31,  0.101279   ])
97474   , -5934.1     , array([ 1.01427    ,  0.29747    ,  3.27023e-37,  1.05592e-31,  0.101381   ])
97475   , -4407.64    , array([ 0.870488   ,  0.208705   ,  3.27023e-37,  1.05592e-31,  0.0742738  ])
