23438   , -1752.71    , array([ 3.24098    ,  0.0572915  ,  0.000739247,  2.79164e-37,  0.0201302  ])
23439   , -1751.91    , array([ 3.24098    ,  0.0572915  ,  0.000739247,  2.78885e-37,  0.0201503  ])
23440   , -1738.38    , array([ 3.3223     ,  0.0602998  ,  0.000753407,  2.78885e-37,  0.0216142  ])
23441   , -1738.38    , array([ 3.3223     ,  0.0602998  ,  0.000753407,  2.78885e-37,  0.0216142  ])
23442   , -1738.52    , array([ 3.32563    ,  0.0602998  ,  0.000753407,  2.78885e-37,  0.0216142  ])
23443   , -1738.49    , array([ 3.3223     ,  0.0603601  ,  0.000753407,  2.78885e-37,  0.0216142  ])
23444   , -1738.38    , array([ 3.3223     ,  0.0602998  ,  0.000754161,  2.78885e-37,  0.0216142  ])
23445   , -1738.38    , array([ 3.3223     ,  0.0602998  ,  0.000753407,  2.79164e-37,  0.0216142  ])
23446   , -1738.18    , array([ 3.3223     ,  0.0602998  ,  0.000753407,  2.78885e-37,  0.0216358  ])
23447   , -1726.71    , array([ 3.01862    ,  0.059309   ,  0.000777105,  2.78885e-37,  0.0214838  ])
23448   , -1726.71    , array([ 3.01862    ,  0.059309   ,  0.000777105,  2.78885e-37,  0.0214838  ])
23449   , -1726.85    , array([ 3.02164    ,  0.059309   ,  0.000777105,  2.78885e-37,  0.0214838  ])
23450   , -1726.47    , array([ 3.01862    ,  0.0593683  ,  0.000777105,  2.78885e-37,  0.0214838  ])
23451   , -1726.71    , array([ 3.01862    ,  0.059309   ,  0.000777883,  2.78885e-37,  0.0214838  ])
23452   , -1726.71    , array([ 3.01862    ,  0.059309   ,  0.000777105,  2.79164e-37,  0.0214838  ])
23453   , -1726.84    , array([ 3.01862    ,  0.059309   ,  0.000777105,  2.78885e-37,  0.0215053  ])
23454   , -1704.17    , array([ 2.5478     ,  0.059996   ,  0.000828959,  2.78885e-37,  0.02195    ])
23455   , -1704.17    , array([ 2.5478     ,  0.059996   ,  0.000828959,  2.78885e-37,  0.02195    ])
23456   , -1704.31    , array([ 2.55035    ,  0.059996   ,  0.000828959,  2.78885e-37,  0.02195    ])
23457   , -1703.6     , array([ 2.5478     ,  0.060056   ,  0.000828959,  2.78885e-37,  0.02195    ])
23458   , -1704.17    , array([ 2.5478     ,  0.059996   ,  0.000829789,  2.78885e-37,  0.02195    ])
23459   , -1704.17    , array([ 2.5478     ,  0.059996   ,  0.000828959,  2.79164e-37,  0.02195    ])
23460   , -1704.61    , array([ 2.5478     ,  0.059996   ,  0.000828959,  2.78885e-37,  0.0219719  ])
23461   , -1665.93    , array([ 1.80753    ,  0.0618347  ,  0.000949544,  2.78885e-37,  0.0228873  ])
23462   , -1665.93    , array([ 1.80753    ,  0.0618347  ,  0.000949544,  2.78885e-37,  0.0228873  ])
23463   , -1666.02    , array([ 1.80933    ,  0.0618347  ,  0.000949544,  2.78885e-37,  0.0228873  ])
23464   , -1664.95    , array([ 1.80753    ,  0.0618966  ,  0.000949544,  2.78885e-37,  0.0228873  ])
23465   , -1665.93    , array([ 1.80753    ,  0.0618347  ,  0.000950494,  2.78885e-37,  0.0228873  ])
23466   , -1665.93    , array([ 1.80753    ,  0.0618347  ,  0.000949544,  2.79164e-37,  0.0228873  ])
23467   , -1666.79    , array([ 1.80753    ,  0.0618347  ,  0.000949544,  2.78885e-37,  0.0229102  ])
23468   , -1674.38    , array([ 1.13278    ,  0.0668135  ,  0.00119843 ,  2.78885e-37,  0.0247646  ])
23469   , -1674.38    , array([ 1.13278    ,  0.0668135  ,  0.00119843 ,  2.78885e-37,  0.0247646  ])
23470   , -1674.18    , array([ 1.13391    ,  0.0668135  ,  0.00119843 ,  2.78885e-37,  0.0247646  ])
23471   , -1673.28    , array([ 1.13278    ,  0.0668803  ,  0.00119843 ,  2.78885e-37,  0.0247646  ])
23472   , -1674.38    , array([ 1.13278    ,  0.0668135  ,  0.00119963 ,  2.78885e-37,  0.0247646  ])
23473   , -1674.38    , array([ 1.13278    ,  0.0668135  ,  0.00119843 ,  2.79164e-37,  0.0247646  ])
