6830    , -2371.9     , array([ 0.63676    ,  1.57769    ,  2.94258e-23,  0.00485112 ])
6831    , -2371.9     , array([ 0.637397   ,  1.57769    ,  2.94258e-23,  0.00485112 ])
6832    , -2371.96    , array([ 0.63676    ,  1.57927    ,  2.94258e-23,  0.00485112 ])
6833    , -2371.9     , array([ 0.63676    ,  1.57769    ,  2.94553e-23,  0.00485112 ])
6834    , -2371.93    , array([ 0.63676    ,  1.57769    ,  2.94258e-23,  0.00485597 ])
6835    , -2371.9     , array([ 0.63676    ,  1.57769    ,  2.94258e-23,  0.00485112 ])
6836    , -2308.17    , array([ 0.63676    ,  0.658034   ,  2.94258e-23,  0.00292654 ])
6837    , -2308.17    , array([ 0.63676    ,  0.658034   ,  2.94258e-23,  0.00292654 ])
6838    , -2308.17    , array([ 0.637397   ,  0.658034   ,  2.94258e-23,  0.00292654 ])
6839    , -2308.25    , array([ 0.63676    ,  0.658693   ,  2.94258e-23,  0.00292654 ])
6840    , -2308.17    , array([ 0.63676    ,  0.658034   ,  2.94553e-23,  0.00292654 ])
6841    , -2308.14    , array([ 0.63676    ,  0.658034   ,  2.94258e-23,  0.00292947 ])
6842    , -2124.49    , array([ 0.63676    ,  0.11351    ,  2.94258e-23,  0.0017078  ])
6843    , -2124.49    , array([ 0.63676    ,  0.11351    ,  2.94258e-23,  0.0017078  ])
6844    , -2124.49    , array([ 0.637397   ,  0.11351    ,  2.94258e-23,  0.0017078  ])
6845    , -2124.68    , array([ 0.63676    ,  0.113623   ,  2.94258e-23,  0.0017078  ])
6846    , -2124.49    , array([ 0.63676    ,  0.11351    ,  2.94553e-23,  0.0017078  ])
6847    , -2124.31    , array([ 0.63676    ,  0.11351    ,  2.94258e-23,  0.00170951 ])
6854    , -2124.48    , array([ 0.63676    ,  0.113508   ,  2.94258e-23,  0.0017078  ])
6855    , -2124.48    , array([ 0.63676    ,  0.113508   ,  2.94258e-23,  0.0017078  ])
6856    , -2124.48    , array([ 0.637397   ,  0.113508   ,  2.94258e-23,  0.0017078  ])
6857    , -2124.68    , array([ 0.63676    ,  0.113622   ,  2.94258e-23,  0.0017078  ])
6858    , -2124.48    , array([ 0.63676    ,  0.113508   ,  2.94553e-23,  0.0017078  ])
6859    , -2124.31    , array([ 0.63676    ,  0.113508   ,  2.94258e-23,  0.0017095  ])
6860    , -2124.48    , array([ 0.63676    ,  0.113507   ,  2.94258e-23,  0.00170779 ])
6861    , -2124.48    , array([ 0.63676    ,  0.113507   ,  2.94258e-23,  0.00170779 ])
6862    , -2124.48    , array([ 0.637397   ,  0.113507   ,  2.94258e-23,  0.00170779 ])
6863    , -2124.68    , array([ 0.63676    ,  0.113621   ,  2.94258e-23,  0.00170779 ])
6864    , -2124.48    , array([ 0.63676    ,  0.113507   ,  2.94553e-23,  0.00170779 ])
6865    , -2124.31    , array([ 0.63676    ,  0.113507   ,  2.94258e-23,  0.0017095  ])
6866    , -2073.46    , array([ 0.63676    ,  0.00337752 ,  2.94258e-23,  0.000581571])
6867    , -2073.46    , array([ 0.63676    ,  0.00337752 ,  2.94258e-23,  0.000581571])
6868    , -2073.46    , array([ 0.637397   ,  0.00337752 ,  2.94258e-23,  0.000581571])
6869    , -2072.57    , array([ 0.63676    ,  0.0033809  ,  2.94258e-23,  0.000581571])
6870    , -2073.46    , array([ 0.63676    ,  0.00337752 ,  2.94553e-23,  0.000581571])
6871    , -2074.32    , array([ 0.63676    ,  0.00337752 ,  2.94258e-23,  0.000582153])
6872    , -2021.5     , array([ 0.63676    ,  0.05873    ,  2.94258e-23,  0.0013955  ])
6873    , -2021.5     , array([ 0.63676    ,  0.05873    ,  2.94258e-23,  0.0013955  ])
6874    , -2021.5     , array([ 0.637397   ,  0.05873    ,  2.94258e-23,  0.0013955  ])
6875    , -2021.74    , array([ 0.63676    ,  0.0587887  ,  2.94258e-23,  0.0013955  ])
6876    , -2021.5     , array([ 0.63676    ,  0.05873    ,  2.94553e-23,  0.0013955  ])
6877    , -2021.27    , array([ 0.63676    ,  0.05873    ,  2.94258e-23,  0.00139689 ])
6878    , -1789.73    , array([ 0.63676    ,  0.0107608  ,  2.94258e-23,  0.000829549])
6879    , -1789.73    , array([ 0.63676    ,  0.0107608  ,  2.94258e-23,  0.000829549])
6880    , -1789.73    , array([ 0.637397   ,  0.0107608  ,  2.94258e-23,  0.000829549])
6881    , -1789.76    , array([ 0.63676    ,  0.0107715  ,  2.94258e-23,  0.000829549])
6882    , -1789.73    , array([ 0.63676    ,  0.0107608  ,  2.94553e-23,  0.000829549])
6883    , -1789.69    , array([ 0.63676    ,  0.0107608  ,  2.94258e-23,  0.000830379])
6884    , -2471.89    , array([ 0.63676    ,  0.00262276 ,  2.94258e-23,  0.000628817])
6885    , -2471.89    , array([ 0.63676    ,  0.00262276 ,  2.94258e-23,  0.000628817])
6886    , -2471.89    , array([ 0.637397   ,  0.00262276 ,  2.94258e-23,  0.000628817])
6887    , -2470.32    , array([ 0.63676    ,  0.00262539 ,  2.94258e-23,  0.000628817])
6888    , -2471.89    , array([ 0.63676    ,  0.00262276 ,  2.94553e-23,  0.000628817])
6889    , -2473.43    , array([ 0.63676    ,  0.00262276 ,  2.94258e-23,  0.000629446])
6890    , -1789.11    , array([ 0.63676    ,  0.0102586  ,  2.94258e-23,  0.000821805])
6891    , -1789.11    , array([ 0.63676    ,  0.0102586  ,  2.94258e-23,  0.000821805])
6892    , -1789.11    , array([ 0.637397   ,  0.0102586  ,  2.94258e-23,  0.000821805])
6893    , -1789.12    , array([ 0.63676    ,  0.0102689  ,  2.94258e-23,  0.000821805])
6894    , -1789.11    , array([ 0.63676    ,  0.0102586  ,  2.94553e-23,  0.000821805])
6895    , -1789.1     , array([ 0.63676    ,  0.0102586  ,  2.94258e-23,  0.000822628])
6896    , -1788.49    , array([ 0.63676    ,  0.0107928  ,  2.94258e-23,  0.000872363])
6897    , -1788.49    , array([ 0.63676    ,  0.0107928  ,  2.94258e-23,  0.000872363])
6898    , -1788.49    , array([ 0.637397   ,  0.0107928  ,  2.94258e-23,  0.000872363])
6899    , -1788.49    , array([ 0.63676    ,  0.0108036  ,  2.94258e-23,  0.000872363])
6900    , -1788.49    , array([ 0.63676    ,  0.0107928  ,  2.94553e-23,  0.000872363])
6901    , -1788.48    , array([ 0.63676    ,  0.0107928  ,  2.94258e-23,  0.000873236])
6902    , -1785.93    , array([ 0.63676    ,  0.0132225  ,  2.94258e-23,  0.00110767 ])
6903    , -1785.93    , array([ 0.63676    ,  0.0132225  ,  2.94258e-23,  0.00110767 ])
6904    , -1785.93    , array([ 0.637397   ,  0.0132225  ,  2.94258e-23,  0.00110767 ])
6905    , -1785.91    , array([ 0.63676    ,  0.0132358  ,  2.94258e-23,  0.00110767 ])
6906    , -1785.93    , array([ 0.63676    ,  0.0132225  ,  2.94553e-23,  0.00110767 ])
6907    , -1785.93    , array([ 0.63676    ,  0.0132225  ,  2.94258e-23,  0.00110878 ])
