247     , -2319.31    , array([ 0.202575   ,  0.963316   ,  0.000234608,  9.5558e-75 ])
248     , -2319.33    , array([ 0.202778   ,  0.963316   ,  0.000234608,  9.5558e-75 ])
249     , -2319.31    , array([ 0.202575   ,  0.96428    ,  0.000234608,  9.5558e-75 ])
250     , -2319.29    , array([ 0.202575   ,  0.963316   ,  0.000234843,  9.5558e-75 ])
251     , -2319.31    , array([ 0.202575   ,  0.963316   ,  0.000234608,  9.56536e-75])
252     , -2319.31    , array([ 0.202575   ,  0.963316   ,  0.000234608,  9.5558e-75 ])
253     , -2258.52    , array([ 0.0920025  ,  0.963316   ,  0.000440576,  9.5558e-75 ])
254     , -2258.52    , array([ 0.0920025  ,  0.963316   ,  0.000440576,  9.5558e-75 ])
255     , -2258.6     , array([ 0.0920945  ,  0.963316   ,  0.000440576,  9.5558e-75 ])
256     , -2258.52    , array([ 0.0920025  ,  0.96428    ,  0.000440576,  9.5558e-75 ])
257     , -2258.45    , array([ 0.0920025  ,  0.963316   ,  0.000441017,  9.5558e-75 ])
258     , -2258.52    , array([ 0.0920025  ,  0.963316   ,  0.000440576,  9.56536e-75])
259     , -7673.06    , array([ 0.00391426 ,  0.963316   ,  0.0054794  ,  9.5558e-75 ])
260     , -7673.06    , array([ 0.00391426 ,  0.963316   ,  0.0054794  ,  9.5558e-75 ])
261     , -7670.74    , array([ 0.00391818 ,  0.963316   ,  0.0054794  ,  9.5558e-75 ])
262     , -7673.06    , array([ 0.00391426 ,  0.96428    ,  0.0054794  ,  9.5558e-75 ])
263     , -7674.71    , array([ 0.00391426 ,  0.963316   ,  0.00548488 ,  9.5558e-75 ])
264     , -7673.06    , array([ 0.00391426 ,  0.963316   ,  0.0054794  ,  9.56536e-75])
265     , -2240.04    , array([ 0.0815509  ,  0.963316   ,  0.000485102,  9.5558e-75 ])
266     , -2240.04    , array([ 0.0815509  ,  0.963316   ,  0.000485102,  9.5558e-75 ])
267     , -2240.13    , array([ 0.0816325  ,  0.963316   ,  0.000485102,  9.5558e-75 ])
268     , -2240.04    , array([ 0.0815509  ,  0.96428    ,  0.000485102,  9.5558e-75 ])
269     , -2239.95    , array([ 0.0815509  ,  0.963316   ,  0.000485588,  9.5558e-75 ])
270     , -2240.04    , array([ 0.0815509  ,  0.963316   ,  0.000485102,  9.56536e-75])
271     , -2217.15    , array([ 0.0720535  ,  0.963316   ,  0.000535508,  9.5558e-75 ])
272     , -2217.15    , array([ 0.0720535  ,  0.963316   ,  0.000535508,  9.5558e-75 ])
273     , -2217.27    , array([ 0.0721256  ,  0.963316   ,  0.000535508,  9.5558e-75 ])
274     , -2217.15    , array([ 0.0720535  ,  0.96428    ,  0.000535508,  9.5558e-75 ])
275     , -2217.04    , array([ 0.0720535  ,  0.963316   ,  0.000536044,  9.5558e-75 ])
276     , -2217.15    , array([ 0.0720535  ,  0.963316   ,  0.000535508,  9.56536e-75])
277     , -1793.77    , array([ 0.0167939  ,  0.963316   ,  0.00171297 ,  9.5558e-75 ])
278     , -1793.77    , array([ 0.0167939  ,  0.963316   ,  0.00171297 ,  9.5558e-75 ])
279     , -1793.61    , array([ 0.0168107  ,  0.963316   ,  0.00171297 ,  9.5558e-75 ])
280     , -1793.77    , array([ 0.0167939  ,  0.96428    ,  0.00171297 ,  9.5558e-75 ])
281     , -1793.9     , array([ 0.0167939  ,  0.963316   ,  0.00171468 ,  9.5558e-75 ])
