145853  , -54848.2    , array([ 0.00113137 ,  0.418445   ,  6.35718    ,  3.49767e-45,  0.000106724])
145854  , -54848.6    , array([ 0.00113024 ,  0.418864   ,  6.35718    ,  3.49767e-45,  0.000106724])
145855  , -54848.4    , array([ 0.00113024 ,  0.418445   ,  6.36354    ,  3.49767e-45,  0.000106724])
145856  , -54848.4    , array([ 0.00113024 ,  0.418445   ,  6.35718    ,  3.50117e-45,  0.000106724])
145857  , -54848.5    , array([ 0.00113024 ,  0.418445   ,  6.35718    ,  3.49767e-45,  0.000106831])
145858  , -54840.2    , array([ 0.00114964 ,  0.404658   ,  6.36197    ,  3.49767e-45,  0.000108731])
145859  , -54840.2    , array([ 0.00114964 ,  0.404658   ,  6.36197    ,  3.49767e-45,  0.000108731])
145860  , -54840      , array([ 0.00115079 ,  0.404658   ,  6.36197    ,  3.49767e-45,  0.000108731])
145861  , -54840.4    , array([ 0.00114964 ,  0.405063   ,  6.36197    ,  3.49767e-45,  0.000108731])
145862  , -54840.2    , array([ 0.00114964 ,  0.404658   ,  6.36833    ,  3.49767e-45,  0.000108731])
145863  , -54840.2    , array([ 0.00114964 ,  0.404658   ,  6.36197    ,  3.50117e-45,  0.000108731])
145864  , -54840.3    , array([ 0.00114964 ,  0.404658   ,  6.36197    ,  3.49767e-45,  0.000108839])
145865  , -54803.5    , array([ 0.00123066 ,  0.353907   ,  6.38116    ,  3.49767e-45,  0.000117142])
145866  , -54803.5    , array([ 0.00123066 ,  0.353907   ,  6.38116    ,  3.49767e-45,  0.000117142])
145867  , -54803.1    , array([ 0.00123189 ,  0.353907   ,  6.38116    ,  3.49767e-45,  0.000117142])
145868  , -54803.7    , array([ 0.00123066 ,  0.354261   ,  6.38116    ,  3.49767e-45,  0.000117142])
145869  , -54803.5    , array([ 0.00123066 ,  0.353907   ,  6.38754    ,  3.49767e-45,  0.000117142])
145870  , -54803.5    , array([ 0.00123066 ,  0.353907   ,  6.38116    ,  3.50117e-45,  0.000117142])
145871  , -54803.7    , array([ 0.00123066 ,  0.353907   ,  6.38116    ,  3.49767e-45,  0.00011726 ])
145872  , -54561      , array([ 0.00161597 ,  0.207057   ,  6.45851    ,  3.49767e-45,  0.000157821])
145873  , -54561      , array([ 0.00161597 ,  0.207057   ,  6.45851    ,  3.49767e-45,  0.000157821])
145874  , -54560      , array([ 0.00161758 ,  0.207057   ,  6.45851    ,  3.49767e-45,  0.000157821])
145875  , -54561.5    , array([ 0.00161597 ,  0.207264   ,  6.45851    ,  3.49767e-45,  0.000157821])
145876  , -54561      , array([ 0.00161597 ,  0.207057   ,  6.46497    ,  3.49767e-45,  0.000157821])
145877  , -54561      , array([ 0.00161597 ,  0.207057   ,  6.45851    ,  3.50117e-45,  0.000157821])
145878  , -54561.6    , array([ 0.00161597 ,  0.207057   ,  6.45851    ,  3.49767e-45,  0.000157978])
145879  , -44719.5    , array([ 0.0048041  ,  0.0242599  ,  6.77742    ,  3.49767e-45,  0.000519948])
145880  , -44719.5    , array([ 0.0048041  ,  0.0242599  ,  6.77742    ,  3.49767e-45,  0.000519948])
145881  , -44713.6    , array([ 0.00480891 ,  0.0242599  ,  6.77742    ,  3.49767e-45,  0.000519948])
145882  , -44728.5    , array([ 0.0048041  ,  0.0242842  ,  6.77742    ,  3.49767e-45,  0.000519948])
145883  , -44719.5    , array([ 0.0048041  ,  0.0242599  ,  6.7842     ,  3.49767e-45,  0.000519948])
145884  , -44719.5    , array([ 0.0048041  ,  0.0242599  ,  6.77742    ,  3.50117e-45,  0.000519948])
145885  , -44716.4    , array([ 0.0048041  ,  0.0242599  ,  6.77742    ,  3.49767e-45,  0.000520469])
145893  , -44696.3    , array([ 0.00480822 ,  0.0242191  ,  6.77768    ,  3.49767e-45,  0.000520436])
145894  , -44696.3    , array([ 0.00480822 ,  0.0242191  ,  6.77768    ,  3.49767e-45,  0.000520436])
145895  , -44690.4    , array([ 0.00481303 ,  0.0242191  ,  6.77768    ,  3.49767e-45,  0.000520436])
145896  , -44705.3    , array([ 0.00480822 ,  0.0242433  ,  6.77768    ,  3.49767e-45,  0.000520436])
145897  , -44696.3    , array([ 0.00480822 ,  0.0242191  ,  6.78446    ,  3.49767e-45,  0.000520436])
145898  , -44696.3    , array([ 0.00480822 ,  0.0242191  ,  6.77768    ,  3.50117e-45,  0.000520436])
145899  , -44693.1    , array([ 0.00480822 ,  0.0242191  ,  6.77768    ,  3.49767e-45,  0.000520957])
145900  , -44673      , array([ 0.00481234 ,  0.0241782  ,  6.77794    ,  3.49767e-45,  0.000520924])
145901  , -44673      , array([ 0.00481234 ,  0.0241782  ,  6.77794    ,  3.49767e-45,  0.000520924])
145902  , -44667.1    , array([ 0.00481716 ,  0.0241782  ,  6.77794    ,  3.49767e-45,  0.000520924])
145903  , -44682      , array([ 0.00481234 ,  0.0242024  ,  6.77794    ,  3.49767e-45,  0.000520924])
145904  , -44673      , array([ 0.00481234 ,  0.0241782  ,  6.78472    ,  3.49767e-45,  0.000520924])
145905  , -44673      , array([ 0.00481234 ,  0.0241782  ,  6.77794    ,  3.50117e-45,  0.000520924])
145906  , -44669.8    , array([ 0.00481234 ,  0.0241782  ,  6.77794    ,  3.49767e-45,  0.000521446])
145914  , -44667.2    , array([ 0.00481338 ,  0.024168   ,  6.778      ,  3.49767e-45,  0.000521047])
145915  , -44667.2    , array([ 0.00481338 ,  0.024168   ,  6.778      ,  3.49767e-45,  0.000521047])
145916  , -44661.2    , array([ 0.00481819 ,  0.024168   ,  6.778      ,  3.49767e-45,  0.000521047])
145917  , -44676.2    , array([ 0.00481338 ,  0.0241922  ,  6.778      ,  3.49767e-45,  0.000521047])
145918  , -44667.2    , array([ 0.00481338 ,  0.024168   ,  6.78478    ,  3.49767e-45,  0.000521047])
145919  , -44667.2    , array([ 0.00481338 ,  0.024168   ,  6.778      ,  3.50117e-45,  0.000521047])
145920  , -44664      , array([ 0.00481338 ,  0.024168   ,  6.778      ,  3.49767e-45,  0.000521568])
145921  , -44661.3    , array([ 0.00481441 ,  0.0241578  ,  6.77807    ,  3.49767e-45,  0.000521169])
145922  , -44661.3    , array([ 0.00481441 ,  0.0241578  ,  6.77807    ,  3.49767e-45,  0.000521169])
145923  , -44655.4    , array([ 0.00481923 ,  0.0241578  ,  6.77807    ,  3.49767e-45,  0.000521169])
145924  , -44670.3    , array([ 0.00481441 ,  0.024182   ,  6.77807    ,  3.49767e-45,  0.000521169])
145925  , -44661.3    , array([ 0.00481441 ,  0.0241578  ,  6.78485    ,  3.49767e-45,  0.000521169])
145926  , -44661.3    , array([ 0.00481441 ,  0.0241578  ,  6.77807    ,  3.50117e-45,  0.000521169])
145927  , -44658.1    , array([ 0.00481441 ,  0.0241578  ,  6.77807    ,  3.49767e-45,  0.000521691])
145928  , -13099.6    , array([ 0.0143036  ,  0.00283405 ,  7.11255    ,  3.49767e-45,  0.00171581 ])
145929  , -13099.6    , array([ 0.0143036  ,  0.00283405 ,  7.11255    ,  3.49767e-45,  0.00171581 ])
145930  , -13090.6    , array([ 0.0143179  ,  0.00283405 ,  7.11255    ,  3.49767e-45,  0.00171581 ])
145931  , -13083.7    , array([ 0.0143036  ,  0.00283689 ,  7.11255    ,  3.49767e-45,  0.00171581 ])
145932  , -13099.3    , array([ 0.0143036  ,  0.00283405 ,  7.11967    ,  3.49767e-45,  0.00171581 ])
145933  , -13099.6    , array([ 0.0143036  ,  0.00283405 ,  7.11255    ,  3.50117e-45,  0.00171581 ])
145934  , -13124      , array([ 0.0143036  ,  0.00283405 ,  7.11255    ,  3.49767e-45,  0.00171753 ])
145935  , -29351.4    , array([ 0.00710314 ,  0.0112371  ,  6.89569    ,  3.49767e-45,  0.00079765 ])
145936  , -29351.4    , array([ 0.00710314 ,  0.0112371  ,  6.89569    ,  3.49767e-45,  0.00079765 ])
145937  , -29341.5    , array([ 0.00711024 ,  0.0112371  ,  6.89569    ,  3.49767e-45,  0.00079765 ])
145938  , -29368      , array([ 0.00710314 ,  0.0112484  ,  6.89569    ,  3.49767e-45,  0.00079765 ])
145939  , -29351.4    , array([ 0.00710314 ,  0.0112371  ,  6.90259    ,  3.49767e-45,  0.00079765 ])
145940  , -29351.4    , array([ 0.00710314 ,  0.0112371  ,  6.89569    ,  3.50117e-45,  0.00079765 ])
145941  , -29344.5    , array([ 0.00710314 ,  0.0112371  ,  6.89569    ,  3.49767e-45,  0.000798448])
145942  , -9138.26    , array([ 0.0120728  ,  0.00395661 ,  7.0594     ,  3.49767e-45,  0.00142524 ])
145943  , -9138.26    , array([ 0.0120728  ,  0.00395661 ,  7.0594     ,  3.49767e-45,  0.00142524 ])
145944  , -9127.34    , array([ 0.0120848  ,  0.00395661 ,  7.0594     ,  3.49767e-45,  0.00142524 ])
145945  , -9138.46    , array([ 0.0120728  ,  0.00396057 ,  7.0594     ,  3.49767e-45,  0.00142524 ])
145946  , -9138.09    , array([ 0.0120728  ,  0.00395661 ,  7.06647    ,  3.49767e-45,  0.00142524 ])
145947  , -9138.26    , array([ 0.0120728  ,  0.00395661 ,  7.0594     ,  3.50117e-45,  0.00142524 ])
145948  , -9148.63    , array([ 0.0120728  ,  0.00395661 ,  7.0594     ,  3.49767e-45,  0.00142667 ])
145956  , -9147.51    , array([ 0.0123135  ,  0.00390668 ,  7.16329    ,  3.49767e-45,  0.00145519 ])
145957  , -9147.51    , array([ 0.0123135  ,  0.00390668 ,  7.16329    ,  3.49767e-45,  0.00145519 ])
145958  , -9136.69    , array([ 0.0123258  ,  0.00390668 ,  7.16329    ,  3.49767e-45,  0.00145519 ])
145959  , -9146.81    , array([ 0.0123135  ,  0.00391059 ,  7.16329    ,  3.49767e-45,  0.00145519 ])
145960  , -9147.32    , array([ 0.0123135  ,  0.00390668 ,  7.17046    ,  3.49767e-45,  0.00145519 ])
145961  , -9147.51    , array([ 0.0123135  ,  0.00390668 ,  7.16329    ,  3.50117e-45,  0.00145519 ])
145962  , -9158.66    , array([ 0.0123135  ,  0.00390668 ,  7.16329    ,  3.49767e-45,  0.00145665 ])
145963  , -9137.76    , array([ 0.0121159  ,  0.00394754 ,  7.07805    ,  3.49767e-45,  0.00143061 ])
145964  , -9137.76    , array([ 0.0121159  ,  0.00394754 ,  7.07805    ,  3.49767e-45,  0.00143061 ])
145965  , -9126.86    , array([ 0.012128   ,  0.00394754 ,  7.07805    ,  3.49767e-45,  0.00143061 ])
145966  , -9137.8     , array([ 0.0121159  ,  0.00395149 ,  7.07805    ,  3.49767e-45,  0.00143061 ])
145967  , -9137.58    , array([ 0.0121159  ,  0.00394754 ,  7.08514    ,  3.49767e-45,  0.00143061 ])
145968  , -9137.76    , array([ 0.0121159  ,  0.00394754 ,  7.07805    ,  3.50117e-45,  0.00143061 ])
145969  , -9148.27    , array([ 0.0121159  ,  0.00394754 ,  7.07805    ,  3.49767e-45,  0.00143204 ])
