267223  , -75739.7    , array([ 1.28094    ,  30.574     ,  1.68117e-72,  5.7816e-40 ,  0.00521456 ])
267224  , -75742.7    , array([ 1.28222    ,  30.574     ,  1.68117e-72,  5.7816e-40 ,  0.00521456 ])
267225  , -75739.9    , array([ 1.28094    ,  30.6046    ,  1.68117e-72,  5.7816e-40 ,  0.00521456 ])
267226  , -75739.7    , array([ 1.28094    ,  30.574     ,  1.68286e-72,  5.7816e-40 ,  0.00521456 ])
267227  , -75739.7    , array([ 1.28094    ,  30.574     ,  1.68117e-72,  5.78739e-40,  0.00521456 ])
267228  , -75736.5    , array([ 1.28094    ,  30.574     ,  1.68117e-72,  5.7816e-40 ,  0.00521978 ])
267229  , -75739.7    , array([ 1.28094    ,  30.574     ,  1.68117e-72,  5.7816e-40 ,  0.00521456 ])
267230  , -67543      , array([ 0.644136   ,  29.2663    ,  1.68117e-72,  5.7816e-40 ,  0.0109147  ])
267231  , -67543      , array([ 0.644136   ,  29.2663    ,  1.68117e-72,  5.7816e-40 ,  0.0109147  ])
267232  , -67551.7    , array([ 0.644781   ,  29.2663    ,  1.68117e-72,  5.7816e-40 ,  0.0109147  ])
267233  , -67543.3    , array([ 0.644136   ,  29.2956    ,  1.68117e-72,  5.7816e-40 ,  0.0109147  ])
267234  , -67543      , array([ 0.644136   ,  29.2663    ,  1.68286e-72,  5.7816e-40 ,  0.0109147  ])
267235  , -67543      , array([ 0.644136   ,  29.2663    ,  1.68117e-72,  5.78739e-40,  0.0109147  ])
267236  , -67533.6    , array([ 0.644136   ,  29.2663    ,  1.68117e-72,  5.7816e-40 ,  0.0109256  ])
267237  , -309704     , array([ 0.0411882  ,  24.5715    ,  1.68117e-72,  5.7816e-40 ,  0.209504   ])
267238  , -309704     , array([ 0.0411882  ,  24.5715    ,  1.68117e-72,  5.7816e-40 ,  0.209504   ])
267239  , -309477     , array([ 0.0412294  ,  24.5715    ,  1.68117e-72,  5.7816e-40 ,  0.209504   ])
267240  , -309706     , array([ 0.0411882  ,  24.596     ,  1.68117e-72,  5.7816e-40 ,  0.209504   ])
267241  , -309704     , array([ 0.0411882  ,  24.5715    ,  1.68286e-72,  5.7816e-40 ,  0.209504   ])
267242  , -309704     , array([ 0.0411882  ,  24.5715    ,  1.68117e-72,  5.78739e-40,  0.209504   ])
267243  , -309923     , array([ 0.0411882  ,  24.5715    ,  1.68117e-72,  5.7816e-40 ,  0.209714   ])
267244  , -50767.4    , array([ 0.306546   ,  27.9166    ,  1.68117e-72,  5.7816e-40 ,  0.0242394  ])
267245  , -50767.4    , array([ 0.306546   ,  27.9166    ,  1.68117e-72,  5.7816e-40 ,  0.0242394  ])
267246  , -50774.3    , array([ 0.306853   ,  27.9166    ,  1.68117e-72,  5.7816e-40 ,  0.0242394  ])
267247  , -50767.9    , array([ 0.306546   ,  27.9445    ,  1.68117e-72,  5.7816e-40 ,  0.0242394  ])
267248  , -50767.4    , array([ 0.306546   ,  27.9166    ,  1.68286e-72,  5.7816e-40 ,  0.0242394  ])
267249  , -50767.4    , array([ 0.306546   ,  27.9166    ,  1.68117e-72,  5.78739e-40,  0.0242394  ])
267250  , -50757.8    , array([ 0.306546   ,  27.9166    ,  1.68117e-72,  5.7816e-40 ,  0.0242636  ])
267251  , -48885.7    , array([ 0.223927   ,  27.3646    ,  1.68117e-72,  5.7816e-40 ,  0.0339681  ])
267252  , -48885.7    , array([ 0.223927   ,  27.3646    ,  1.68117e-72,  5.7816e-40 ,  0.0339681  ])
267253  , -48879.3    , array([ 0.224151   ,  27.3646    ,  1.68117e-72,  5.7816e-40 ,  0.0339681  ])
267254  , -48886.3    , array([ 0.223927   ,  27.392     ,  1.68117e-72,  5.7816e-40 ,  0.0339681  ])
267255  , -48885.7    , array([ 0.223927   ,  27.3646    ,  1.68286e-72,  5.7816e-40 ,  0.0339681  ])
267256  , -48885.7    , array([ 0.223927   ,  27.3646    ,  1.68117e-72,  5.78739e-40,  0.0339681  ])
267257  , -48887.4    , array([ 0.223927   ,  27.3646    ,  1.68117e-72,  5.7816e-40 ,  0.0340021  ])
267258  , -48583      , array([ 0.247708   ,  27.5408    ,  1.68117e-72,  5.7816e-40 ,  0.030477   ])
267259  , -48583      , array([ 0.247708   ,  27.5408    ,  1.68117e-72,  5.7816e-40 ,  0.030477   ])
267260  , -48581.8    , array([ 0.247956   ,  27.5408    ,  1.68117e-72,  5.7816e-40 ,  0.030477   ])
267261  , -48583.5    , array([ 0.247708   ,  27.5684    ,  1.68117e-72,  5.7816e-40 ,  0.030477   ])
267262  , -48583      , array([ 0.247708   ,  27.5408    ,  1.68286e-72,  5.7816e-40 ,  0.030477   ])
267263  , -48583      , array([ 0.247708   ,  27.5408    ,  1.68117e-72,  5.78739e-40,  0.030477   ])
267264  , -48580.2    , array([ 0.247708   ,  27.5408    ,  1.68117e-72,  5.7816e-40 ,  0.0305075  ])
267272  , -48578      , array([ 0.247738   ,  27.5337    ,  1.68117e-72,  5.7816e-40 ,  0.0305283  ])
267273  , -48578      , array([ 0.247738   ,  27.5337    ,  1.68117e-72,  5.7816e-40 ,  0.0305283  ])
267274  , -48576.8    , array([ 0.247986   ,  27.5337    ,  1.68117e-72,  5.7816e-40 ,  0.0305283  ])
267275  , -48578.5    , array([ 0.247738   ,  27.5613    ,  1.68117e-72,  5.7816e-40 ,  0.0305283  ])
267276  , -48578      , array([ 0.247738   ,  27.5337    ,  1.68286e-72,  5.7816e-40 ,  0.0305283  ])
267277  , -48578      , array([ 0.247738   ,  27.5337    ,  1.68117e-72,  5.78739e-40,  0.0305283  ])
267278  , -48575.2    , array([ 0.247738   ,  27.5337    ,  1.68117e-72,  5.7816e-40 ,  0.0305588  ])
267279  , -48546.9    , array([ 0.247932   ,  27.4885    ,  1.68117e-72,  5.7816e-40 ,  0.0308581  ])
267280  , -48546.9    , array([ 0.247932   ,  27.4885    ,  1.68117e-72,  5.7816e-40 ,  0.0308581  ])
267281  , -48545.5    , array([ 0.24818    ,  27.4885    ,  1.68117e-72,  5.7816e-40 ,  0.0308581  ])
267282  , -48547.5    , array([ 0.247932   ,  27.516     ,  1.68117e-72,  5.7816e-40 ,  0.0308581  ])
267283  , -48546.9    , array([ 0.247932   ,  27.4885    ,  1.68286e-72,  5.7816e-40 ,  0.0308581  ])
267284  , -48546.9    , array([ 0.247932   ,  27.4885    ,  1.68117e-72,  5.78739e-40,  0.0308581  ])
267285  , -48544.3    , array([ 0.247932   ,  27.4885    ,  1.68117e-72,  5.7816e-40 ,  0.030889   ])
267293  , -48545.8    , array([ 0.247939   ,  27.4869    ,  1.68117e-72,  5.7816e-40 ,  0.0308703  ])
267294  , -48545.8    , array([ 0.247939   ,  27.4869    ,  1.68117e-72,  5.7816e-40 ,  0.0308703  ])
267295  , -48544.4    , array([ 0.248187   ,  27.4869    ,  1.68117e-72,  5.7816e-40 ,  0.0308703  ])
267296  , -48546.4    , array([ 0.247939   ,  27.5144    ,  1.68117e-72,  5.7816e-40 ,  0.0308703  ])
267297  , -48545.8    , array([ 0.247939   ,  27.4869    ,  1.68286e-72,  5.7816e-40 ,  0.0308703  ])
267298  , -48545.8    , array([ 0.247939   ,  27.4869    ,  1.68117e-72,  5.78739e-40,  0.0308703  ])
267299  , -48543.2    , array([ 0.247939   ,  27.4869    ,  1.68117e-72,  5.7816e-40 ,  0.0309011  ])
267300  , -48538.9    , array([ 0.247983   ,  27.4764    ,  1.68117e-72,  5.7816e-40 ,  0.030947   ])
267301  , -48538.9    , array([ 0.247983   ,  27.4764    ,  1.68117e-72,  5.7816e-40 ,  0.030947   ])
267302  , -48537.4    , array([ 0.248231   ,  27.4764    ,  1.68117e-72,  5.7816e-40 ,  0.030947   ])
267303  , -48539.4    , array([ 0.247983   ,  27.5039    ,  1.68117e-72,  5.7816e-40 ,  0.030947   ])
267304  , -48538.9    , array([ 0.247983   ,  27.4764    ,  1.68286e-72,  5.7816e-40 ,  0.030947   ])
267305  , -48538.9    , array([ 0.247983   ,  27.4764    ,  1.68117e-72,  5.78739e-40,  0.030947   ])
267306  , -48536.3    , array([ 0.247983   ,  27.4764    ,  1.68117e-72,  5.7816e-40 ,  0.030978   ])
267307  , -473396     , array([ 0.345965   ,  13.6192    ,  1.68117e-72,  5.7816e-40 ,  3.04435    ])
267308  , -473396     , array([ 0.345965   ,  13.6192    ,  1.68117e-72,  5.7816e-40 ,  3.04435    ])
267309  , -473027     , array([ 0.346311   ,  13.6192    ,  1.68117e-72,  5.7816e-40 ,  3.04435    ])
267310  , -473417     , array([ 0.345965   ,  13.6328    ,  1.68117e-72,  5.7816e-40 ,  3.04435    ])
267311  , -473396     , array([ 0.345965   ,  13.6192    ,  1.68286e-72,  5.7816e-40 ,  3.04435    ])
267312  , -473396     , array([ 0.345965   ,  13.6192    ,  1.68117e-72,  5.78739e-40,  3.04435    ])
267313  , -473773     , array([ 0.345965   ,  13.6192    ,  1.68117e-72,  5.7816e-40 ,  3.0474     ])
267314  , -50918.1    , array([ 0.260758   ,  24.7159    ,  1.68117e-72,  5.7816e-40 ,  0.0618389  ])
267315  , -50918.1    , array([ 0.260758   ,  24.7159    ,  1.68117e-72,  5.7816e-40 ,  0.0618389  ])
267316  , -50900.2    , array([ 0.261019   ,  24.7159    ,  1.68117e-72,  5.7816e-40 ,  0.0618389  ])
267317  , -50919      , array([ 0.260758   ,  24.7407    ,  1.68117e-72,  5.7816e-40 ,  0.0618389  ])
267318  , -50918.1    , array([ 0.260758   ,  24.7159    ,  1.68286e-72,  5.7816e-40 ,  0.0618389  ])
267319  , -50918.1    , array([ 0.260758   ,  24.7159    ,  1.68117e-72,  5.78739e-40,  0.0618389  ])
267320  , -50930.2    , array([ 0.260758   ,  24.7159    ,  1.68117e-72,  5.7816e-40 ,  0.0619007  ])
267321  , -48296.2    , array([ 0.250931   ,  26.8004    ,  1.68117e-72,  5.7816e-40 ,  0.036421   ])
267322  , -48296.2    , array([ 0.250931   ,  26.8004    ,  1.68117e-72,  5.7816e-40 ,  0.036421   ])
267323  , -48291.3    , array([ 0.251183   ,  26.8004    ,  1.68117e-72,  5.7816e-40 ,  0.036421   ])
267324  , -48296.8    , array([ 0.250931   ,  26.8272    ,  1.68117e-72,  5.7816e-40 ,  0.036421   ])
267325  , -48296.2    , array([ 0.250931   ,  26.8004    ,  1.68286e-72,  5.7816e-40 ,  0.036421   ])
267326  , -48296.2    , array([ 0.250931   ,  26.8004    ,  1.68117e-72,  5.78739e-40,  0.036421   ])
267327  , -48296.5    , array([ 0.250931   ,  26.8004    ,  1.68117e-72,  5.7816e-40 ,  0.0364574  ])
267328  , -44727.8    , array([ 0.21088    ,  2.64841    ,  1.68117e-72,  5.7816e-40 ,  0.0313337  ])
267329  , -44727.8    , array([ 0.21088    ,  2.64841    ,  1.68117e-72,  5.7816e-40 ,  0.0313337  ])
267330  , -44720.3    , array([ 0.211091   ,  2.64841    ,  1.68117e-72,  5.7816e-40 ,  0.0313337  ])
267331  , -44732.4    , array([ 0.21088    ,  2.65106    ,  1.68117e-72,  5.7816e-40 ,  0.0313337  ])
267332  , -44727.8    , array([ 0.21088    ,  2.64841    ,  1.68286e-72,  5.7816e-40 ,  0.0313337  ])
267333  , -44727.8    , array([ 0.21088    ,  2.64841    ,  1.68117e-72,  5.78739e-40,  0.0313337  ])
267334  , -44726.9    , array([ 0.21088    ,  2.64841    ,  1.68117e-72,  5.7816e-40 ,  0.031365   ])
267342  , -44725.6    , array([ 0.210871   ,  2.64692    ,  1.68117e-72,  5.7816e-40 ,  0.0313325  ])
267343  , -44725.6    , array([ 0.210871   ,  2.64692    ,  1.68117e-72,  5.7816e-40 ,  0.0313325  ])
267344  , -44718      , array([ 0.211082   ,  2.64692    ,  1.68117e-72,  5.7816e-40 ,  0.0313325  ])
267345  , -44730.2    , array([ 0.210871   ,  2.64957    ,  1.68117e-72,  5.7816e-40 ,  0.0313325  ])
267346  , -44725.6    , array([ 0.210871   ,  2.64692    ,  1.68286e-72,  5.7816e-40 ,  0.0313325  ])
267347  , -44725.6    , array([ 0.210871   ,  2.64692    ,  1.68117e-72,  5.78739e-40,  0.0313325  ])
267348  , -44724.7    , array([ 0.210871   ,  2.64692    ,  1.68117e-72,  5.7816e-40 ,  0.0313639  ])
267349  , -44723.4    , array([ 0.210862   ,  2.64543    ,  1.68117e-72,  5.7816e-40 ,  0.0313314  ])
267350  , -44723.4    , array([ 0.210862   ,  2.64543    ,  1.68117e-72,  5.7816e-40 ,  0.0313314  ])
267351  , -44715.8    , array([ 0.211073   ,  2.64543    ,  1.68117e-72,  5.7816e-40 ,  0.0313314  ])
267352  , -44727.9    , array([ 0.210862   ,  2.64808    ,  1.68117e-72,  5.7816e-40 ,  0.0313314  ])
267353  , -44723.4    , array([ 0.210862   ,  2.64543    ,  1.68286e-72,  5.7816e-40 ,  0.0313314  ])
267354  , -44723.4    , array([ 0.210862   ,  2.64543    ,  1.68117e-72,  5.78739e-40,  0.0313314  ])
267355  , -44722.4    , array([ 0.210862   ,  2.64543    ,  1.68117e-72,  5.7816e-40 ,  0.0313627  ])
