199863  , -79086      , array([ 0.43553    ,  0.00764085 ,  1.85511e-14,  0.00273264 ,  2.22804e-08])
199864  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199865  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199866  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199867  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50274e-08])
199868  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85696e-14,  0.00273264 ,  9.50274e-08])
199869  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273537 ,  9.50274e-08])
199870  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.51225e-08])
199871  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199872  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199873  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199874  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199875  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85696e-14,  0.00273264 ,  9.50275e-08])
199876  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273537 ,  9.50275e-08])
199877  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.51226e-08])
199878  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199879  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199880  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199881  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199882  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85696e-14,  0.00273264 ,  9.50275e-08])
199883  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273537 ,  9.50275e-08])
199884  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.51226e-08])
199892  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199893  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199894  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199895  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199896  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85696e-14,  0.00273264 ,  9.50275e-08])
199897  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273537 ,  9.50275e-08])
199898  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.51226e-08])
199899  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199900  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199901  , -79032.2    , array([ 0.399764   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199902  , -79032.3    , array([ 0.399365   ,  0.00195828 ,  1.85511e-14,  0.00273264 ,  9.50275e-08])
199903  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85696e-14,  0.00273264 ,  9.50275e-08])
199904  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273537 ,  9.50275e-08])
199905  , -79032.2    , array([ 0.399365   ,  0.00195632 ,  1.85511e-14,  0.00273264 ,  9.51226e-08])
199906  , -78973.9    , array([ 0.390803   ,  0.0013916  ,  1.85511e-14,  0.00273264 ,  1.36596e-07])
