25110   , -2336.77    , array([ 0.659484   ,  31.5609    ,  3.81999e-06,  3.4175e-43 ])
25111   , -2336.77    , array([ 0.660144   ,  31.5609    ,  3.81999e-06,  3.4175e-43 ])
25112   , -2336.77    , array([ 0.659484   ,  31.5925    ,  3.81999e-06,  3.4175e-43 ])
25113   , -2336.77    , array([ 0.659484   ,  31.5609    ,  3.82382e-06,  3.4175e-43 ])
25114   , -2336.77    , array([ 0.659484   ,  31.5609    ,  3.81999e-06,  3.42092e-43])
25115   , -2336.77    , array([ 0.659484   ,  31.5609    ,  3.81999e-06,  3.4175e-43 ])
25116   , -2336.75    , array([ 0.590063   ,  31.5609    ,  3.9676e-06 ,  3.4175e-43 ])
25117   , -2336.75    , array([ 0.590063   ,  31.5609    ,  3.9676e-06 ,  3.4175e-43 ])
25118   , -2336.75    , array([ 0.590654   ,  31.5609    ,  3.9676e-06 ,  3.4175e-43 ])
25119   , -2336.75    , array([ 0.590063   ,  31.5925    ,  3.9676e-06 ,  3.4175e-43 ])
25120   , -2336.75    , array([ 0.590063   ,  31.5609    ,  3.97157e-06,  3.4175e-43 ])
25121   , -2336.75    , array([ 0.590063   ,  31.5609    ,  3.9676e-06 ,  3.42092e-43])
25122   , -2336.66    , array([ 0.37816    ,  31.5609    ,  4.61732e-06,  3.4175e-43 ])
25123   , -2336.66    , array([ 0.37816    ,  31.5609    ,  4.61732e-06,  3.4175e-43 ])
25124   , -2336.66    , array([ 0.378538   ,  31.5609    ,  4.61732e-06,  3.4175e-43 ])
25125   , -2336.66    , array([ 0.37816    ,  31.5925    ,  4.61732e-06,  3.4175e-43 ])
25126   , -2336.66    , array([ 0.37816    ,  31.5609    ,  4.62194e-06,  3.4175e-43 ])
25127   , -2336.66    , array([ 0.37816    ,  31.5609    ,  4.61732e-06,  3.42092e-43])
25128   , -2334.42    , array([ 0.0637942  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25129   , -2334.42    , array([ 0.0637942  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25130   , -2334.42    , array([ 0.063858   ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25131   , -2334.42    , array([ 0.0637942  ,  31.5925    ,  8.46908e-06,  3.4175e-43 ])
25132   , -2334.42    , array([ 0.0637942  ,  31.5609    ,  8.47755e-06,  3.4175e-43 ])
25133   , -2334.42    , array([ 0.0637942  ,  31.5609    ,  8.46908e-06,  3.42092e-43])
25140   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25141   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25142   , -2334.42    , array([ 0.063858   ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25143   , -2334.42    , array([ 0.0637941  ,  31.5925    ,  8.46908e-06,  3.4175e-43 ])
25144   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.47755e-06,  3.4175e-43 ])
25145   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.42092e-43])
25146   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25147   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25148   , -2334.42    , array([ 0.0638579  ,  31.5609    ,  8.46908e-06,  3.4175e-43 ])
25149   , -2334.42    , array([ 0.0637941  ,  31.5925    ,  8.46908e-06,  3.4175e-43 ])
25150   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.47755e-06,  3.4175e-43 ])
25151   , -2334.42    , array([ 0.0637941  ,  31.5609    ,  8.46908e-06,  3.42092e-43])
25152   , -2097.09    , array([ 0.00181548 ,  31.5609    ,  2.84924e-05,  3.4175e-43 ])
25153   , -2097.09    , array([ 0.00181548 ,  31.5609    ,  2.84924e-05,  3.4175e-43 ])
25154   , -2097.28    , array([ 0.0018173  ,  31.5609    ,  2.84924e-05,  3.4175e-43 ])
25155   , -2097.09    , array([ 0.00181548 ,  31.5925    ,  2.84924e-05,  3.4175e-43 ])
25156   , -2096.9     , array([ 0.00181548 ,  31.5609    ,  2.85209e-05,  3.4175e-43 ])
25157   , -2097.09    , array([ 0.00181548 ,  31.5609    ,  2.84924e-05,  3.42092e-43])
25158   , -2097.09    , array([ 0.00181547 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25159   , -2097.09    , array([ 0.00181547 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25160   , -2097.28    , array([ 0.00181729 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25161   , -2097.09    , array([ 0.00181547 ,  31.5925    ,  2.84925e-05,  3.4175e-43 ])
25162   , -2096.9     , array([ 0.00181547 ,  31.5609    ,  2.8521e-05 ,  3.4175e-43 ])
25163   , -2097.09    , array([ 0.00181547 ,  31.5609    ,  2.84925e-05,  3.42092e-43])
25164   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25165   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25166   , -2097.28    , array([ 0.00181728 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25167   , -2097.09    , array([ 0.00181546 ,  31.5925    ,  2.84925e-05,  3.4175e-43 ])
25168   , -2096.9     , array([ 0.00181546 ,  31.5609    ,  2.8521e-05 ,  3.4175e-43 ])
25169   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.42092e-43])
25176   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25177   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25178   , -2097.28    , array([ 0.00181728 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25179   , -2097.09    , array([ 0.00181546 ,  31.5925    ,  2.84925e-05,  3.4175e-43 ])
25180   , -2096.9     , array([ 0.00181546 ,  31.5609    ,  2.8521e-05 ,  3.4175e-43 ])
25181   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.42092e-43])
25182   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
25183   , -2097.09    , array([ 0.00181546 ,  31.5609    ,  2.84925e-05,  3.4175e-43 ])
