56029   , -2609.01    , array([ 0.87656    ,  0.127719   ,  0.000223603,  7.74209e-08,  0.0378456  ])
56030   , -2607.81    , array([ 0.877437   ,  0.127719   ,  0.000223603,  7.74209e-08,  0.0378456  ])
56031   , -2614.09    , array([ 0.87656    ,  0.127847   ,  0.000223603,  7.74209e-08,  0.0378456  ])
56032   , -2609.01    , array([ 0.87656    ,  0.127719   ,  0.000223827,  7.74209e-08,  0.0378456  ])
56033   , -2609.01    , array([ 0.87656    ,  0.127719   ,  0.000223603,  7.74984e-08,  0.0378456  ])
56034   , -2605.54    , array([ 0.87656    ,  0.127719   ,  0.000223603,  7.74209e-08,  0.0378835  ])
56035   , -2609.01    , array([ 0.87656    ,  0.127719   ,  0.000223603,  7.74209e-08,  0.0378456  ])
56036   , -25298.5    , array([ 1.0626     ,  0.0563109  ,  0.000223605,  7.74209e-08,  0.0661829  ])
56037   , -25298.5    , array([ 1.0626     ,  0.0563109  ,  0.000223605,  7.74209e-08,  0.0661829  ])
56038   , -25297.4    , array([ 1.06367    ,  0.0563109  ,  0.000223605,  7.74209e-08,  0.0661829  ])
56039   , -25257.5    , array([ 1.0626     ,  0.0563672  ,  0.000223605,  7.74209e-08,  0.0661829  ])
56040   , -25298.5    , array([ 1.0626     ,  0.0563109  ,  0.000223828,  7.74209e-08,  0.0661829  ])
56041   , -25298.5    , array([ 1.0626     ,  0.0563109  ,  0.000223605,  7.74984e-08,  0.0661829  ])
56042   , -25340.9    , array([ 1.0626     ,  0.0563109  ,  0.000223605,  7.74209e-08,  0.0662491  ])
56043   , -2203.55    , array([ 0.896818   ,  0.115888   ,  0.000223604,  7.74209e-08,  0.0404417  ])
56044   , -2203.55    , array([ 0.896818   ,  0.115888   ,  0.000223604,  7.74209e-08,  0.0404417  ])
56045   , -2202.18    , array([ 0.897716   ,  0.115888   ,  0.000223604,  7.74209e-08,  0.0404417  ])
56046   , -2204.39    , array([ 0.896818   ,  0.116004   ,  0.000223604,  7.74209e-08,  0.0404417  ])
56047   , -2203.55    , array([ 0.896818   ,  0.115888   ,  0.000223827,  7.74209e-08,  0.0404417  ])
56048   , -2203.55    , array([ 0.896818   ,  0.115888   ,  0.000223604,  7.74984e-08,  0.0404417  ])
56049   , -2204.51    , array([ 0.896818   ,  0.115888   ,  0.000223604,  7.74209e-08,  0.0404821  ])
56050   , -1730.22    , array([ 1.23776    ,  0.0929179  ,  0.000223607,  7.74209e-08,  0.0331566  ])
56051   , -1730.22    , array([ 1.23776    ,  0.0929179  ,  0.000223607,  7.74209e-08,  0.0331566  ])
56052   , -1729.93    , array([ 1.239      ,  0.0929179  ,  0.000223607,  7.74209e-08,  0.0331566  ])
56053   , -1730.46    , array([ 1.23776    ,  0.0930109  ,  0.000223607,  7.74209e-08,  0.0331566  ])
56054   , -1730.22    , array([ 1.23776    ,  0.0929179  ,  0.000223831,  7.74209e-08,  0.0331566  ])
56055   , -1730.22    , array([ 1.23776    ,  0.0929179  ,  0.000223607,  7.74984e-08,  0.0331566  ])
56056   , -1730.62    , array([ 1.23776    ,  0.0929179  ,  0.000223607,  7.74209e-08,  0.0331897  ])
56057   , -2929.5     , array([ 0.0561677  ,  0.00507144 ,  0.000223728,  7.74209e-08,  0.00179029 ])
56058   , -2929.5     , array([ 0.0561677  ,  0.00507144 ,  0.000223728,  7.74209e-08,  0.00179029 ])
56059   , -2928.27    , array([ 0.0562239  ,  0.00507144 ,  0.000223728,  7.74209e-08,  0.00179029 ])
56060   , -2928.57    , array([ 0.0561677  ,  0.00507652 ,  0.000223728,  7.74209e-08,  0.00179029 ])
56061   , -2929.5     , array([ 0.0561677  ,  0.00507144 ,  0.000223952,  7.74209e-08,  0.00179029 ])
56062   , -2929.5     , array([ 0.0561677  ,  0.00507144 ,  0.000223728,  7.74984e-08,  0.00179029 ])
56063   , -2931.51    , array([ 0.0561677  ,  0.00507144 ,  0.000223728,  7.74209e-08,  0.00179208 ])
56064   , -1731.31    , array([ 0.886325   ,  0.0678759  ,  0.00022362 ,  7.74209e-08,  0.0241925  ])
56065   , -1731.31    , array([ 0.886325   ,  0.0678759  ,  0.00022362 ,  7.74209e-08,  0.0241925  ])
56066   , -1730.82    , array([ 0.887212   ,  0.0678759  ,  0.00022362 ,  7.74209e-08,  0.0241925  ])
56067   , -1731.28    , array([ 0.886325   ,  0.0679438  ,  0.00022362 ,  7.74209e-08,  0.0241925  ])
56068   , -1731.31    , array([ 0.886325   ,  0.0678759  ,  0.000223844,  7.74209e-08,  0.0241925  ])
56069   , -1731.31    , array([ 0.886325   ,  0.0678759  ,  0.00022362 ,  7.74984e-08,  0.0241925  ])
56070   , -1731.65    , array([ 0.886325   ,  0.0678759  ,  0.00022362 ,  7.74209e-08,  0.0242167  ])
56071   , -1709.36    , array([ 1.06781    ,  0.08087    ,  0.000223613,  7.74209e-08,  0.0288426  ])
56072   , -1709.36    , array([ 1.06781    ,  0.08087    ,  0.000223613,  7.74209e-08,  0.0288426  ])
56073   , -1708.97    , array([ 1.06888    ,  0.08087    ,  0.000223613,  7.74209e-08,  0.0288426  ])
56074   , -1709.47    , array([ 1.06781    ,  0.0809509  ,  0.000223613,  7.74209e-08,  0.0288426  ])
56075   , -1709.36    , array([ 1.06781    ,  0.08087    ,  0.000223837,  7.74209e-08,  0.0288426  ])
56076   , -1709.36    , array([ 1.06781    ,  0.08087    ,  0.000223613,  7.74984e-08,  0.0288426  ])
56077   , -1709.7     , array([ 1.06781    ,  0.08087    ,  0.000223613,  7.74209e-08,  0.0288714  ])
56078   , -1675.12    , array([ 1.12805    ,  0.0771457  ,  0.000225031,  7.7421e-08 ,  0.0275633  ])
56079   , -1675.12    , array([ 1.12805    ,  0.0771457  ,  0.000225031,  7.7421e-08 ,  0.0275633  ])
56080   , -1674.85    , array([ 1.12918    ,  0.0771457  ,  0.000225031,  7.7421e-08 ,  0.0275633  ])
56081   , -1675.18    , array([ 1.12805    ,  0.0772229  ,  0.000225031,  7.7421e-08 ,  0.0275633  ])
