134956  , -79089.4    , array([ 0.0171879  ,  0.167281   ,  2.76168e-27,  6.68234e-30,  1.0093e-12 ])
134957  , -79089.4    , array([ 0.0171879  ,  0.167281   ,  2.75892e-27,  6.68903e-30,  1.0093e-12 ])
134958  , -79089.4    , array([ 0.0171879  ,  0.167281   ,  2.75892e-27,  6.68234e-30,  1.01031e-12])
134959  , -79089.4    , array([ 0.0145096  ,  0.162835   ,  2.75892e-27,  6.68234e-30,  1.22972e-12])
134960  , -79089.4    , array([ 0.0145096  ,  0.162835   ,  2.75892e-27,  6.68234e-30,  1.22972e-12])
134961  , -79089.4    , array([ 0.0145241  ,  0.162835   ,  2.75892e-27,  6.68234e-30,  1.22972e-12])
134962  , -79089.4    , array([ 0.0145096  ,  0.162998   ,  2.75892e-27,  6.68234e-30,  1.22972e-12])
134963  , -79089.4    , array([ 0.0145096  ,  0.162835   ,  2.76168e-27,  6.68234e-30,  1.22972e-12])
134964  , -79089.4    , array([ 0.0145096  ,  0.162835   ,  2.75892e-27,  6.68903e-30,  1.22972e-12])
134965  , -79089.4    , array([ 0.0145096  ,  0.162835   ,  2.75892e-27,  6.68234e-30,  1.23095e-12])
134966  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134967  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134968  , -79089.4    , array([ 0.00737596 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134969  , -79089.4    , array([ 0.00736859 ,  0.146345   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134970  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.76168e-27,  6.68234e-30,  2.70988e-12])
134971  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68903e-30,  2.70988e-12])
134972  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.7126e-12 ])
134980  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134981  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134982  , -79089.4    , array([ 0.00737596 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134983  , -79089.4    , array([ 0.00736859 ,  0.146345   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134984  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.76168e-27,  6.68234e-30,  2.70988e-12])
134985  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68903e-30,  2.70988e-12])
134986  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.7126e-12 ])
134987  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134988  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134989  , -79089.4    , array([ 0.00737596 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134990  , -79089.4    , array([ 0.00736859 ,  0.146345   ,  2.75892e-27,  6.68234e-30,  2.70988e-12])
134991  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.76168e-27,  6.68234e-30,  2.70988e-12])
134992  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68903e-30,  2.70988e-12])
134993  , -79089.4    , array([ 0.00736859 ,  0.146199   ,  2.75892e-27,  6.68234e-30,  2.7126e-12 ])
134994  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
134995  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
134996  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
134997  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
134998  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
134999  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135000  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135001  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135002  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135003  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135004  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135005  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135006  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135007  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135008  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135009  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135010  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135011  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135012  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135013  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135014  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135015  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135016  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135017  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135018  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135019  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135020  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135021  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135022  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135023  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135024  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135025  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135026  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135027  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135028  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135029  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135030  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135031  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135032  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135033  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135034  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135035  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135036  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135037  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135038  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135039  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
