255942  , -62719.8    , array([ 0.659389   ,  0.467576   ,  0.547799   ,  3.30536e-18,  0.00522443 ])
255943  , -62723.9    , array([ 0.660049   ,  0.467576   ,  0.547799   ,  3.30536e-18,  0.00522443 ])
255944  , -62729.3    , array([ 0.659389   ,  0.468043   ,  0.547799   ,  3.30536e-18,  0.00522443 ])
255945  , -62719.8    , array([ 0.659389   ,  0.467576   ,  0.548347   ,  3.30536e-18,  0.00522443 ])
255946  , -62719.8    , array([ 0.659389   ,  0.467576   ,  0.547799   ,  3.30867e-18,  0.00522443 ])
255947  , -62706.1    , array([ 0.659389   ,  0.467576   ,  0.547799   ,  3.30536e-18,  0.00522966 ])
255948  , -62719.8    , array([ 0.659389   ,  0.467576   ,  0.547799   ,  3.30536e-18,  0.00522443 ])
255949  , -37583.8    , array([ 0.51841    ,  0.266853   ,  0.546849   ,  3.30536e-18,  0.0116829  ])
255950  , -37583.8    , array([ 0.51841    ,  0.266853   ,  0.546849   ,  3.30536e-18,  0.0116829  ])
255951  , -37588.2    , array([ 0.518928   ,  0.266853   ,  0.546849   ,  3.30536e-18,  0.0116829  ])
255952  , -37603.6    , array([ 0.51841    ,  0.26712    ,  0.546849   ,  3.30536e-18,  0.0116829  ])
255953  , -37584      , array([ 0.51841    ,  0.266853   ,  0.547396   ,  3.30536e-18,  0.0116829  ])
255954  , -37583.8    , array([ 0.51841    ,  0.266853   ,  0.546849   ,  3.30867e-18,  0.0116829  ])
255955  , -37559.6    , array([ 0.51841    ,  0.266853   ,  0.546849   ,  3.30536e-18,  0.0116946  ])
255956  , -251037     , array([ 0.198061   ,  0.0283111  ,  0.543066   ,  3.30536e-18,  0.292141   ])
255957  , -251037     , array([ 0.198061   ,  0.0283111  ,  0.543066   ,  3.30536e-18,  0.292141   ])
255958  , -251043     , array([ 0.198259   ,  0.0283111  ,  0.543066   ,  3.30536e-18,  0.292141   ])
255959  , -250916     , array([ 0.198061   ,  0.0283394  ,  0.543066   ,  3.30536e-18,  0.292141   ])
255960  , -251000     , array([ 0.198061   ,  0.0283111  ,  0.543609   ,  3.30536e-18,  0.292141   ])
255961  , -251037     , array([ 0.198061   ,  0.0283111  ,  0.543066   ,  3.30867e-18,  0.292141   ])
255962  , -251082     , array([ 0.198061   ,  0.0283111  ,  0.543066   ,  3.30536e-18,  0.292434   ])
255963  , -19929.5    , array([ 0.453257   ,  0.195108   ,  0.546319   ,  3.30536e-18,  0.0183102  ])
255964  , -19929.5    , array([ 0.453257   ,  0.195108   ,  0.546319   ,  3.30536e-18,  0.0183102  ])
255965  , -19930.8    , array([ 0.453711   ,  0.195108   ,  0.546319   ,  3.30536e-18,  0.0183102  ])
255966  , -19949.9    , array([ 0.453257   ,  0.195303   ,  0.546319   ,  3.30536e-18,  0.0183102  ])
255967  , -19929.6    , array([ 0.453257   ,  0.195108   ,  0.546866   ,  3.30536e-18,  0.0183102  ])
255968  , -19929.5    , array([ 0.453257   ,  0.195108   ,  0.546319   ,  3.30867e-18,  0.0183102  ])
255969  , -19907.5    , array([ 0.453257   ,  0.195108   ,  0.546319   ,  3.30536e-18,  0.0183286  ])
255970  , -5253.39    , array([ 0.367318   ,  0.119507   ,  0.545491   ,  3.30536e-18,  0.0369961  ])
255971  , -5253.39    , array([ 0.367318   ,  0.119507   ,  0.545491   ,  3.30536e-18,  0.0369961  ])
255972  , -5246.47    , array([ 0.367686   ,  0.119507   ,  0.545491   ,  3.30536e-18,  0.0369961  ])
255973  , -5257.53    , array([ 0.367318   ,  0.119626   ,  0.545491   ,  3.30536e-18,  0.0369961  ])
255974  , -5253.14    , array([ 0.367318   ,  0.119507   ,  0.546037   ,  3.30536e-18,  0.0369961  ])
255975  , -5253.39    , array([ 0.367318   ,  0.119507   ,  0.545491   ,  3.30867e-18,  0.0369961  ])
255976  , -5255.08    , array([ 0.367318   ,  0.119507   ,  0.545491   ,  3.30536e-18,  0.0370331  ])
255984  , -5231.06    , array([ 0.368063   ,  0.119234   ,  0.545537   ,  3.30536e-18,  0.0370202  ])
255985  , -5231.06    , array([ 0.368063   ,  0.119234   ,  0.545537   ,  3.30536e-18,  0.0370202  ])
255986  , -5224.15    , array([ 0.368432   ,  0.119234   ,  0.545537   ,  3.30536e-18,  0.0370202  ])
255987  , -5235.14    , array([ 0.368063   ,  0.119353   ,  0.545537   ,  3.30536e-18,  0.0370202  ])
255988  , -5230.81    , array([ 0.368063   ,  0.119234   ,  0.546083   ,  3.30536e-18,  0.0370202  ])
255989  , -5231.06    , array([ 0.368063   ,  0.119234   ,  0.545537   ,  3.30867e-18,  0.0370202  ])
255990  , -5232.8     , array([ 0.368063   ,  0.119234   ,  0.545537   ,  3.30536e-18,  0.0370572  ])
255991  , -4205.18    , array([ 0.450719   ,  0.0948478  ,  0.550176   ,  3.30536e-18,  0.0395025  ])
255992  , -4205.18    , array([ 0.450719   ,  0.0948478  ,  0.550176   ,  3.30536e-18,  0.0395025  ])
255993  , -4200.04    , array([ 0.45117    ,  0.0948478  ,  0.550176   ,  3.30536e-18,  0.0395025  ])
255994  , -4201.7     , array([ 0.450719   ,  0.0949427  ,  0.550176   ,  3.30536e-18,  0.0395025  ])
255995  , -4204.83    , array([ 0.450719   ,  0.0948478  ,  0.550726   ,  3.30536e-18,  0.0395025  ])
255996  , -4205.18    , array([ 0.450719   ,  0.0948478  ,  0.550176   ,  3.30867e-18,  0.0395025  ])
255997  , -4212.77    , array([ 0.450719   ,  0.0948478  ,  0.550176   ,  3.30536e-18,  0.039542   ])
256005  , -4205.17    , array([ 0.450723   ,  0.0948487  ,  0.550182   ,  3.30536e-18,  0.0395028  ])
