671     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
672     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
673     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
674     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
675     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
676     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
677     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
678     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
679     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
680     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
681     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
682     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
683     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
690     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
691     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
692     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
693     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
694     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
695     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
696     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
697     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
698     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
699     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
700     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
701     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
708     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
709     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
710     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
711     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
712     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
713     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
714     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
715     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617227])
716     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
717     , -12869.2    , array([ 0.00142627 ,  3.52083    ,  3.85566e-06,  0.000617227])
718     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85952e-06,  0.000617227])
719     , -12869.2    , array([ 0.00142627 ,  3.51731    ,  3.85566e-06,  0.000617845])
720     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
721     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
722     , -12868.3    , array([ 0.00107643 ,  3.4083     ,  3.00416e-06,  0.000628233])
723     , -12868.3    , array([ 0.00107535 ,  3.41171    ,  3.00416e-06,  0.000628233])
724     , -12868.2    , array([ 0.00107535 ,  3.4083     ,  3.00716e-06,  0.000628233])
725     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628862])
726     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
727     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
728     , -12868.3    , array([ 0.00107643 ,  3.4083     ,  3.00416e-06,  0.000628233])
729     , -12868.3    , array([ 0.00107535 ,  3.41171    ,  3.00416e-06,  0.000628233])
730     , -12868.2    , array([ 0.00107535 ,  3.4083     ,  3.00716e-06,  0.000628233])
731     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628862])
732     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000628664])
733     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000628664])
734     , -12868.3    , array([ 0.0010647  ,  3.40414    ,  2.97523e-06,  0.000628664])
735     , -12868.2    , array([ 0.00106364 ,  3.40755    ,  2.97523e-06,  0.000628664])
736     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.9782e-06 ,  0.000628664])
737     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000629293])
744     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000628664])
745     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000628664])
746     , -12868.3    , array([ 0.0010647  ,  3.40414    ,  2.97523e-06,  0.000628664])
747     , -12868.2    , array([ 0.00106364 ,  3.40755    ,  2.97523e-06,  0.000628664])
