188104  , -42116.2    , array([ 0.0360786  ,  0.138543   ,  0.000416561,  7.57923e-57,  0.00339472 ])
188105  , -42113.4    , array([ 0.0361146  ,  0.138543   ,  0.000416561,  7.57923e-57,  0.00339472 ])
188106  , -42126.3    , array([ 0.0360786  ,  0.138682   ,  0.000416561,  7.57923e-57,  0.00339472 ])
188107  , -42116.2    , array([ 0.0360786  ,  0.138543   ,  0.000416977,  7.57923e-57,  0.00339472 ])
188108  , -42116.2    , array([ 0.0360786  ,  0.138543   ,  0.000416561,  7.58681e-57,  0.00339472 ])
188109  , -42108.2    , array([ 0.0360786  ,  0.138543   ,  0.000416561,  7.57923e-57,  0.00339811 ])
188110  , -42116.2    , array([ 0.0360786  ,  0.138543   ,  0.000416561,  7.57923e-57,  0.00339472 ])
188111  , -25640.8    , array([ 0.044766   ,  0.0639647  ,  0.000416561,  7.57923e-57,  0.006269   ])
188112  , -25640.8    , array([ 0.044766   ,  0.0639647  ,  0.000416561,  7.57923e-57,  0.006269   ])
188113  , -25626.2    , array([ 0.0448108  ,  0.0639647  ,  0.000416561,  7.57923e-57,  0.006269   ])
188114  , -25657.2    , array([ 0.044766   ,  0.0640287  ,  0.000416561,  7.57923e-57,  0.006269   ])
188115  , -25640.8    , array([ 0.044766   ,  0.0639647  ,  0.000416977,  7.57923e-57,  0.006269   ])
188116  , -25640.8    , array([ 0.044766   ,  0.0639647  ,  0.000416561,  7.58681e-57,  0.006269   ])
188117  , -25637.9    , array([ 0.044766   ,  0.0639647  ,  0.000416561,  7.57923e-57,  0.00627527 ])
188118  , -740855     , array([ 0.106108   ,  0.00290645 ,  0.00041656 ,  7.57923e-57,  0.0729083  ])
188119  , -740855     , array([ 0.106108   ,  0.00290645 ,  0.00041656 ,  7.57923e-57,  0.0729083  ])
188120  , -740887     , array([ 0.106214   ,  0.00290645 ,  0.00041656 ,  7.57923e-57,  0.0729083  ])
188121  , -740537     , array([ 0.106108   ,  0.00290936 ,  0.00041656 ,  7.57923e-57,  0.0729083  ])
188122  , -740830     , array([ 0.106108   ,  0.00290645 ,  0.000416977,  7.57923e-57,  0.0729083  ])
188123  , -740855     , array([ 0.106108   ,  0.00290645 ,  0.00041656 ,  7.58681e-57,  0.0729083  ])
188124  , -741081     , array([ 0.106108   ,  0.00290645 ,  0.00041656 ,  7.57923e-57,  0.0729813  ])
188125  , -22467.3    , array([ 0.0466059  ,  0.0553707  ,  0.000416561,  7.57923e-57,  0.0070296  ])
188126  , -22467.3    , array([ 0.0466059  ,  0.0553707  ,  0.000416561,  7.57923e-57,  0.0070296  ])
188127  , -22450.7    , array([ 0.0466525  ,  0.0553707  ,  0.000416561,  7.57923e-57,  0.0070296  ])
188128  , -22483.1    , array([ 0.0466059  ,  0.0554261  ,  0.000416561,  7.57923e-57,  0.0070296  ])
188129  , -22467.3    , array([ 0.0466059  ,  0.0553707  ,  0.000416977,  7.57923e-57,  0.0070296  ])
188130  , -22467.3    , array([ 0.0466059  ,  0.0553707  ,  0.000416561,  7.58681e-57,  0.0070296  ])
188131  , -22466.7    , array([ 0.0466059  ,  0.0553707  ,  0.000416561,  7.57923e-57,  0.00703663 ])
188132  , -16199.8    , array([ 0.0538715  ,  0.0329533  ,  0.000416561,  7.57923e-57,  0.0106124  ])
188133  , -16199.8    , array([ 0.0538715  ,  0.0329533  ,  0.000416561,  7.57923e-57,  0.0106124  ])
188134  , -16179.2    , array([ 0.0539254  ,  0.0329533  ,  0.000416561,  7.57923e-57,  0.0106124  ])
188135  , -16204.5    , array([ 0.0538715  ,  0.0329863  ,  0.000416561,  7.57923e-57,  0.0106124  ])
188136  , -16199.8    , array([ 0.0538715  ,  0.0329533  ,  0.000416977,  7.57923e-57,  0.0106124  ])
188137  , -16199.8    , array([ 0.0538715  ,  0.0329533  ,  0.000416561,  7.58681e-57,  0.0106124  ])
188138  , -16214.1    , array([ 0.0538715  ,  0.0329533  ,  0.000416561,  7.57923e-57,  0.010623   ])
188139  , -1.05553e+06, array([ 0.730045   ,  0.00101284 ,  0.000416565,  7.57923e-57,  0.0362918  ])
188140  , -1.05553e+06, array([ 0.730045   ,  0.00101284 ,  0.000416565,  7.57923e-57,  0.0362918  ])
188141  , -1.05556e+06, array([ 0.730775   ,  0.00101284 ,  0.000416565,  7.57923e-57,  0.0362918  ])
188142  , -1.05485e+06, array([ 0.730045   ,  0.00101386 ,  0.000416565,  7.57923e-57,  0.0362918  ])
188143  , -1.05551e+06, array([ 0.730045   ,  0.00101284 ,  0.000416982,  7.57923e-57,  0.0362918  ])
188144  , -1.05553e+06, array([ 0.730045   ,  0.00101284 ,  0.000416565,  7.58681e-57,  0.0362918  ])
188145  , -1.05613e+06, array([ 0.730045   ,  0.00101284 ,  0.000416565,  7.57923e-57,  0.0363281  ])
188146  , -14101.7    , array([ 0.0651647  ,  0.0255548  ,  0.000416561,  7.57923e-57,  0.0116092  ])
188147  , -14101.7    , array([ 0.0651647  ,  0.0255548  ,  0.000416561,  7.57923e-57,  0.0116092  ])
188148  , -14085.1    , array([ 0.0652299  ,  0.0255548  ,  0.000416561,  7.57923e-57,  0.0116092  ])
188149  , -14097.2    , array([ 0.0651647  ,  0.0255804  ,  0.000416561,  7.57923e-57,  0.0116092  ])
188150  , -14101.7    , array([ 0.0651647  ,  0.0255548  ,  0.000416978,  7.57923e-57,  0.0116092  ])
188151  , -14101.7    , array([ 0.0651647  ,  0.0255548  ,  0.000416561,  7.58681e-57,  0.0116092  ])
188152  , -14121.4    , array([ 0.0651647  ,  0.0255548  ,  0.000416561,  7.57923e-57,  0.0116208  ])
188153  , -63335.4    , array([ 9.63808    ,  4.35232    ,  0.000416863,  7.57923e-57,  2.07221    ])
188154  , -63335.4    , array([ 9.63808    ,  4.35232    ,  0.000416863,  7.57923e-57,  2.07221    ])
188155  , -63331.5    , array([ 9.64773    ,  4.35232    ,  0.000416863,  7.57923e-57,  2.07221    ])
188156  , -63333.1    , array([ 9.63808    ,  4.35667    ,  0.000416863,  7.57923e-57,  2.07221    ])
188157  , -63335.3    , array([ 9.63808    ,  4.35232    ,  0.000417281,  7.57923e-57,  2.07221    ])
188158  , -63335.4    , array([ 9.63808    ,  4.35232    ,  0.000416863,  7.58681e-57,  2.07221    ])
188159  , -63373.1    , array([ 9.63808    ,  4.35232    ,  0.000416863,  7.57923e-57,  2.07428    ])
188160  , -13384.5    , array([ 0.118843   ,  0.0474026  ,  0.000416597,  7.57923e-57,  0.0216562  ])
188161  , -13384.5    , array([ 0.118843   ,  0.0474026  ,  0.000416597,  7.57923e-57,  0.0216562  ])
188162  , -13368.2    , array([ 0.118962   ,  0.0474026  ,  0.000416597,  7.57923e-57,  0.0216562  ])
188163  , -13379.9    , array([ 0.118843   ,  0.04745    ,  0.000416597,  7.57923e-57,  0.0216562  ])
188164  , -13384.5    , array([ 0.118843   ,  0.0474026  ,  0.000417014,  7.57923e-57,  0.0216562  ])
188165  , -13384.5    , array([ 0.118843   ,  0.0474026  ,  0.000416597,  7.58681e-57,  0.0216562  ])
188166  , -13403.3    , array([ 0.118843   ,  0.0474026  ,  0.000416597,  7.57923e-57,  0.0216779  ])
