148469  , -79089.4    , array([ 0.321576   ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148470  , -79089.4    , array([ 0.321576   ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148471  , -79089.4    , array([ 1.32158    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148472  , -79089.4    , array([ 2.93961    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148473  , -79089.4    , array([ 1.32158    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148474  , -79089.4    , array([ 1.93961    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148475  , -79089.4    , array([ 2.32158    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148476  , -79089.4    , array([ 2.55764    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148477  , -79089.4    , array([ 2.70354    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148478  , -79089.4    , array([ 2.79371    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148479  , -79089.4    , array([ 2.84944    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148480  , -79089.4    , array([ 2.88388    ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148481  , -79089.4    , array([ 2.9095     ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148482  , -79089.4    , array([ 2.9095     ,  20.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148483  , -79089.4    , array([ 2.9095     ,  21.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148484  , -79089.4    , array([ 2.9095     ,  23.2775    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148485  , -79089.4    , array([ 2.9095     ,  21.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148486  , -79089.4    , array([ 2.9095     ,  22.2775    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148487  , -79089.4    , array([ 2.9095     ,  22.6594    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148488  , -79089.4    , array([ 2.9095     ,  22.8955    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148489  , -79089.4    , array([ 2.9095     ,  23.0414    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148490  , -79089.4    , array([ 2.9095     ,  23.1316    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148491  , -79089.4    , array([ 2.9095     ,  23.1873    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148492  , -79089.4    , array([ 2.9095     ,  23.2217    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148493  , -79089.4    , array([ 2.9095     ,  23.2474    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148494  , -79089.4    , array([ 2.9095     ,  23.2474    ,  3.26721e-44,  6.37857e-41,  5.546e-72  ])
148495  , -79089.4    , array([ 2.9095     ,  23.2474    ,  1          ,  6.37857e-41,  5.546e-72  ])
148496  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.61803    ,  6.37857e-41,  5.546e-72  ])
148497  , -79089.4    , array([ 2.9095     ,  23.2474    ,  1          ,  6.37857e-41,  5.546e-72  ])
148498  , -79089.4    , array([ 2.9095     ,  23.2474    ,  1.61803    ,  6.37857e-41,  5.546e-72  ])
148499  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2          ,  6.37857e-41,  5.546e-72  ])
148500  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.23607    ,  6.37857e-41,  5.546e-72  ])
148501  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.38197    ,  6.37857e-41,  5.546e-72  ])
148502  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.47214    ,  6.37857e-41,  5.546e-72  ])
148503  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.52786    ,  6.37857e-41,  5.546e-72  ])
148504  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.56231    ,  6.37857e-41,  5.546e-72  ])
148505  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  6.37857e-41,  5.546e-72  ])
148506  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  6.37857e-41,  5.546e-72  ])
148507  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  1          ,  5.546e-72  ])
148508  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.61803    ,  5.546e-72  ])
148509  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  1          ,  5.546e-72  ])
148510  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  1.61803    ,  5.546e-72  ])
148511  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2          ,  5.546e-72  ])
148512  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.23607    ,  5.546e-72  ])
148513  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.38197    ,  5.546e-72  ])
148514  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.47214    ,  5.546e-72  ])
148515  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.52786    ,  5.546e-72  ])
148516  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.56231    ,  5.546e-72  ])
148517  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  5.546e-72  ])
148518  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  5.546e-72  ])
148519  , -85127.7    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  1          ])
148521  , -79089.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  5.546e-72  ])
148523  , -75319.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.381966   ])
148524  , -69301.6    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.191014   ])
148525  , -69997.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.213761   ])
148526  , -67820.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.118053   ])
148527  , -69089.1    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.0601073  ])
148528  , -67855.5    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.123043   ])
148529  , -67800.4    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.112897   ])
148530  , -67917.1    , array([ 2.9095     ,  23.2474    ,  2.58793    ,  2.58793    ,  0.092733   ])
