8009    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  0.00155281 ,  0.000770179])
8011    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  0.00059312 ,  0.000770179])
8013    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  0.000226552,  0.000770179])
8015    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  8.65351e-05,  0.000770179])
8017    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  3.30535e-05,  0.000770179])
8019    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  1.26253e-05,  0.000770179])
8021    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  4.82243e-06,  0.000770179])
8023    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  1.84201e-06,  0.000770179])
8025    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  7.03584e-07,  0.000770179])
8027    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  2.68745e-07,  0.000770179])
8029    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  1.02651e-07,  0.000770179])
8031    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  3.92094e-08,  0.000770179])
8033    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  1.49766e-08,  0.000770179])
8035    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  5.72057e-09,  0.000770179])
8037    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  2.18506e-09,  0.000770179])
8039    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  8.3462e-10 ,  0.000770179])
8041    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  3.18796e-10,  0.000770179])
8043    , -36903.8    , array([ 0.0210377  ,  0.0184674  ,  1.67819e-07,  1.21769e-10,  0.000770179])
