175237  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175238  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175239  , -79089.4    , array([ 2.62088    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175240  , -79089.4    , array([ 2.61826    ,  6.35222    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175241  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.502338   ,  2.24059e-25,  6.81457e-11])
175242  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24283e-25,  6.81457e-11])
175243  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.82138e-11])
175244  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175245  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175246  , -79089.4    , array([ 1.28668    ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175247  , -79089.4    , array([ 1.2854     ,  3.92809    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175248  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505703   ,  2.24059e-25,  2.32976e-10])
175249  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24283e-25,  2.32976e-10])
175250  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.33209e-10])
175251  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175252  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175253  , -79089      , array([ 0.0747432  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175254  , -79089      , array([ 0.0746685  ,  0.574386   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175255  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175256  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175257  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175265  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175266  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175267  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175268  , -79089      , array([ 0.0746685  ,  0.574386   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175269  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175270  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175271  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175272  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175273  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175274  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175275  , -79089      , array([ 0.0746685  ,  0.574385   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175276  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175277  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175278  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175286  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175287  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175288  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175289  , -79089      , array([ 0.0746685  ,  0.574385   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175290  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175291  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175292  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175293  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175294  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175295  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175296  , -79089      , array([ 0.0746685  ,  0.574385   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175297  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175298  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175299  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175300  , -78240.9    , array([ 0.00433748 ,  0.0839057  ,  0.532911   ,  2.24059e-25,  4.34799e-06])
175301  , -78240.9    , array([ 0.00433748 ,  0.0839057  ,  0.532911   ,  2.24059e-25,  4.34799e-06])
175302  , -78241.6    , array([ 0.00434182 ,  0.0839057  ,  0.532911   ,  2.24059e-25,  4.34799e-06])
175303  , -78240.9    , array([ 0.00433748 ,  0.0839896  ,  0.532911   ,  2.24059e-25,  4.34799e-06])
175304  , -78240.9    , array([ 0.00433748 ,  0.0839057  ,  0.533445   ,  2.24059e-25,  4.34799e-06])
175305  , -78240.9    , array([ 0.00433748 ,  0.0839057  ,  0.532911   ,  2.24283e-25,  4.34799e-06])
175306  , -78240      , array([ 0.00433748 ,  0.0839057  ,  0.532911   ,  2.24059e-25,  4.35234e-06])
175307  , -78240.8    , array([ 0.00433735 ,  0.0839039  ,  0.532912   ,  2.24059e-25,  4.34822e-06])
175308  , -78240.8    , array([ 0.00433735 ,  0.0839039  ,  0.532912   ,  2.24059e-25,  4.34822e-06])
175309  , -78241.6    , array([ 0.00434169 ,  0.0839039  ,  0.532912   ,  2.24059e-25,  4.34822e-06])
175310  , -78240.8    , array([ 0.00433735 ,  0.0839879  ,  0.532912   ,  2.24059e-25,  4.34822e-06])
175311  , -78240.8    , array([ 0.00433735 ,  0.0839039  ,  0.533445   ,  2.24059e-25,  4.34822e-06])
175312  , -78240.8    , array([ 0.00433735 ,  0.0839039  ,  0.532912   ,  2.24283e-25,  4.34822e-06])
175313  , -78239.9    , array([ 0.00433735 ,  0.0839039  ,  0.532912   ,  2.24059e-25,  4.35257e-06])
175314  , -78240.7    , array([ 0.00433722 ,  0.0839022  ,  0.532912   ,  2.24059e-25,  4.34845e-06])
175315  , -78240.7    , array([ 0.00433722 ,  0.0839022  ,  0.532912   ,  2.24059e-25,  4.34845e-06])
175316  , -78241.5    , array([ 0.00434156 ,  0.0839022  ,  0.532912   ,  2.24059e-25,  4.34845e-06])
175317  , -78240.8    , array([ 0.00433722 ,  0.0839862  ,  0.532912   ,  2.24059e-25,  4.34845e-06])
175318  , -78240.7    , array([ 0.00433722 ,  0.0839022  ,  0.533445   ,  2.24059e-25,  4.34845e-06])
175319  , -78240.7    , array([ 0.00433722 ,  0.0839022  ,  0.532912   ,  2.24283e-25,  4.34845e-06])
175320  , -78239.9    , array([ 0.00433722 ,  0.0839022  ,  0.532912   ,  2.24059e-25,  4.3528e-06 ])
175321  , -57366.7    , array([ 0.00104538 ,  0.0320844  ,  0.540074   ,  2.24059e-25,  5.08225e-05])
175322  , -57366.7    , array([ 0.00104538 ,  0.0320844  ,  0.540074   ,  2.24059e-25,  5.08225e-05])
175323  , -57375.2    , array([ 0.00104643 ,  0.0320844  ,  0.540074   ,  2.24059e-25,  5.08225e-05])
175324  , -57367.8    , array([ 0.00104538 ,  0.0321165  ,  0.540074   ,  2.24059e-25,  5.08225e-05])
175325  , -57366.7    , array([ 0.00104538 ,  0.0320844  ,  0.540615   ,  2.24059e-25,  5.08225e-05])
175326  , -57366.7    , array([ 0.00104538 ,  0.0320844  ,  0.540074   ,  2.24283e-25,  5.08225e-05])
175327  , -57357.1    , array([ 0.00104538 ,  0.0320844  ,  0.540074   ,  2.24059e-25,  5.08733e-05])
175328  , -57364.4    , array([ 0.00104529 ,  0.0320825  ,  0.540075   ,  2.24059e-25,  5.08302e-05])
175329  , -57364.4    , array([ 0.00104529 ,  0.0320825  ,  0.540075   ,  2.24059e-25,  5.08302e-05])
175330  , -57373      , array([ 0.00104634 ,  0.0320825  ,  0.540075   ,  2.24059e-25,  5.08302e-05])
175331  , -57365.5    , array([ 0.00104529 ,  0.0321146  ,  0.540075   ,  2.24059e-25,  5.08302e-05])
175332  , -57364.4    , array([ 0.00104529 ,  0.0320825  ,  0.540615   ,  2.24059e-25,  5.08302e-05])
175333  , -57364.4    , array([ 0.00104529 ,  0.0320825  ,  0.540075   ,  2.24283e-25,  5.08302e-05])
175334  , -57354.8    , array([ 0.00104529 ,  0.0320825  ,  0.540075   ,  2.24059e-25,  5.0881e-05 ])
175335  , -57265.8    , array([ 0.00104131 ,  0.032      ,  0.540094   ,  2.24059e-25,  5.11659e-05])
175336  , -57265.8    , array([ 0.00104131 ,  0.032      ,  0.540094   ,  2.24059e-25,  5.11659e-05])
