93264   , -79089.4    , array([ 0.0162995  ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93265   , -79089.4    , array([ 0.0162995  ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93266   , -79089.4    , array([ 1.0163     ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93267   , -79089.4    , array([ 2.63433    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93268   , -79089.4    , array([ 1.0163     ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93269   , -79089.4    , array([ 1.63433    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93270   , -79089.4    , array([ 2.0163     ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93271   , -79089.4    , array([ 2.25237    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93272   , -79089.4    , array([ 2.39827    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93273   , -79089.4    , array([ 2.48844    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93274   , -79089.4    , array([ 2.54416    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93275   , -79089.4    , array([ 2.57861    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93276   , -79089.4    , array([ 2.60423    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93277   , -79089.4    , array([ 2.60423    ,  0.303076   ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93278   , -79089.4    , array([ 2.60423    ,  1.30308    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93279   , -79089.4    , array([ 2.60423    ,  2.92111    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93280   , -79089.4    , array([ 2.60423    ,  1.30308    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93281   , -79089.4    , array([ 2.60423    ,  1.92111    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93282   , -79089.4    , array([ 2.60423    ,  2.30308    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93283   , -79089.4    , array([ 2.60423    ,  2.53914    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93284   , -79089.4    , array([ 2.60423    ,  2.68504    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93285   , -79089.4    , array([ 2.60423    ,  2.77521    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93286   , -79089.4    , array([ 2.60423    ,  2.83094    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93287   , -79089.4    , array([ 2.60423    ,  2.86538    ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93288   , -79089.4    , array([ 2.60423    ,  2.891      ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93289   , -79089.4    , array([ 2.60423    ,  2.891      ,  5.11613e-15,  1.30068e-23,  2.6963e-27 ])
93290   , -79089.4    , array([ 2.60423    ,  2.891      ,  1          ,  1.30068e-23,  2.6963e-27 ])
93291   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.61803    ,  1.30068e-23,  2.6963e-27 ])
93292   , -79089.4    , array([ 2.60423    ,  2.891      ,  1          ,  1.30068e-23,  2.6963e-27 ])
93293   , -79089.4    , array([ 2.60423    ,  2.891      ,  1.61803    ,  1.30068e-23,  2.6963e-27 ])
93294   , -79089.4    , array([ 2.60423    ,  2.891      ,  2          ,  1.30068e-23,  2.6963e-27 ])
93295   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.23607    ,  1.30068e-23,  2.6963e-27 ])
93296   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.38197    ,  1.30068e-23,  2.6963e-27 ])
93297   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.47214    ,  1.30068e-23,  2.6963e-27 ])
93298   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.52786    ,  1.30068e-23,  2.6963e-27 ])
93299   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.56231    ,  1.30068e-23,  2.6963e-27 ])
93300   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  1.30068e-23,  2.6963e-27 ])
93301   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  1.30068e-23,  2.6963e-27 ])
93302   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  1          ,  2.6963e-27 ])
93303   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.61803    ,  2.6963e-27 ])
93304   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  1          ,  2.6963e-27 ])
93305   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  1.61803    ,  2.6963e-27 ])
93306   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2          ,  2.6963e-27 ])
93307   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.23607    ,  2.6963e-27 ])
93308   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.38197    ,  2.6963e-27 ])
93309   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.47214    ,  2.6963e-27 ])
93310   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.52786    ,  2.6963e-27 ])
93311   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.56231    ,  2.6963e-27 ])
93312   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  2.6963e-27 ])
93313   , -79089.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  2.6963e-27 ])
93314   , -53744.7    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  1          ])
93315   , -51500.8    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  2.61803    ])
93316   , -53071.2    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  1.88479    ])
93318   , -51500.8    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  2.61803    ])
93319   , -49115      , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  3.61803    ])
93320   , -47725.1    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.23607    ])
93321   , -46942.5    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.61803    ])
93322   , -46493.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.8541     ])
93324   , -46661.7    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.76393    ])
93325   , -46391.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93327   , -46391.4    , array([ 2.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93328   , -49178.7    , array([ 3.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93329   , -44014.1    , array([ 0.986194   ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93330   , -59874.9    , array([ 0.33598    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93331   , -44014.1    , array([ 0.986194   ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93332   , -43757.4    , array([ 1.60423    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93333   , -44631.4    , array([ 1.98619    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93334   , -43469      , array([ 1.37203    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93335   , -43455.2    , array([ 1.34355    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93336   , -43448.1    , array([ 1.27515    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
93337   , -43530.4    , array([ 1.16478    ,  2.891      ,  2.58793    ,  2.58793    ,  4.90983    ])
