11766   , -77823.2    , array([ 4.85627    ,  14.0565    ,  1.88146e-75,  4.40416e-10,  0.00504431 ])
11767   , -77824      , array([ 4.86113    ,  14.0565    ,  1.88146e-75,  4.40416e-10,  0.00504431 ])
11768   , -77823.6    , array([ 4.85627    ,  14.0706    ,  1.88146e-75,  4.40416e-10,  0.00504431 ])
11769   , -77823.2    , array([ 4.85627    ,  14.0565    ,  1.88334e-75,  4.40416e-10,  0.00504431 ])
11770   , -77823.2    , array([ 4.85627    ,  14.0565    ,  1.88146e-75,  4.40857e-10,  0.00504431 ])
11771   , -77822      , array([ 4.85627    ,  14.0565    ,  1.88146e-75,  4.40416e-10,  0.00504936 ])
11772   , -77823.2    , array([ 4.85627    ,  14.0565    ,  1.88146e-75,  4.40416e-10,  0.00504431 ])
11773   , -74869.1    , array([ 2.80936    ,  10.6811    ,  1.88146e-75,  4.40416e-10,  0.0112623  ])
11774   , -74869.1    , array([ 2.80936    ,  10.6811    ,  1.88146e-75,  4.40416e-10,  0.0112623  ])
11775   , -74872      , array([ 2.81217    ,  10.6811    ,  1.88146e-75,  4.40416e-10,  0.0112623  ])
11776   , -74870.2    , array([ 2.80936    ,  10.6918    ,  1.88146e-75,  4.40416e-10,  0.0112623  ])
11777   , -74869.1    , array([ 2.80936    ,  10.6811    ,  1.88334e-75,  4.40416e-10,  0.0112623  ])
11778   , -74869.1    , array([ 2.80936    ,  10.6811    ,  1.88146e-75,  4.40857e-10,  0.0112623  ])
11779   , -74865.2    , array([ 2.80936    ,  10.6811    ,  1.88146e-75,  4.40416e-10,  0.0112736  ])
11780   , -82568.3    , array([ 0.314645   ,  3.561      ,  1.88146e-75,  4.40416e-10,  0.279856   ])
11781   , -82568.3    , array([ 0.314645   ,  3.561      ,  1.88146e-75,  4.40416e-10,  0.279856   ])
11782   , -82508.4    , array([ 0.31496    ,  3.561      ,  1.88146e-75,  4.40416e-10,  0.279856   ])
11783   , -82580.4    , array([ 0.314645   ,  3.56457    ,  1.88146e-75,  4.40416e-10,  0.279856   ])
11784   , -82568.3    , array([ 0.314645   ,  3.561      ,  1.88334e-75,  4.40416e-10,  0.279856   ])
11785   , -82568.3    , array([ 0.314645   ,  3.561      ,  1.88146e-75,  4.40857e-10,  0.279856   ])
11786   , -82620.6    , array([ 0.314645   ,  3.561      ,  1.88146e-75,  4.40416e-10,  0.280136   ])
11787   , -48061.9    , array([ 0.943954   ,  6.17968    ,  1.88146e-75,  4.40416e-10,  0.0558126  ])
11788   , -48061.9    , array([ 0.943954   ,  6.17968    ,  1.88146e-75,  4.40416e-10,  0.0558126  ])
11789   , -48072.6    , array([ 0.944898   ,  6.17968    ,  1.88146e-75,  4.40416e-10,  0.0558126  ])
11790   , -48066.9    , array([ 0.943954   ,  6.18587    ,  1.88146e-75,  4.40416e-10,  0.0558126  ])
11791   , -48061.9    , array([ 0.943954   ,  6.17968    ,  1.88334e-75,  4.40416e-10,  0.0558126  ])
11792   , -48061.9    , array([ 0.943954   ,  6.17968    ,  1.88146e-75,  4.40857e-10,  0.0558126  ])
11793   , -48047.3    , array([ 0.943954   ,  6.17968    ,  1.88146e-75,  4.40416e-10,  0.0558684  ])
11794   , -39621.9    , array([ 0.645686   ,  5.10758    ,  1.88146e-75,  4.40416e-10,  0.0974476  ])
11795   , -39621.9    , array([ 0.645686   ,  5.10758    ,  1.88146e-75,  4.40416e-10,  0.0974476  ])
11796   , -39618.5    , array([ 0.646332   ,  5.10758    ,  1.88146e-75,  4.40416e-10,  0.0974476  ])
11797   , -39628.2    , array([ 0.645686   ,  5.11269    ,  1.88146e-75,  4.40416e-10,  0.0974476  ])
11798   , -39621.9    , array([ 0.645686   ,  5.10758    ,  1.88334e-75,  4.40416e-10,  0.0974476  ])
11799   , -39621.9    , array([ 0.645686   ,  5.10758    ,  1.88146e-75,  4.40857e-10,  0.0974476  ])
11800   , -39619.9    , array([ 0.645686   ,  5.10758    ,  1.88146e-75,  4.40416e-10,  0.0975451  ])
