25960   , -1777.95    , array([ 0.0301614  ,  0.00582291 ,  0.0032578  ,  1.49213e-23])
25961   , -1777.77    , array([ 0.0301916  ,  0.00582291 ,  0.0032578  ,  1.49213e-23])
25962   , -1777.95    , array([ 0.0301614  ,  0.00582874 ,  0.0032578  ,  1.49213e-23])
25963   , -1778.07    , array([ 0.0301614  ,  0.00582291 ,  0.00326106 ,  1.49213e-23])
25964   , -1777.95    , array([ 0.0301614  ,  0.00582291 ,  0.0032578  ,  1.49362e-23])
25965   , -1777.95    , array([ 0.0301614  ,  0.00582291 ,  0.0032578  ,  1.49213e-23])
25966   , -1998.52    , array([ 0.0690532  ,  0.00582291 ,  0.00182783 ,  1.49213e-23])
25967   , -1998.52    , array([ 0.0690532  ,  0.00582291 ,  0.00182783 ,  1.49213e-23])
25968   , -1998.77    , array([ 0.0691223  ,  0.00582291 ,  0.00182783 ,  1.49213e-23])
25969   , -1998.52    , array([ 0.0690532  ,  0.00582874 ,  0.00182783 ,  1.49213e-23])
25970   , -1998.29    , array([ 0.0690532  ,  0.00582291 ,  0.00182966 ,  1.49213e-23])
25971   , -1998.52    , array([ 0.0690532  ,  0.00582291 ,  0.00182783 ,  1.49362e-23])
25972   , -1763.97    , array([ 0.0344246  ,  0.00582291 ,  0.00297074 ,  1.49213e-23])
25973   , -1763.97    , array([ 0.0344246  ,  0.00582291 ,  0.00297074 ,  1.49213e-23])
25974   , -1763.98    , array([ 0.0344591  ,  0.00582291 ,  0.00297074 ,  1.49213e-23])
25975   , -1763.97    , array([ 0.0344246  ,  0.00582874 ,  0.00297074 ,  1.49213e-23])
25976   , -1763.93    , array([ 0.0344246  ,  0.00582291 ,  0.00297371 ,  1.49213e-23])
25977   , -1763.97    , array([ 0.0344246  ,  0.00582291 ,  0.00297074 ,  1.49362e-23])
25978   , -1720.08    , array([ 0.0720017  ,  0.00582291 ,  0.00679947 ,  1.49213e-23])
25979   , -1720.08    , array([ 0.0720017  ,  0.00582291 ,  0.00679947 ,  1.49213e-23])
25980   , -1720.1     , array([ 0.0720738  ,  0.00582291 ,  0.00679947 ,  1.49213e-23])
25981   , -1720.08    , array([ 0.0720017  ,  0.00582874 ,  0.00679947 ,  1.49213e-23])
25982   , -1719.98    , array([ 0.0720017  ,  0.00582291 ,  0.00680627 ,  1.49213e-23])
25983   , -1720.08    , array([ 0.0720017  ,  0.00582291 ,  0.00679947 ,  1.49362e-23])
25984   , -3219.03    , array([ 1.37796    ,  0.00582291 ,  0.186602   ,  1.49213e-23])
25985   , -3219.03    , array([ 1.37796    ,  0.00582291 ,  0.186602   ,  1.49213e-23])
25986   , -3221.87    , array([ 1.37934    ,  0.00582291 ,  0.186602   ,  1.49213e-23])
25987   , -3219.03    , array([ 1.37796    ,  0.00582874 ,  0.186602   ,  1.49213e-23])
25988   , -3219.62    , array([ 1.37796    ,  0.00582291 ,  0.186789   ,  1.49213e-23])
25989   , -3219.03    , array([ 1.37796    ,  0.00582291 ,  0.186602   ,  1.49362e-23])
25990   , -1613.41    , array([ 0.17348    ,  0.00582291 ,  0.0182398  ,  1.49213e-23])
25991   , -1613.41    , array([ 0.17348    ,  0.00582291 ,  0.0182398  ,  1.49213e-23])
25992   , -1613.61    , array([ 0.173654   ,  0.00582291 ,  0.0182398  ,  1.49213e-23])
25993   , -1613.41    , array([ 0.17348    ,  0.00582874 ,  0.0182398  ,  1.49213e-23])
25994   , -1613.11    , array([ 0.17348    ,  0.00582291 ,  0.0182581  ,  1.49213e-23])
25995   , -1613.41    , array([ 0.17348    ,  0.00582291 ,  0.0182398  ,  1.49362e-23])
25996   , -1546.13    , array([ 0.393156   ,  0.00582291 ,  0.0456801  ,  1.49213e-23])
25997   , -1546.13    , array([ 0.393156   ,  0.00582291 ,  0.0456801  ,  1.49213e-23])
25998   , -1546.83    , array([ 0.393549   ,  0.00582291 ,  0.0456801  ,  1.49213e-23])
25999   , -1546.13    , array([ 0.393156   ,  0.00582874 ,  0.0456801  ,  1.49213e-23])
26000   , -1545.6     , array([ 0.393156   ,  0.00582291 ,  0.0457258  ,  1.49213e-23])
26001   , -1546.13    , array([ 0.393156   ,  0.00582291 ,  0.0456801  ,  1.49362e-23])
26002   , -1548.37    , array([ 0.286951   ,  0.00582291 ,  0.0320826  ,  1.49213e-23])
26003   , -1548.37    , array([ 0.286951   ,  0.00582291 ,  0.0320826  ,  1.49213e-23])
26004   , -1548.81    , array([ 0.287238   ,  0.00582291 ,  0.0320826  ,  1.49213e-23])
26005   , -1548.37    , array([ 0.286951   ,  0.00582874 ,  0.0320826  ,  1.49213e-23])
26006   , -1547.9     , array([ 0.286951   ,  0.00582291 ,  0.0321147  ,  1.49213e-23])
26007   , -1548.37    , array([ 0.286951   ,  0.00582291 ,  0.0320826  ,  1.49362e-23])
26008   , -1540.31    , array([ 0.343874   ,  0.00582291 ,  0.0393061  ,  1.49213e-23])
26009   , -1540.31    , array([ 0.343874   ,  0.00582291 ,  0.0393061  ,  1.49213e-23])
26010   , -1540.89    , array([ 0.344219   ,  0.00582291 ,  0.0393061  ,  1.49213e-23])
26011   , -1540.31    , array([ 0.343874   ,  0.00582874 ,  0.0393061  ,  1.49213e-23])
26012   , -1539.8     , array([ 0.343874   ,  0.00582291 ,  0.0393454  ,  1.49213e-23])
26013   , -1540.31    , array([ 0.343874   ,  0.00582291 ,  0.0393061  ,  1.49362e-23])
26020   , -1540.31    , array([ 0.343877   ,  0.00582291 ,  0.0393064  ,  1.49213e-23])
26021   , -1540.31    , array([ 0.343877   ,  0.00582291 ,  0.0393064  ,  1.49213e-23])
26022   , -1540.89    , array([ 0.344221   ,  0.00582291 ,  0.0393064  ,  1.49213e-23])
26023   , -1540.31    , array([ 0.343877   ,  0.00582874 ,  0.0393064  ,  1.49213e-23])
26024   , -1539.8     , array([ 0.343877   ,  0.00582291 ,  0.0393457  ,  1.49213e-23])
26025   , -1540.31    , array([ 0.343877   ,  0.00582291 ,  0.0393064  ,  1.49362e-23])
26026   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393078  ,  1.49213e-23])
26027   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393078  ,  1.49213e-23])
26028   , -1540.88    , array([ 0.344231   ,  0.00582291 ,  0.0393078  ,  1.49213e-23])
26029   , -1540.31    , array([ 0.343887   ,  0.00582874 ,  0.0393078  ,  1.49213e-23])
26030   , -1539.79    , array([ 0.343887   ,  0.00582291 ,  0.0393471  ,  1.49213e-23])
26031   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393078  ,  1.49362e-23])
26038   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393079  ,  1.49213e-23])
26039   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393079  ,  1.49213e-23])
26040   , -1540.88    , array([ 0.344232   ,  0.00582291 ,  0.0393079  ,  1.49213e-23])
26041   , -1540.31    , array([ 0.343887   ,  0.00582874 ,  0.0393079  ,  1.49213e-23])
26042   , -1539.79    , array([ 0.343887   ,  0.00582291 ,  0.0393472  ,  1.49213e-23])
26043   , -1540.31    , array([ 0.343887   ,  0.00582291 ,  0.0393079  ,  1.49362e-23])
26044   , -1540.31    , array([ 0.34389    ,  0.00582291 ,  0.0393082  ,  1.49213e-23])
26045   , -1540.31    , array([ 0.34389    ,  0.00582291 ,  0.0393082  ,  1.49213e-23])
26046   , -1540.88    , array([ 0.344234   ,  0.00582291 ,  0.0393082  ,  1.49213e-23])
26047   , -1540.31    , array([ 0.34389    ,  0.00582874 ,  0.0393082  ,  1.49213e-23])
26048   , -1539.79    , array([ 0.34389    ,  0.00582291 ,  0.0393475  ,  1.49213e-23])
26049   , -1540.31    , array([ 0.34389    ,  0.00582291 ,  0.0393082  ,  1.49362e-23])
26050   , -10093.3    , array([ 3.69183    ,  0.00582291 ,  0.683227   ,  1.49213e-23])
26051   , -10093.3    , array([ 3.69183    ,  0.00582291 ,  0.683227   ,  1.49213e-23])
26052   , -10100.5    , array([ 3.69552    ,  0.00582291 ,  0.683227   ,  1.49213e-23])
26053   , -10093.3    , array([ 3.69183    ,  0.00582874 ,  0.683227   ,  1.49213e-23])
26054   , -10095.7    , array([ 3.69183    ,  0.00582291 ,  0.683911   ,  1.49213e-23])
26055   , -10093.3    , array([ 3.69183    ,  0.00582291 ,  0.683227   ,  1.49362e-23])
26056   , -1539.25    , array([ 0.35526    ,  0.00582291 ,  0.0408769  ,  1.49213e-23])
26057   , -1539.25    , array([ 0.35526    ,  0.00582291 ,  0.0408769  ,  1.49213e-23])
26058   , -1539.85    , array([ 0.355615   ,  0.00582291 ,  0.0408769  ,  1.49213e-23])
26059   , -1539.25    , array([ 0.35526    ,  0.00582874 ,  0.0408769  ,  1.49213e-23])
26060   , -1538.73    , array([ 0.35526    ,  0.00582291 ,  0.0409178  ,  1.49213e-23])
26061   , -1539.25    , array([ 0.35526    ,  0.00582291 ,  0.0408769  ,  1.49362e-23])
26062   , -1537.11    , array([ 0.356059   ,  0.00582291 ,  0.0411521  ,  1.49213e-23])
26063   , -1537.11    , array([ 0.356059   ,  0.00582291 ,  0.0411521  ,  1.49213e-23])
26064   , -1537.72    , array([ 0.356415   ,  0.00582291 ,  0.0411521  ,  1.49213e-23])
26065   , -1537.11    , array([ 0.356059   ,  0.00582874 ,  0.0411521  ,  1.49213e-23])
26066   , -1536.59    , array([ 0.356059   ,  0.00582291 ,  0.0411933  ,  1.49213e-23])
26067   , -1537.11    , array([ 0.356059   ,  0.00582291 ,  0.0411521  ,  1.49362e-23])
26068   , -1528.51    , array([ 0.359272   ,  0.00582291 ,  0.0422715  ,  1.49213e-23])
26069   , -1528.51    , array([ 0.359272   ,  0.00582291 ,  0.0422715  ,  1.49213e-23])
26070   , -1529.12    , array([ 0.359632   ,  0.00582291 ,  0.0422715  ,  1.49213e-23])
26071   , -1528.51    , array([ 0.359272   ,  0.00582874 ,  0.0422715  ,  1.49213e-23])
26072   , -1527.98    , array([ 0.359272   ,  0.00582291 ,  0.0423138  ,  1.49213e-23])
26073   , -1528.51    , array([ 0.359272   ,  0.00582291 ,  0.0422715  ,  1.49362e-23])
26074   , -1493.48    , array([ 0.372418   ,  0.00582291 ,  0.047062   ,  1.49213e-23])
26075   , -1493.48    , array([ 0.372418   ,  0.00582291 ,  0.047062   ,  1.49213e-23])
26076   , -1494.14    , array([ 0.372791   ,  0.00582291 ,  0.047062   ,  1.49213e-23])
26077   , -1493.48    , array([ 0.372418   ,  0.00582874 ,  0.047062   ,  1.49213e-23])
26078   , -1492.94    , array([ 0.372418   ,  0.00582291 ,  0.047109   ,  1.49213e-23])
26079   , -1493.48    , array([ 0.372418   ,  0.00582291 ,  0.047062   ,  1.49362e-23])
26080   , -1348.57    , array([ 0.429991   ,  0.00582291 ,  0.0723037  ,  1.49213e-23])
26081   , -1348.57    , array([ 0.429991   ,  0.00582291 ,  0.0723037  ,  1.49213e-23])
26082   , -1349.43    , array([ 0.430421   ,  0.00582291 ,  0.0723037  ,  1.49213e-23])
26083   , -1348.57    , array([ 0.429991   ,  0.00582874 ,  0.0723037  ,  1.49213e-23])
26084   , -1347.95    , array([ 0.429991   ,  0.00582291 ,  0.072376   ,  1.49213e-23])
26085   , -1348.57    , array([ 0.429991   ,  0.00582291 ,  0.0723037  ,  1.49362e-23])
26086   , -1494.05    , array([ 0.764139   ,  0.00582291 ,  0.40283    ,  1.49213e-23])
26087   , -1494.05    , array([ 0.764139   ,  0.00582291 ,  0.40283    ,  1.49213e-23])
26088   , -1496.7     , array([ 0.764903   ,  0.00582291 ,  0.40283    ,  1.49213e-23])
26089   , -1494.05    , array([ 0.764139   ,  0.00582874 ,  0.40283    ,  1.49213e-23])
26090   , -1493.98    , array([ 0.764139   ,  0.00582291 ,  0.403233   ,  1.49213e-23])
26091   , -1494.05    , array([ 0.764139   ,  0.00582291 ,  0.40283    ,  1.49362e-23])
26092   , -1164.57    , array([ 0.555942   ,  0.00582291 ,  0.155759   ,  1.49213e-23])
26093   , -1164.57    , array([ 0.555942   ,  0.00582291 ,  0.155759   ,  1.49213e-23])
26094   , -1166.08    , array([ 0.556499   ,  0.00582291 ,  0.155759   ,  1.49213e-23])
26095   , -1164.57    , array([ 0.555942   ,  0.00582874 ,  0.155759   ,  1.49213e-23])
26096   , -1163.99    , array([ 0.555942   ,  0.00582291 ,  0.155915   ,  1.49213e-23])
26097   , -1164.57    , array([ 0.555942   ,  0.00582291 ,  0.155759   ,  1.49362e-23])
26098   , -1360.02    , array([ 0.639958   ,  0.00582291 ,  0.839923   ,  1.49213e-23])
26099   , -1360.02    , array([ 0.639958   ,  0.00582291 ,  0.839923   ,  1.49213e-23])
26100   , -1361.21    , array([ 0.640598   ,  0.00582291 ,  0.839923   ,  1.49213e-23])
26101   , -1360.02    , array([ 0.639958   ,  0.00582874 ,  0.839923   ,  1.49213e-23])
26102   , -1360.8     , array([ 0.639958   ,  0.00582291 ,  0.840763   ,  1.49213e-23])
26103   , -1360.02    , array([ 0.639958   ,  0.00582291 ,  0.839923   ,  1.49362e-23])
26104   , -957.574    , array([ 0.589979   ,  0.00582291 ,  0.317267   ,  1.49213e-23])
26105   , -957.574    , array([ 0.589979   ,  0.00582291 ,  0.317267   ,  1.49213e-23])
26106   , -959.343    , array([ 0.590569   ,  0.00582291 ,  0.317267   ,  1.49213e-23])
26107   , -957.574    , array([ 0.589979   ,  0.00582874 ,  0.317267   ,  1.49213e-23])
26108   , -957.366    , array([ 0.589979   ,  0.00582291 ,  0.317584   ,  1.49213e-23])
26109   , -957.574    , array([ 0.589979   ,  0.00582291 ,  0.317267   ,  1.49362e-23])
26110   , -648.391    , array([ 0.476504   ,  0.00582291 ,  0.385094   ,  1.49213e-23])
26111   , -648.391    , array([ 0.476504   ,  0.00582291 ,  0.385094   ,  1.49213e-23])
26112   , -649.387    , array([ 0.476981   ,  0.00582291 ,  0.385094   ,  1.49213e-23])
26113   , -648.391    , array([ 0.476504   ,  0.00582874 ,  0.385094   ,  1.49213e-23])
26114   , -648.464    , array([ 0.476504   ,  0.00582291 ,  0.38548    ,  1.49213e-23])
26115   , -648.391    , array([ 0.476504   ,  0.00582291 ,  0.385094   ,  1.49362e-23])
26116   , -474.135    , array([ 0.324461   ,  0.00582291 ,  0.271598   ,  1.49213e-23])
26117   , -474.135    , array([ 0.324461   ,  0.00582291 ,  0.271598   ,  1.49213e-23])
26118   , -474.257    , array([ 0.324786   ,  0.00582291 ,  0.271598   ,  1.49213e-23])
26119   , -474.135    , array([ 0.324461   ,  0.00582874 ,  0.271598   ,  1.49213e-23])
26120   , -473.861    , array([ 0.324461   ,  0.00582291 ,  0.27187    ,  1.49213e-23])
