52032   , -1892.49    , array([ 0.83358    ,  0.0826729  ,  6.69324e-12,  6.25519e-34,  0.0298908  ])
52033   , -1701.72    , array([ 1.01984    ,  0.0757364  ,  6.69324e-12,  6.25519e-34,  0.0269374  ])
52034   , -1701.72    , array([ 1.01984    ,  0.0757364  ,  6.69324e-12,  6.25519e-34,  0.0269374  ])
52035   , -1701.33    , array([ 1.02086    ,  0.0757364  ,  6.69324e-12,  6.25519e-34,  0.0269374  ])
52036   , -1701.86    , array([ 1.01984    ,  0.0758122  ,  6.69324e-12,  6.25519e-34,  0.0269374  ])
52037   , -1701.72    , array([ 1.01984    ,  0.0757364  ,  6.69994e-12,  6.25519e-34,  0.0269374  ])
52038   , -1701.72    , array([ 1.01984    ,  0.0757364  ,  6.69324e-12,  6.26145e-34,  0.0269374  ])
52039   , -1701.94    , array([ 1.01984    ,  0.0757364  ,  6.69324e-12,  6.25519e-34,  0.0269643  ])
52040   , -1648.62    , array([ 1.17323    ,  0.0701467  ,  6.69324e-12,  6.25519e-34,  0.0250438  ])
52041   , -1648.62    , array([ 1.17323    ,  0.0701467  ,  6.69324e-12,  6.25519e-34,  0.0250438  ])
52042   , -1648.45    , array([ 1.1744     ,  0.0701467  ,  6.69324e-12,  6.25519e-34,  0.0250438  ])
52043   , -1648.66    , array([ 1.17323    ,  0.0702169  ,  6.69324e-12,  6.25519e-34,  0.0250438  ])
52044   , -1648.62    , array([ 1.17323    ,  0.0701467  ,  6.69994e-12,  6.25519e-34,  0.0250438  ])
52045   , -1648.62    , array([ 1.17323    ,  0.0701467  ,  6.69324e-12,  6.26145e-34,  0.0250438  ])
52046   , -1648.71    , array([ 1.17323    ,  0.0701467  ,  6.69324e-12,  6.25519e-34,  0.0250688  ])
52047   , -1635.86    , array([ 1.29548    ,  0.0671159  ,  6.69324e-12,  6.25519e-34,  0.0239994  ])
52048   , -1635.86    , array([ 1.29548    ,  0.0671159  ,  6.69324e-12,  6.25519e-34,  0.0239994  ])
52049   , -1635.79    , array([ 1.29678    ,  0.0671159  ,  6.69324e-12,  6.25519e-34,  0.0239994  ])
52050   , -1635.86    , array([ 1.29548    ,  0.067183   ,  6.69324e-12,  6.25519e-34,  0.0239994  ])
52051   , -1635.86    , array([ 1.29548    ,  0.0671159  ,  6.69994e-12,  6.25519e-34,  0.0239994  ])
52052   , -1635.86    , array([ 1.29548    ,  0.0671159  ,  6.69324e-12,  6.26145e-34,  0.0239994  ])
52053   , -1635.87    , array([ 1.29548    ,  0.0671159  ,  6.69324e-12,  6.25519e-34,  0.0240235  ])
52054   , -1634.01    , array([ 1.36676    ,  0.0661427  ,  6.69324e-12,  6.25519e-34,  0.0236562  ])
52055   , -1634.01    , array([ 1.36676    ,  0.0661427  ,  6.69324e-12,  6.25519e-34,  0.0236562  ])
52056   , -1633.99    , array([ 1.36813    ,  0.0661427  ,  6.69324e-12,  6.25519e-34,  0.0236562  ])
52057   , -1634.02    , array([ 1.36676    ,  0.0662088  ,  6.69324e-12,  6.25519e-34,  0.0236562  ])
52058   , -1634.01    , array([ 1.36676    ,  0.0661427  ,  6.69994e-12,  6.25519e-34,  0.0236562  ])
52059   , -1634.01    , array([ 1.36676    ,  0.0661427  ,  6.69324e-12,  6.26145e-34,  0.0236562  ])
52060   , -1633.99    , array([ 1.36676    ,  0.0661427  ,  6.69324e-12,  6.25519e-34,  0.0236798  ])
52061   , -1633.62    , array([ 1.40064    ,  0.0661349  ,  6.69324e-12,  6.25519e-34,  0.0236592  ])
52062   , -1633.62    , array([ 1.40064    ,  0.0661349  ,  6.69324e-12,  6.25519e-34,  0.0236592  ])
52063   , -1633.62    , array([ 1.40204    ,  0.0661349  ,  6.69324e-12,  6.25519e-34,  0.0236592  ])
52064   , -1633.63    , array([ 1.40064    ,  0.0662011  ,  6.69324e-12,  6.25519e-34,  0.0236592  ])
52065   , -1633.62    , array([ 1.40064    ,  0.0661349  ,  6.69994e-12,  6.25519e-34,  0.0236592  ])
52066   , -1633.62    , array([ 1.40064    ,  0.0661349  ,  6.69324e-12,  6.26145e-34,  0.0236592  ])
52067   , -1633.59    , array([ 1.40064    ,  0.0661349  ,  6.69324e-12,  6.25519e-34,  0.0236828  ])
52068   , -1633.23    , array([ 1.42501    ,  0.0665202  ,  6.69324e-12,  6.25519e-34,  0.0238058  ])
52069   , -1633.23    , array([ 1.42501    ,  0.0665202  ,  6.69324e-12,  6.25519e-34,  0.0238058  ])
52070   , -1633.23    , array([ 1.42644    ,  0.0665202  ,  6.69324e-12,  6.25519e-34,  0.0238058  ])
52071   , -1633.24    , array([ 1.42501    ,  0.0665868  ,  6.69324e-12,  6.25519e-34,  0.0238058  ])
52072   , -1633.23    , array([ 1.42501    ,  0.0665202  ,  6.69994e-12,  6.25519e-34,  0.0238058  ])
52073   , -1633.23    , array([ 1.42501    ,  0.0665202  ,  6.69324e-12,  6.26145e-34,  0.0238058  ])
52074   , -1633.21    , array([ 1.42501    ,  0.0665202  ,  6.69324e-12,  6.25519e-34,  0.0238296  ])
52075   , -1632.78    , array([ 1.44138    ,  0.0671949  ,  6.69324e-12,  6.25519e-34,  0.0240583  ])
52076   , -1632.78    , array([ 1.44138    ,  0.0671949  ,  6.69324e-12,  6.25519e-34,  0.0240583  ])
52077   , -1632.78    , array([ 1.44282    ,  0.0671949  ,  6.69324e-12,  6.25519e-34,  0.0240583  ])
52078   , -1632.78    , array([ 1.44138    ,  0.0672621  ,  6.69324e-12,  6.25519e-34,  0.0240583  ])
52079   , -1632.78    , array([ 1.44138    ,  0.0671949  ,  6.69994e-12,  6.25519e-34,  0.0240583  ])
52080   , -1632.78    , array([ 1.44138    ,  0.0671949  ,  6.69324e-12,  6.26145e-34,  0.0240583  ])
52081   , -1632.77    , array([ 1.44138    ,  0.0671949  ,  6.69324e-12,  6.25519e-34,  0.0240824  ])
52082   , -1632.57    , array([ 1.44104    ,  0.0675819  ,  6.69324e-12,  6.25519e-34,  0.0242016  ])
52083   , -1632.57    , array([ 1.44104    ,  0.0675819  ,  6.69324e-12,  6.25519e-34,  0.0242016  ])
52084   , -1632.57    , array([ 1.44248    ,  0.0675819  ,  6.69324e-12,  6.25519e-34,  0.0242016  ])
52085   , -1632.57    , array([ 1.44104    ,  0.0676495  ,  6.69324e-12,  6.25519e-34,  0.0242016  ])
52086   , -1632.57    , array([ 1.44104    ,  0.0675819  ,  6.69994e-12,  6.25519e-34,  0.0242016  ])
52087   , -1632.57    , array([ 1.44104    ,  0.0675819  ,  6.69324e-12,  6.26145e-34,  0.0242016  ])
52088   , -1632.57    , array([ 1.44104    ,  0.0675819  ,  6.69324e-12,  6.25519e-34,  0.0242258  ])
52089   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52090   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52091   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52092   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52093   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52094   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52095   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52096   , -1632.53    , array([ 1.43656    ,  0.0676526  ,  6.69324e-12,  6.25519e-34,  0.0242271  ])
52097   , -1632.53    , array([ 1.43656    ,  0.0676526  ,  6.69324e-12,  6.25519e-34,  0.0242271  ])
52098   , -1632.53    , array([ 1.43799    ,  0.0676526  ,  6.69324e-12,  6.25519e-34,  0.0242271  ])
52099   , -1632.53    , array([ 1.43656    ,  0.0677203  ,  6.69324e-12,  6.25519e-34,  0.0242271  ])
52100   , -1632.53    , array([ 1.43656    ,  0.0676526  ,  6.69994e-12,  6.25519e-34,  0.0242271  ])
52101   , -1632.53    , array([ 1.43656    ,  0.0676526  ,  6.69324e-12,  6.26145e-34,  0.0242271  ])
52102   , -1632.53    , array([ 1.43656    ,  0.0676526  ,  6.69324e-12,  6.25519e-34,  0.0242513  ])
