64697   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  2.88352e-07,  2.57765e-08])
64698   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.07957e-07,  2.57765e-08])
64699   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  2.57765e-08])
64700   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.14494e-07,  2.57765e-08])
64701   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  2.57765e-08])
64702   , -130200     , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  1          ])
64704   , -79085.9    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  2.57765e-08])
64706   , -137954     , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.381966   ])
64707   , -169539     , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.190507   ])
64710   , -191332     , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.0727672  ])
64712   , -93625      , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.0277946  ])
64714   , -32760.7    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.0106166  ])
64715   , -41836.2    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.0129779  ])
64716   , -25421.1    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00875837 ])
64717   , -12410.2    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00541298 ])
64718   , -6773.8     , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00334541 ])
64719   , -8099.67    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00206759 ])
64720   , -6587.68    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00316764 ])
64721   , -6485.53    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00298028 ])
64722   , -6615.66    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00263166 ])
64723   , -6475.71    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64724   , -6476.03    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00288574 ])
64725   , -6478.32    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00294403 ])
64727   , -6475.71    , array([ 0.0349005  ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64728   , -3276.2     , array([ 1.0349     ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64729   , -3329.28    , array([ 2.65293    ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64730   , -3276.2     , array([ 1.0349     ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64731   , -3307.68    , array([ 1.65293    ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64732   , -3233.45    , array([ 0.652934   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64733   , -3182.56    , array([ 0.416867   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64734   , -3137.35    , array([ 0.270968   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64735   , -3129.96    , array([ 0.180799   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64736   , -3129.01    , array([ 0.183415   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64737   , -3125.82    , array([ 0.217866   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64738   , -3128.91    , array([ 0.238149   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64739   , -3125.4     , array([ 0.210971   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64740   , -3125.37    , array([ 0.2053     ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64741   , -3125.43    , array([ 0.203596   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64742   , -3125.35    , array([ 0.207004   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64743   , -3125.35    , array([ 0.208725   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64744   , -3125.35    , array([ 0.207004   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64745   , -67199.1    , array([ 0.207004   ,  1.01036    ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64747   , -3125.35    , array([ 0.207004   ,  0.0103622  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64749   , -63240.3    , array([ 0.207004   ,  0.392328   ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64750   , -57639.3    , array([ 0.207004   ,  0.200859   ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64753   , -44497.2    , array([ 0.207004   ,  0.0831256  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64755   , -27244.3    , array([ 0.207004   ,  0.0381553  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64757   , -13396.1    , array([ 0.207004   ,  0.0209782  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64759   , -6645.27    , array([ 0.207004   ,  0.0144171  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64761   , -4279.05    , array([ 0.207004   ,  0.011911   ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64763   , -3523.17    , array([ 0.207004   ,  0.0109538  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64764   , -2960.48    , array([ 0.207004   ,  0.0100821  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64766   , -3021.49    , array([ 0.207004   ,  0.0101891  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64767   , -2924.04    , array([ 0.207004   ,  0.010016   ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64769   , -2937.84    , array([ 0.207004   ,  0.0100413  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64770   , -2915.58    , array([ 0.207004   ,  0.0100004  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64772   , -2918.8     , array([ 0.207004   ,  0.0100064  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64774   , -2915.58    , array([ 0.207004   ,  0.0100004  ,  9.91715    ,  3.11046e-07,  0.00291489 ])
64776   , -2891.43    , array([ 0.207004   ,  0.0100004  ,  8.29911    ,  3.11046e-07,  0.00291489 ])
64777   , -2903.4     , array([ 0.207004   ,  0.0100004  ,  9.10813    ,  3.11046e-07,  0.00291489 ])
64778   , -2854.06    , array([ 0.207004   ,  0.0100004  ,  5.68108    ,  3.11046e-07,  0.00291489 ])
64780   , -2854.06    , array([ 0.207004   ,  0.0100004  ,  5.68108    ,  3.11046e-07,  0.00291489 ])
64783   , -2820.27    , array([ 0.207004   ,  0.0100004  ,  3.17053    ,  3.11046e-07,  0.00291489 ])
64784   , -2836.91    , array([ 0.207004   ,  0.0100004  ,  4.4258     ,  3.11046e-07,  0.00291489 ])
64785   , -2800.42    , array([ 0.207004   ,  0.0100004  ,  1.61893    ,  3.11046e-07,  0.00291489 ])
64786   , -2788.56    , array([ 0.207004   ,  0.0100004  ,  0.659985   ,  3.11046e-07,  0.00291489 ])
64787   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  3.11046e-07,  0.00291489 ])
64789   , -2784.12    , array([ 0.207004   ,  0.0100004  ,  0.293701   ,  3.11046e-07,  0.00291489 ])
64791   , -2782.57    , array([ 0.207004   ,  0.0100004  ,  0.165823   ,  3.11046e-07,  0.00291489 ])
64792   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  3.11046e-07,  0.00291489 ])
64793   , -2798.18    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1          ,  0.00291489 ])
64795   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  3.11046e-07,  0.00291489 ])
64797   , -2787.73    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.381966   ,  0.00291489 ])
64798   , -2784.55    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.190983   ,  0.00291489 ])
