1105    , -2130.91    , array([ 0.0381994  ,  0.5067     ,  1.28127e-50,  0.0127029  ])
1106    , -2130.91    , array([ 0.0382376  ,  0.5067     ,  1.28127e-50,  0.0127029  ])
1107    , -2131.27    , array([ 0.0381994  ,  0.507207   ,  1.28127e-50,  0.0127029  ])
1108    , -2130.91    , array([ 0.0381994  ,  0.5067     ,  1.28255e-50,  0.0127029  ])
1109    , -2130.73    , array([ 0.0381994  ,  0.5067     ,  1.28127e-50,  0.0127156  ])
1110    , -2130.91    , array([ 0.0381994  ,  0.5067     ,  1.28127e-50,  0.0127029  ])
1111    , -1623.14    , array([ 0.0381994  ,  0.205947   ,  1.28127e-50,  0.0200776  ])
1112    , -1623.14    , array([ 0.0381994  ,  0.205947   ,  1.28127e-50,  0.0200776  ])
1113    , -1623.14    , array([ 0.0382376  ,  0.205947   ,  1.28127e-50,  0.0200776  ])
1114    , -1623.43    , array([ 0.0381994  ,  0.206153   ,  1.28127e-50,  0.0200776  ])
1115    , -1623.14    , array([ 0.0381994  ,  0.205947   ,  1.28255e-50,  0.0200776  ])
1116    , -1622.78    , array([ 0.0381994  ,  0.205947   ,  1.28127e-50,  0.0200977  ])
1117    , -2336.8     , array([ 0.0381994  ,  0.00562044 ,  1.28127e-50,  0.125299   ])
1118    , -2336.8     , array([ 0.0381994  ,  0.00562044 ,  1.28127e-50,  0.125299   ])
1119    , -2336.8     , array([ 0.0382376  ,  0.00562044 ,  1.28127e-50,  0.125299   ])
1120    , -2336.8     , array([ 0.0381994  ,  0.00562607 ,  1.28127e-50,  0.125299   ])
1121    , -2336.8     , array([ 0.0381994  ,  0.00562044 ,  1.28255e-50,  0.125299   ])
1122    , -2336.8     , array([ 0.0381994  ,  0.00562044 ,  1.28127e-50,  0.125424   ])
1123    , -1715.7     , array([ 0.0381994  ,  0.107019   ,  1.28127e-50,  0.028007   ])
1124    , -1715.7     , array([ 0.0381994  ,  0.107019   ,  1.28127e-50,  0.028007   ])
1125    , -1715.7     , array([ 0.0382376  ,  0.107019   ,  1.28127e-50,  0.028007   ])
1126    , -1714.75    , array([ 0.0381994  ,  0.107126   ,  1.28127e-50,  0.028007   ])
1127    , -1715.7     , array([ 0.0381994  ,  0.107019   ,  1.28255e-50,  0.028007   ])
1128    , -1715.99    , array([ 0.0381994  ,  0.107019   ,  1.28127e-50,  0.028035   ])
1129    , -1541.45    , array([ 0.0381994  ,  0.155964   ,  1.28127e-50,  0.023126   ])
1130    , -1541.45    , array([ 0.0381994  ,  0.155964   ,  1.28127e-50,  0.023126   ])
1131    , -1541.45    , array([ 0.0382376  ,  0.155964   ,  1.28127e-50,  0.023126   ])
1132    , -1541.4     , array([ 0.0381994  ,  0.15612    ,  1.28127e-50,  0.023126   ])
