95513   , -29008      , array([ 1.16176    ,  0.0509248  ,  1.38477e-23,  1.10993e-16,  0.00380645 ])
95514   , -29008.7    , array([ 1.16292    ,  0.0509248  ,  1.38477e-23,  1.10993e-16,  0.00380645 ])
95515   , -29034.1    , array([ 1.16176    ,  0.0509757  ,  1.38477e-23,  1.10993e-16,  0.00380645 ])
95516   , -29008      , array([ 1.16176    ,  0.0509248  ,  1.38616e-23,  1.10993e-16,  0.00380645 ])
95517   , -29008      , array([ 1.16176    ,  0.0509248  ,  1.38477e-23,  1.11104e-16,  0.00380645 ])
95518   , -28981.3    , array([ 1.16176    ,  0.0509248  ,  1.38477e-23,  1.10993e-16,  0.00381026 ])
95519   , -29008      , array([ 1.16176    ,  0.0509248  ,  1.38477e-23,  1.10993e-16,  0.00380645 ])
95520   , -2242.41    , array([ 1.14101    ,  0.0251656  ,  1.38477e-23,  1.10993e-16,  0.0078447  ])
95521   , -2242.41    , array([ 1.14101    ,  0.0251656  ,  1.38477e-23,  1.10993e-16,  0.0078447  ])
95522   , -2242.5     , array([ 1.14216    ,  0.0251656  ,  1.38477e-23,  1.10993e-16,  0.0078447  ])
95523   , -2245.97    , array([ 1.14101    ,  0.0251908  ,  1.38477e-23,  1.10993e-16,  0.0078447  ])
95524   , -2242.41    , array([ 1.14101    ,  0.0251656  ,  1.38616e-23,  1.10993e-16,  0.0078447  ])
95525   , -2242.41    , array([ 1.14101    ,  0.0251656  ,  1.38477e-23,  1.11104e-16,  0.0078447  ])
95526   , -2238.47    , array([ 1.14101    ,  0.0251656  ,  1.38477e-23,  1.10993e-16,  0.00785255 ])
95534   , -2237.12    , array([ 1.14201    ,  0.0255262  ,  1.38477e-23,  1.10993e-16,  0.00795599 ])
95535   , -2237.12    , array([ 1.14201    ,  0.0255262  ,  1.38477e-23,  1.10993e-16,  0.00795599 ])
95536   , -2237.2     , array([ 1.14315    ,  0.0255262  ,  1.38477e-23,  1.10993e-16,  0.00795599 ])
95537   , -2240.69    , array([ 1.14201    ,  0.0255517  ,  1.38477e-23,  1.10993e-16,  0.00795599 ])
95538   , -2237.12    , array([ 1.14201    ,  0.0255262  ,  1.38616e-23,  1.10993e-16,  0.00795599 ])
95539   , -2237.12    , array([ 1.14201    ,  0.0255262  ,  1.38477e-23,  1.11104e-16,  0.00795599 ])
95540   , -2233.16    , array([ 1.14201    ,  0.0255262  ,  1.38477e-23,  1.10993e-16,  0.00796395 ])
95541   , -2231.8     , array([ 1.143      ,  0.0258928  ,  1.38477e-23,  1.10993e-16,  0.00806914 ])
95542   , -2231.8     , array([ 1.143      ,  0.0258928  ,  1.38477e-23,  1.10993e-16,  0.00806914 ])
95543   , -2231.89    , array([ 1.14414    ,  0.0258928  ,  1.38477e-23,  1.10993e-16,  0.00806914 ])
95544   , -2235.38    , array([ 1.143      ,  0.0259187  ,  1.38477e-23,  1.10993e-16,  0.00806914 ])
95545   , -2231.8     , array([ 1.143      ,  0.0258928  ,  1.38616e-23,  1.10993e-16,  0.00806914 ])
95546   , -2231.8     , array([ 1.143      ,  0.0258928  ,  1.38477e-23,  1.11104e-16,  0.00806914 ])
95547   , -2227.83    , array([ 1.143      ,  0.0258928  ,  1.38477e-23,  1.10993e-16,  0.00807721 ])
95555   , -2230.46    , array([ 1.14325    ,  0.0259855  ,  1.38477e-23,  1.10993e-16,  0.00809774 ])
95556   , -2230.46    , array([ 1.14325    ,  0.0259855  ,  1.38477e-23,  1.10993e-16,  0.00809774 ])
95557   , -2230.55    , array([ 1.14439    ,  0.0259855  ,  1.38477e-23,  1.10993e-16,  0.00809774 ])
95558   , -2234.04    , array([ 1.14325    ,  0.0260115  ,  1.38477e-23,  1.10993e-16,  0.00809774 ])
95559   , -2230.46    , array([ 1.14325    ,  0.0259855  ,  1.38616e-23,  1.10993e-16,  0.00809774 ])
95560   , -2230.46    , array([ 1.14325    ,  0.0259855  ,  1.38477e-23,  1.11104e-16,  0.00809774 ])
95561   , -2226.5     , array([ 1.14325    ,  0.0259855  ,  1.38477e-23,  1.10993e-16,  0.00810585 ])
95562   , -2229.13    , array([ 1.1435     ,  0.0260786  ,  1.38477e-23,  1.10993e-16,  0.00812646 ])
95563   , -2229.13    , array([ 1.1435     ,  0.0260786  ,  1.38477e-23,  1.10993e-16,  0.00812646 ])
95564   , -2229.22    , array([ 1.14464    ,  0.0260786  ,  1.38477e-23,  1.10993e-16,  0.00812646 ])
95565   , -2232.71    , array([ 1.1435     ,  0.0261047  ,  1.38477e-23,  1.10993e-16,  0.00812646 ])
95566   , -2229.13    , array([ 1.1435     ,  0.0260786  ,  1.38616e-23,  1.10993e-16,  0.00812646 ])
95567   , -2229.13    , array([ 1.1435     ,  0.0260786  ,  1.38477e-23,  1.11104e-16,  0.00812646 ])
95568   , -2225.16    , array([ 1.1435     ,  0.0260786  ,  1.38477e-23,  1.10993e-16,  0.00813459 ])
95576   , -2228.8     , array([ 1.14356    ,  0.0261019  ,  1.38477e-23,  1.10993e-16,  0.00813366 ])
95577   , -2228.8     , array([ 1.14356    ,  0.0261019  ,  1.38477e-23,  1.10993e-16,  0.00813366 ])
95578   , -2228.88    , array([ 1.14471    ,  0.0261019  ,  1.38477e-23,  1.10993e-16,  0.00813366 ])
95579   , -2232.38    , array([ 1.14356    ,  0.026128   ,  1.38477e-23,  1.10993e-16,  0.00813366 ])
95580   , -2228.8     , array([ 1.14356    ,  0.0261019  ,  1.38616e-23,  1.10993e-16,  0.00813366 ])
95581   , -2228.8     , array([ 1.14356    ,  0.0261019  ,  1.38477e-23,  1.11104e-16,  0.00813366 ])
95582   , -2224.83    , array([ 1.14356    ,  0.0261019  ,  1.38477e-23,  1.10993e-16,  0.0081418  ])
95583   , -2228.46    , array([ 1.14362    ,  0.0261253  ,  1.38477e-23,  1.10993e-16,  0.00814087 ])
95584   , -2228.46    , array([ 1.14362    ,  0.0261253  ,  1.38477e-23,  1.10993e-16,  0.00814087 ])
95585   , -2228.55    , array([ 1.14477    ,  0.0261253  ,  1.38477e-23,  1.10993e-16,  0.00814087 ])
95586   , -2232.04    , array([ 1.14362    ,  0.0261514  ,  1.38477e-23,  1.10993e-16,  0.00814087 ])
95587   , -2228.46    , array([ 1.14362    ,  0.0261253  ,  1.38616e-23,  1.10993e-16,  0.00814087 ])
95588   , -2228.46    , array([ 1.14362    ,  0.0261253  ,  1.38477e-23,  1.11104e-16,  0.00814087 ])
95589   , -2224.49    , array([ 1.14362    ,  0.0261253  ,  1.38477e-23,  1.10993e-16,  0.00814901 ])
95597   , -2228.38    , array([ 1.14364    ,  0.0261311  ,  1.38477e-23,  1.10993e-16,  0.00814267 ])
95598   , -2228.38    , array([ 1.14364    ,  0.0261311  ,  1.38477e-23,  1.10993e-16,  0.00814267 ])
95599   , -2228.46    , array([ 1.14478    ,  0.0261311  ,  1.38477e-23,  1.10993e-16,  0.00814267 ])
95600   , -2231.96    , array([ 1.14364    ,  0.0261572  ,  1.38477e-23,  1.10993e-16,  0.00814267 ])
95601   , -2228.38    , array([ 1.14364    ,  0.0261311  ,  1.38616e-23,  1.10993e-16,  0.00814267 ])
95602   , -2228.38    , array([ 1.14364    ,  0.0261311  ,  1.38477e-23,  1.11104e-16,  0.00814267 ])
95603   , -2224.41    , array([ 1.14364    ,  0.0261311  ,  1.38477e-23,  1.10993e-16,  0.00815082 ])
95604   , -2228.29    , array([ 1.14366    ,  0.0261369  ,  1.38477e-23,  1.10993e-16,  0.00814447 ])
95605   , -2228.29    , array([ 1.14366    ,  0.0261369  ,  1.38477e-23,  1.10993e-16,  0.00814447 ])
95606   , -2228.38    , array([ 1.1448     ,  0.0261369  ,  1.38477e-23,  1.10993e-16,  0.00814447 ])
95607   , -2231.88    , array([ 1.14366    ,  0.0261631  ,  1.38477e-23,  1.10993e-16,  0.00814447 ])
95608   , -2228.29    , array([ 1.14366    ,  0.0261369  ,  1.38616e-23,  1.10993e-16,  0.00814447 ])
95609   , -2228.29    , array([ 1.14366    ,  0.0261369  ,  1.38477e-23,  1.11104e-16,  0.00814447 ])
95610   , -2224.32    , array([ 1.14366    ,  0.0261369  ,  1.38477e-23,  1.10993e-16,  0.00815262 ])
95618   , -2228.27    , array([ 1.14366    ,  0.0261384  ,  1.38477e-23,  1.10993e-16,  0.00814492 ])
95619   , -2228.27    , array([ 1.14366    ,  0.0261384  ,  1.38477e-23,  1.10993e-16,  0.00814492 ])
95620   , -2228.36    , array([ 1.1448     ,  0.0261384  ,  1.38477e-23,  1.10993e-16,  0.00814492 ])
95621   , -2231.85    , array([ 1.14366    ,  0.0261646  ,  1.38477e-23,  1.10993e-16,  0.00814492 ])
95622   , -2228.27    , array([ 1.14366    ,  0.0261384  ,  1.38616e-23,  1.10993e-16,  0.00814492 ])
95623   , -2228.27    , array([ 1.14366    ,  0.0261384  ,  1.38477e-23,  1.11104e-16,  0.00814492 ])
95624   , -2224.3     , array([ 1.14366    ,  0.0261384  ,  1.38477e-23,  1.10993e-16,  0.00815307 ])
95625   , -2228.25    , array([ 1.14366    ,  0.0261399  ,  1.38477e-23,  1.10993e-16,  0.00814538 ])
95626   , -2228.25    , array([ 1.14366    ,  0.0261399  ,  1.38477e-23,  1.10993e-16,  0.00814538 ])
95627   , -2228.34    , array([ 1.14481    ,  0.0261399  ,  1.38477e-23,  1.10993e-16,  0.00814538 ])
95628   , -2231.83    , array([ 1.14366    ,  0.026166   ,  1.38477e-23,  1.10993e-16,  0.00814538 ])
95629   , -2228.25    , array([ 1.14366    ,  0.0261399  ,  1.38616e-23,  1.10993e-16,  0.00814538 ])
95630   , -2228.25    , array([ 1.14366    ,  0.0261399  ,  1.38477e-23,  1.11104e-16,  0.00814538 ])
95631   , -2224.28    , array([ 1.14366    ,  0.0261399  ,  1.38477e-23,  1.10993e-16,  0.00815353 ])
95632   , -71995.8    , array([ 1.54568    ,  3.62841    ,  1.38477e-23,  1.10993e-16,  1.07746    ])
95633   , -71995.8    , array([ 1.54568    ,  3.62841    ,  1.38477e-23,  1.10993e-16,  1.07746    ])
95634   , -71954.3    , array([ 1.54723    ,  3.62841    ,  1.38477e-23,  1.10993e-16,  1.07746    ])
95635   , -72006.7    , array([ 1.54568    ,  3.63204    ,  1.38477e-23,  1.10993e-16,  1.07746    ])
95636   , -71995.8    , array([ 1.54568    ,  3.62841    ,  1.38616e-23,  1.10993e-16,  1.07746    ])
95637   , -71995.8    , array([ 1.54568    ,  3.62841    ,  1.38477e-23,  1.11104e-16,  1.07746    ])
95638   , -72049.9    , array([ 1.54568    ,  3.62841    ,  1.38477e-23,  1.10993e-16,  1.07854    ])
95639   , -1951.49    , array([ 1.21431    ,  0.0697598  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95640   , -1951.49    , array([ 1.21431    ,  0.0697598  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95641   , -1951.48    , array([ 1.21552    ,  0.0697598  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95642   , -1955.68    , array([ 1.21431    ,  0.0698296  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95643   , -1951.49    , array([ 1.21431    ,  0.0697598  ,  1.38616e-23,  1.10993e-16,  0.0215303  ])
95644   , -1951.49    , array([ 1.21431    ,  0.0697598  ,  1.38477e-23,  1.11104e-16,  0.0215303  ])
95645   , -1947.27    , array([ 1.21431    ,  0.0697598  ,  1.38477e-23,  1.10993e-16,  0.0215518  ])
95653   , -1951.49    , array([ 1.21432    ,  0.0697599  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95654   , -1951.49    , array([ 1.21432    ,  0.0697599  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95655   , -1951.48    , array([ 1.21553    ,  0.0697599  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95656   , -1955.68    , array([ 1.21432    ,  0.0698297  ,  1.38477e-23,  1.10993e-16,  0.0215303  ])
95657   , -1951.49    , array([ 1.21432    ,  0.0697599  ,  1.38616e-23,  1.10993e-16,  0.0215303  ])
95658   , -1951.49    , array([ 1.21432    ,  0.0697599  ,  1.38477e-23,  1.11104e-16,  0.0215303  ])
95659   , -1947.27    , array([ 1.21432    ,  0.0697599  ,  1.38477e-23,  1.10993e-16,  0.0215519  ])
95660   , -1951.49    , array([ 1.21432    ,  0.06976    ,  1.38477e-23,  1.10993e-16,  0.0215304  ])
95661   , -1951.49    , array([ 1.21432    ,  0.06976    ,  1.38477e-23,  1.10993e-16,  0.0215304  ])
95662   , -1951.48    , array([ 1.21554    ,  0.06976    ,  1.38477e-23,  1.10993e-16,  0.0215304  ])
95663   , -1955.68    , array([ 1.21432    ,  0.0698298  ,  1.38477e-23,  1.10993e-16,  0.0215304  ])
95664   , -1951.49    , array([ 1.21432    ,  0.06976    ,  1.38616e-23,  1.10993e-16,  0.0215304  ])
