3235    , -2590.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  1.21768e-10,  0.0920385  ])
3237    , -2590.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  4.65114e-11,  0.0920385  ])
3239    , -2590.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  1.77658e-11,  0.0920385  ])
3241    , -2590.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.0920385  ])
3242    , -17963.1    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  1.09204    ])
3244    , -2590.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.0920385  ])
3246    , -12697.6    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.474004   ])
3247    , -7375.98    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.28294    ])
3249    , -68605.5    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.00186854 ])
3250    , -3297.86    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.164956   ])
3251    , -2615.13    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.0912244  ])
3252    , -2354.65    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.119664   ])
3253    , -2595.62    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.136964   ])
3254    , -2327.36    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.114377   ])
3255    , -2324.51    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.112808   ])
3256    , -2324.05    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111724   ])
3257    , -2324.04    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3258    , -2324.07    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.11212    ])
3260    , -2324.04    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3261    , -2702.35    , array([ 1.71067    ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3263    , -2324.04    , array([ 0.710671   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3264    , -40519.1    , array([ 0.0926373  ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3265    , -2074.35    , array([ 1.09264    ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3266    , -2038.38    , array([ 0.907      ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3267    , -2030.69    , array([ 0.977376   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3268    , -2029.69    , array([ 0.962975   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3269    , -2029.62    , array([ 0.959273   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3270    , -2029.63    , array([ 0.956787   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3271    , -2029.62    , array([ 0.959273   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3272    , -27125.7    , array([ 0.959273   ,  1.23014    ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3274    , -2029.62    , array([ 0.959273   ,  0.230139   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3276    , -13977.2    , array([ 0.959273   ,  0.612105   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3277    , -7595.62    , array([ 0.959273   ,  0.421025   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3279    , -5017       , array([ 0.959273   ,  0.139969   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3280    , -2471.98    , array([ 0.959273   ,  0.259798   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3281    , -2001.08    , array([ 0.959273   ,  0.226369   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3282    , -2140.47    , array([ 0.959273   ,  0.193367   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3283    , -1963.8     , array([ 0.959273   ,  0.216452   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3284    , -1963.44    , array([ 0.959273   ,  0.214661   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3285    , -1963.33    , array([ 0.959273   ,  0.215227   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3286    , -1963.33    , array([ 0.959273   ,  0.215376   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
3287    , -1963.34    , array([ 0.959273   ,  0.215078   ,  5.63423    ,  2.2473e-55 ,  0.111921   ])
