18751   , -393.421    , array([ 0.519798   ,  0.0717491  ,  5.29747e-24,  0.209992   ])
18752   , -393.421    , array([ 0.519798   ,  0.0717491  ,  5.29747e-24,  0.209992   ])
18753   , -393.421    , array([ 0.520318   ,  0.0717491  ,  5.29747e-24,  0.209992   ])
18754   , -393.441    , array([ 0.519798   ,  0.0718209  ,  5.29747e-24,  0.209992   ])
18755   , -393.421    , array([ 0.519798   ,  0.0717491  ,  5.30277e-24,  0.209992   ])
18756   , -393.401    , array([ 0.519798   ,  0.0717491  ,  5.29747e-24,  0.210202   ])
18757   , -393.421    , array([ 0.519798   ,  0.0717573  ,  5.29747e-24,  0.210008   ])
18758   , -393.421    , array([ 0.519798   ,  0.0717573  ,  5.29747e-24,  0.210008   ])
18759   , -393.421    , array([ 0.520318   ,  0.0717573  ,  5.29747e-24,  0.210008   ])
18760   , -393.441    , array([ 0.519798   ,  0.0718291  ,  5.29747e-24,  0.210008   ])
18761   , -393.421    , array([ 0.519798   ,  0.0717573  ,  5.30277e-24,  0.210008   ])
18762   , -393.402    , array([ 0.519798   ,  0.0717573  ,  5.29747e-24,  0.210218   ])
18763   , -393.421    , array([ 0.519798   ,  0.0717591  ,  5.29747e-24,  0.210012   ])
18764   , -393.421    , array([ 0.519798   ,  0.0717591  ,  5.29747e-24,  0.210012   ])
18765   , -393.421    , array([ 0.520318   ,  0.0717591  ,  5.29747e-24,  0.210012   ])
18766   , -393.441    , array([ 0.519798   ,  0.0718309  ,  5.29747e-24,  0.210012   ])
18767   , -393.421    , array([ 0.519798   ,  0.0717591  ,  5.30277e-24,  0.210012   ])
18768   , -393.402    , array([ 0.519798   ,  0.0717591  ,  5.29747e-24,  0.210222   ])
18769   , -393.421    , array([ 0.519798   ,  0.0717594  ,  5.29747e-24,  0.210012   ])
18770   , -393.421    , array([ 0.519798   ,  0.0717594  ,  5.29747e-24,  0.210012   ])
18771   , -393.421    , array([ 0.520318   ,  0.0717594  ,  5.29747e-24,  0.210012   ])
18772   , -393.441    , array([ 0.519798   ,  0.0718312  ,  5.29747e-24,  0.210012   ])
18773   , -393.421    , array([ 0.519798   ,  0.0717594  ,  5.30277e-24,  0.210012   ])
18774   , -393.402    , array([ 0.519798   ,  0.0717594  ,  5.29747e-24,  0.210223   ])
18775   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18776   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18777   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18778   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18779   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18780   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18781   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18782   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18783   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18784   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18785   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18786   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18787   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18788   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18789   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18790   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18791   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18792   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18793   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18794   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18795   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18796   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18797   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18798   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18799   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18800   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18801   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18802   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18803   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18804   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18805   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18806   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18807   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18808   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18809   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18810   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18811   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18812   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18813   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18814   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18815   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18816   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18817   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18818   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18819   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18820   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18821   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18822   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18823   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18824   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18825   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18826   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18827   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18828   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18829   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18830   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18831   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18832   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18833   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18834   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18835   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18836   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18837   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18838   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18839   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18840   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18841   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18842   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18843   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18844   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18845   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18846   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18847   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18848   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
