136272  , -23324.3    , array([ 1.20804    ,  0.00436124 ,  2.87383e-30,  0.0905874  ,  0.000413791])
136273  , -23324.3    , array([ 1.20924    ,  0.00436124 ,  2.87383e-30,  0.0905874  ,  0.000413791])
136274  , -23350.4    , array([ 1.20804    ,  0.00436561 ,  2.87383e-30,  0.0905874  ,  0.000413791])
136275  , -23324.3    , array([ 1.20804    ,  0.00436124 ,  2.8767e-30 ,  0.0905874  ,  0.000413791])
136276  , -23324.3    , array([ 1.20804    ,  0.00436124 ,  2.87383e-30,  0.090678   ,  0.000413791])
136277  , -23298.1    , array([ 1.20804    ,  0.00436124 ,  2.87383e-30,  0.0905874  ,  0.000414205])
136278  , -23324.3    , array([ 1.20804    ,  0.00436124 ,  2.87383e-30,  0.0905874  ,  0.000413791])
136279  , -2942.24    , array([ 1.20617    ,  0.00213687 ,  2.87383e-30,  0.0905846  ,  0.000845815])
136280  , -2942.24    , array([ 1.20617    ,  0.00213687 ,  2.87383e-30,  0.0905846  ,  0.000845815])
136281  , -2942.25    , array([ 1.20738    ,  0.00213687 ,  2.87383e-30,  0.0905846  ,  0.000845815])
136282  , -2937.62    , array([ 1.20617    ,  0.00213901 ,  2.87383e-30,  0.0905846  ,  0.000845815])
136283  , -2942.24    , array([ 1.20617    ,  0.00213687 ,  2.8767e-30 ,  0.0905846  ,  0.000845815])
136284  , -2942.23    , array([ 1.20617    ,  0.00213687 ,  2.87383e-30,  0.0906752  ,  0.000845815])
136285  , -2946.77    , array([ 1.20617    ,  0.00213687 ,  2.87383e-30,  0.0905846  ,  0.000846661])
136293  , -2942.2     , array([ 1.20601    ,  0.00213742 ,  2.87383e-30,  0.090585   ,  0.000846028])
136294  , -2942.2     , array([ 1.20601    ,  0.00213742 ,  2.87383e-30,  0.090585   ,  0.000846028])
136295  , -2942.21    , array([ 1.20721    ,  0.00213742 ,  2.87383e-30,  0.090585   ,  0.000846028])
136296  , -2937.58    , array([ 1.20601    ,  0.00213955 ,  2.87383e-30,  0.090585   ,  0.000846028])
136297  , -2942.2     , array([ 1.20601    ,  0.00213742 ,  2.8767e-30 ,  0.090585   ,  0.000846028])
136298  , -2942.2     , array([ 1.20601    ,  0.00213742 ,  2.87383e-30,  0.0906756  ,  0.000846028])
136299  , -2946.74    , array([ 1.20601    ,  0.00213742 ,  2.87383e-30,  0.090585   ,  0.000846874])
136300  , -2942.16    , array([ 1.20584    ,  0.00213796 ,  2.87383e-30,  0.0905853  ,  0.000846242])
136301  , -2942.16    , array([ 1.20584    ,  0.00213796 ,  2.87383e-30,  0.0905853  ,  0.000846242])
136302  , -2942.18    , array([ 1.20704    ,  0.00213796 ,  2.87383e-30,  0.0905853  ,  0.000846242])
136303  , -2937.55    , array([ 1.20584    ,  0.0021401  ,  2.87383e-30,  0.0905853  ,  0.000846242])
136304  , -2942.16    , array([ 1.20584    ,  0.00213796 ,  2.8767e-30 ,  0.0905853  ,  0.000846242])
136305  , -2942.16    , array([ 1.20584    ,  0.00213796 ,  2.87383e-30,  0.090676   ,  0.000846242])
136306  , -2946.7     , array([ 1.20584    ,  0.00213796 ,  2.87383e-30,  0.0905853  ,  0.000847088])
136314  , -2942.15    , array([ 1.2058     ,  0.00213809 ,  2.87383e-30,  0.0905854  ,  0.000846295])
136315  , -2942.15    , array([ 1.2058     ,  0.00213809 ,  2.87383e-30,  0.0905854  ,  0.000846295])
136316  , -2942.17    , array([ 1.207      ,  0.00213809 ,  2.87383e-30,  0.0905854  ,  0.000846295])
136317  , -2937.54    , array([ 1.2058     ,  0.00214023 ,  2.87383e-30,  0.0905854  ,  0.000846295])
136318  , -2942.15    , array([ 1.2058     ,  0.00213809 ,  2.8767e-30 ,  0.0905854  ,  0.000846295])
136319  , -2942.15    , array([ 1.2058     ,  0.00213809 ,  2.87383e-30,  0.0906761  ,  0.000846295])
136320  , -2946.69    , array([ 1.2058     ,  0.00213809 ,  2.87383e-30,  0.0905854  ,  0.000847142])
136321  , -2942.14    , array([ 1.20575    ,  0.00213823 ,  2.87383e-30,  0.0905855  ,  0.000846348])
136322  , -2942.14    , array([ 1.20575    ,  0.00213823 ,  2.87383e-30,  0.0905855  ,  0.000846348])
136323  , -2942.16    , array([ 1.20696    ,  0.00213823 ,  2.87383e-30,  0.0905855  ,  0.000846348])
136324  , -2937.53    , array([ 1.20575    ,  0.00214037 ,  2.87383e-30,  0.0905855  ,  0.000846348])
136325  , -2942.14    , array([ 1.20575    ,  0.00213823 ,  2.8767e-30 ,  0.0905855  ,  0.000846348])
136326  , -2942.14    , array([ 1.20575    ,  0.00213823 ,  2.87383e-30,  0.0906762  ,  0.000846348])
