49275   , -710307     , array([ 0.0143806  ,  0.00516469 ,  1.01566e-12,  4.9085e-53 ,  0.0739588  ])
49276   , -709003     , array([ 0.0143841  ,  0.00516722 ,  1.01579e-12,  4.9085e-53 ,  0.073865   ])
49277   , -709003     , array([ 0.0143841  ,  0.00516722 ,  1.01579e-12,  4.9085e-53 ,  0.073865   ])
49278   , -708763     , array([ 0.0143985  ,  0.00516722 ,  1.01579e-12,  4.9085e-53 ,  0.073865   ])
49279   , -716016     , array([ 0.0143841  ,  0.00517239 ,  1.01579e-12,  4.9085e-53 ,  0.073865   ])
49280   , -709003     , array([ 0.0143841  ,  0.00516722 ,  1.0168e-12 ,  4.9085e-53 ,  0.073865   ])
49281   , -709003     , array([ 0.0143841  ,  0.00516722 ,  1.01579e-12,  4.91341e-53,  0.073865   ])
49282   , -709769     , array([ 0.0143841  ,  0.00516722 ,  1.01579e-12,  4.9085e-53 ,  0.0739389  ])
49283   , -708828     , array([ 0.0143853  ,  0.00516805 ,  1.01583e-12,  4.9085e-53 ,  0.0738585  ])
49284   , -708828     , array([ 0.0143853  ,  0.00516805 ,  1.01583e-12,  4.9085e-53 ,  0.0738585  ])
49285   , -708588     , array([ 0.0143997  ,  0.00516805 ,  1.01583e-12,  4.9085e-53 ,  0.0738585  ])
49286   , -715695     , array([ 0.0143853  ,  0.00517322 ,  1.01583e-12,  4.9085e-53 ,  0.0738585  ])
49287   , -708828     , array([ 0.0143853  ,  0.00516805 ,  1.01685e-12,  4.9085e-53 ,  0.0738585  ])
49288   , -708828     , array([ 0.0143853  ,  0.00516805 ,  1.01583e-12,  4.91341e-53,  0.0738585  ])
49289   , -709592     , array([ 0.0143853  ,  0.00516805 ,  1.01583e-12,  4.9085e-53 ,  0.0739324  ])
49290   , -708783     , array([ 0.0143856  ,  0.00516827 ,  1.01584e-12,  4.9085e-53 ,  0.0738568  ])
49291   , -708783     , array([ 0.0143856  ,  0.00516827 ,  1.01584e-12,  4.9085e-53 ,  0.0738568  ])
49292   , -717158     , array([ 0.0144     ,  0.00516827 ,  1.01584e-12,  4.9085e-53 ,  0.0738568  ])
49293   , -715620     , array([ 0.0143856  ,  0.00517344 ,  1.01584e-12,  4.9085e-53 ,  0.0738568  ])
49294   , -708783     , array([ 0.0143856  ,  0.00516827 ,  1.01686e-12,  4.9085e-53 ,  0.0738568  ])
49295   , -708783     , array([ 0.0143856  ,  0.00516827 ,  1.01584e-12,  4.91341e-53,  0.0738568  ])
49296   , -709547     , array([ 0.0143856  ,  0.00516827 ,  1.01584e-12,  4.9085e-53 ,  0.0739307  ])
49297   , -708771     , array([ 0.0143856  ,  0.00516832 ,  1.01584e-12,  4.9085e-53 ,  0.0738564  ])
49298   , -708771     , array([ 0.0143856  ,  0.00516832 ,  1.01584e-12,  4.9085e-53 ,  0.0738564  ])
49299   , -716988     , array([ 0.0144     ,  0.00516832 ,  1.01584e-12,  4.9085e-53 ,  0.0738564  ])
49300   , -725058     , array([ 0.0143856  ,  0.0051735  ,  1.01584e-12,  4.9085e-53 ,  0.0738564  ])
49301   , -708771     , array([ 0.0143856  ,  0.00516832 ,  1.01686e-12,  4.9085e-53 ,  0.0738564  ])
49302   , -708771     , array([ 0.0143856  ,  0.00516832 ,  1.01584e-12,  4.91341e-53,  0.0738564  ])
49303   , -709535     , array([ 0.0143856  ,  0.00516832 ,  1.01584e-12,  4.9085e-53 ,  0.0739303  ])
49304   , -708768     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738563  ])
49305   , -708768     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738563  ])
49306   , -716955     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738563  ])
49307   , -724723     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738563  ])
49308   , -708768     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738563  ])
49309   , -708768     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738563  ])
49310   , -709532     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49311   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49312   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49313   , -716949     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49314   , -724682     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49315   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49316   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49317   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49318   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49319   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49320   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49321   , -724675     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49322   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49323   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49324   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49325   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49326   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49327   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49328   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49329   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49330   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49331   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49332   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49333   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49334   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49335   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49336   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49337   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49338   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49339   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49340   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49341   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49342   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49343   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49344   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49345   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49346   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49347   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49348   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49349   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49350   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49351   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49352   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49353   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49354   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49355   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49356   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49357   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49358   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49359   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49360   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49361   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49362   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49363   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49364   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49365   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49366   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49367   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49368   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49369   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49370   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49371   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49372   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49373   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49374   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49375   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49376   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49377   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49378   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49379   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49380   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49381   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49382   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49383   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49384   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49385   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49386   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49387   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49388   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49389   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49390   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49391   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49392   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49393   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49394   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49395   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49396   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49397   , -716947     , array([ 0.0144001  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49398   , -724673     , array([ 0.0143857  ,  0.00517351 ,  1.01584e-12,  4.9085e-53 ,  0.0738562  ])
49399   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01686e-12,  4.9085e-53 ,  0.0738562  ])
49400   , -708767     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.91341e-53,  0.0738562  ])
49401   , -709531     , array([ 0.0143857  ,  0.00516834 ,  1.01584e-12,  4.9085e-53 ,  0.0739301  ])
49402   , -722478     , array([ 0.0143924  ,  0.00517327 ,  1.0161e-12 ,  4.9085e-53 ,  0.0738177  ])
49403   , -722478     , array([ 0.0143924  ,  0.00517327 ,  1.0161e-12 ,  4.9085e-53 ,  0.0738177  ])
49404   , -722176     , array([ 0.0144068  ,  0.00517327 ,  1.0161e-12 ,  4.9085e-53 ,  0.0738177  ])
49405   , -721285     , array([ 0.0143924  ,  0.00517845 ,  1.0161e-12 ,  4.9085e-53 ,  0.0738177  ])
49406   , -722478     , array([ 0.0143924  ,  0.00517327 ,  1.01712e-12,  4.9085e-53 ,  0.0738177  ])
49407   , -722478     , array([ 0.0143924  ,  0.00517327 ,  1.0161e-12 ,  4.91341e-53,  0.0738177  ])
49408   , -716181     , array([ 0.0143924  ,  0.00517327 ,  1.0161e-12 ,  4.9085e-53 ,  0.0738915  ])
49409   , -867783     , array([ 0.0125699  ,  0.00393158 ,  9.4521e-13 ,  4.9085e-53 ,  0.0857861  ])
49410   , -768632     , array([ 0.0137321  ,  0.00470348 ,  9.90928e-13,  4.9085e-53 ,  0.077767   ])
49411   , -765065     , array([ 0.0141583  ,  0.0050041  ,  1.00724e-12,  4.9085e-53 ,  0.0751736  ])
49412   , -729500     , array([ 0.0143337  ,  0.00513055 ,  1.01388e-12,  4.9085e-53 ,  0.0741536  ])
49413   , -710601     , array([ 0.0143738  ,  0.00515969 ,  1.0154e-12 ,  4.9085e-53 ,  0.073924   ])
49414   , -710601     , array([ 0.0143738  ,  0.00515969 ,  1.0154e-12 ,  4.9085e-53 ,  0.073924   ])
49415   , -710354     , array([ 0.0143882  ,  0.00515969 ,  1.0154e-12 ,  4.9085e-53 ,  0.073924   ])
49416   , -710044     , array([ 0.0143738  ,  0.00516485 ,  1.0154e-12 ,  4.9085e-53 ,  0.073924   ])
49417   , -710601     , array([ 0.0143738  ,  0.00515969 ,  1.01641e-12,  4.9085e-53 ,  0.073924   ])
49418   , -710601     , array([ 0.0143738  ,  0.00515969 ,  1.0154e-12 ,  4.91341e-53,  0.073924   ])
49419   , -711381     , array([ 0.0143738  ,  0.00515969 ,  1.0154e-12 ,  4.9085e-53 ,  0.073998   ])
49420   , -709159     , array([ 0.0143831  ,  0.00516647 ,  1.01575e-12,  4.9085e-53 ,  0.0738708  ])
