614     , -12860.5    , array([ 0.00107623 ,  0.943239   ,  3.22221e-06,  0.00113743 ])
615     , -12860.5    , array([ 0.00107731 ,  0.943239   ,  3.22221e-06,  0.00113743 ])
616     , -12860.5    , array([ 0.00107623 ,  0.944183   ,  3.22221e-06,  0.00113743 ])
617     , -12860.4    , array([ 0.00107623 ,  0.943239   ,  3.22544e-06,  0.00113743 ])
618     , -12860.5    , array([ 0.00107623 ,  0.943239   ,  3.22221e-06,  0.00113857 ])
619     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
620     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
621     , -12860.2    , array([ 0.00101208 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
622     , -12860.2    , array([ 0.00101106 ,  0.956496   ,  3.06909e-06,  0.00116631 ])
623     , -12860.1    , array([ 0.00101106 ,  0.95554    ,  3.07216e-06,  0.00116631 ])
624     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116747 ])
625     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
626     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
627     , -12860.2    , array([ 0.00101208 ,  0.95554    ,  3.06909e-06,  0.00116631 ])
628     , -12860.2    , array([ 0.00101106 ,  0.956496   ,  3.06909e-06,  0.00116631 ])
629     , -12860.1    , array([ 0.00101106 ,  0.95554    ,  3.07216e-06,  0.00116631 ])
630     , -12860.2    , array([ 0.00101106 ,  0.95554    ,  3.06909e-06,  0.00116747 ])
631     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
632     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
633     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
634     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
635     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
636     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
643     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
644     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
645     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
646     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
647     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
648     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
649     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
