37318   , -64385.1    , array([ 0.0143817  ,  22.5662    ,  2.09713e-36,  0.000137956,  0.000379347])
37319   , -64394.9    , array([ 0.0143961  ,  22.5662    ,  2.09713e-36,  0.000137956,  0.000379347])
37320   , -64385.1    , array([ 0.0143817  ,  22.5887    ,  2.09713e-36,  0.000137956,  0.000379347])
37321   , -64385.1    , array([ 0.0143817  ,  22.5662    ,  2.09923e-36,  0.000137956,  0.000379347])
37322   , -64385.1    , array([ 0.0143817  ,  22.5662    ,  2.09713e-36,  0.000138094,  0.000379347])
37323   , -64375.3    , array([ 0.0143817  ,  22.5662    ,  2.09713e-36,  0.000137956,  0.000379727])
37324   , -64385.1    , array([ 0.0143817  ,  22.5662    ,  2.09713e-36,  0.000137956,  0.000379347])
37325   , -55050      , array([ 0.00705667 ,  22.5425    ,  2.09713e-36,  0.000137956,  0.000776517])
37326   , -55050      , array([ 0.00705667 ,  22.5425    ,  2.09713e-36,  0.000137956,  0.000776517])
37327   , -55046.3    , array([ 0.00706373 ,  22.5425    ,  2.09713e-36,  0.000137956,  0.000776517])
37328   , -55050      , array([ 0.00705667 ,  22.565     ,  2.09713e-36,  0.000137956,  0.000776517])
37329   , -55050      , array([ 0.00705667 ,  22.5425    ,  2.09923e-36,  0.000137956,  0.000776517])
37330   , -55050      , array([ 0.00705667 ,  22.5425    ,  2.09713e-36,  0.000138094,  0.000776517])
37331   , -55053.5    , array([ 0.00705667 ,  22.5425    ,  2.09713e-36,  0.000137956,  0.000777294])
37339   , -55049.3    , array([ 0.00707502 ,  22.5325    ,  2.09713e-36,  0.000137956,  0.000778561])
37340   , -55049.3    , array([ 0.00707502 ,  22.5325    ,  2.09713e-36,  0.000137956,  0.000778561])
37341   , -55045.6    , array([ 0.0070821  ,  22.5325    ,  2.09713e-36,  0.000137956,  0.000778561])
37342   , -55049.4    , array([ 0.00707502 ,  22.5551    ,  2.09713e-36,  0.000137956,  0.000778561])
37343   , -55049.3    , array([ 0.00707502 ,  22.5325    ,  2.09923e-36,  0.000137956,  0.000778561])
37344   , -55049.3    , array([ 0.00707502 ,  22.5325    ,  2.09713e-36,  0.000138094,  0.000778561])
37345   , -55052.8    , array([ 0.00707502 ,  22.5325    ,  2.09713e-36,  0.000137956,  0.000779339])
37346   , -55048.7    , array([ 0.00709348 ,  22.5226    ,  2.09713e-36,  0.000137956,  0.000780616])
37347   , -55048.7    , array([ 0.00709348 ,  22.5226    ,  2.09713e-36,  0.000137956,  0.000780616])
37348   , -55044.9    , array([ 0.00710057 ,  22.5226    ,  2.09713e-36,  0.000137956,  0.000780616])
37349   , -55048.7    , array([ 0.00709348 ,  22.5451    ,  2.09713e-36,  0.000137956,  0.000780616])
37350   , -55048.7    , array([ 0.00709348 ,  22.5226    ,  2.09923e-36,  0.000137956,  0.000780616])
37351   , -55048.7    , array([ 0.00709348 ,  22.5226    ,  2.09713e-36,  0.000138094,  0.000780616])
37352   , -55052.1    , array([ 0.00709348 ,  22.5226    ,  2.09713e-36,  0.000137956,  0.000781397])
37360   , -55048.5    , array([ 0.00709811 ,  22.5201    ,  2.09713e-36,  0.000137956,  0.000781132])
37361   , -55048.5    , array([ 0.00709811 ,  22.5201    ,  2.09713e-36,  0.000137956,  0.000781132])
37362   , -55044.8    , array([ 0.00710521 ,  22.5201    ,  2.09713e-36,  0.000137956,  0.000781132])
37363   , -55048.5    , array([ 0.00709811 ,  22.5426    ,  2.09713e-36,  0.000137956,  0.000781132])
37364   , -55048.5    , array([ 0.00709811 ,  22.5201    ,  2.09923e-36,  0.000137956,  0.000781132])
37365   , -55048.5    , array([ 0.00709811 ,  22.5201    ,  2.09713e-36,  0.000138094,  0.000781132])
37366   , -55052      , array([ 0.00709811 ,  22.5201    ,  2.09713e-36,  0.000137956,  0.000781914])
37367   , -55048.3    , array([ 0.00710276 ,  22.5176    ,  2.09713e-36,  0.000137956,  0.00078165 ])
37368   , -55048.3    , array([ 0.00710276 ,  22.5176    ,  2.09713e-36,  0.000137956,  0.00078165 ])
37369   , -55044.6    , array([ 0.00710986 ,  22.5176    ,  2.09713e-36,  0.000137956,  0.00078165 ])
37370   , -55048.4    , array([ 0.00710276 ,  22.5401    ,  2.09713e-36,  0.000137956,  0.00078165 ])
37371   , -55048.3    , array([ 0.00710276 ,  22.5176    ,  2.09923e-36,  0.000137956,  0.00078165 ])
37372   , -55048.3    , array([ 0.00710276 ,  22.5176    ,  2.09713e-36,  0.000138094,  0.00078165 ])
37373   , -55051.8    , array([ 0.00710276 ,  22.5176    ,  2.09713e-36,  0.000137956,  0.000782432])
