13589   , -2321.92    , array([ 0.0256524  ,  1.1929     ,  2.06503e-05,  7.46582e-65])
13590   , -2321.93    , array([ 0.0256781  ,  1.1929     ,  2.06503e-05,  7.46582e-65])
13591   , -2321.92    , array([ 0.0256524  ,  1.19409    ,  2.06503e-05,  7.46582e-65])
13592   , -2321.9     , array([ 0.0256524  ,  1.1929     ,  2.06709e-05,  7.46582e-65])
13593   , -2321.92    , array([ 0.0256524  ,  1.1929     ,  2.06503e-05,  7.47329e-65])
13594   , -2321.92    , array([ 0.0256524  ,  1.1929     ,  2.06503e-05,  7.46582e-65])
13595   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18013e-05,  7.46582e-65])
13596   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18013e-05,  7.46582e-65])
13597   , -2276.28    , array([ 0.0124609  ,  1.1929     ,  4.18013e-05,  7.46582e-65])
13598   , -2276.22    , array([ 0.0124484  ,  1.19409    ,  4.18013e-05,  7.46582e-65])
13599   , -2276.17    , array([ 0.0124484  ,  1.1929     ,  4.18431e-05,  7.46582e-65])
13600   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18013e-05,  7.47329e-65])
13607   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18014e-05,  7.46582e-65])
13608   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18014e-05,  7.46582e-65])
13609   , -2276.28    , array([ 0.0124608  ,  1.1929     ,  4.18014e-05,  7.46582e-65])
13610   , -2276.22    , array([ 0.0124484  ,  1.19409    ,  4.18014e-05,  7.46582e-65])
13611   , -2276.17    , array([ 0.0124484  ,  1.1929     ,  4.18432e-05,  7.46582e-65])
13612   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18014e-05,  7.47329e-65])
13613   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18015e-05,  7.46582e-65])
13614   , -2276.22    , array([ 0.0124484  ,  1.1929     ,  4.18015e-05,  7.46582e-65])
13615   , -2276.28    , array([ 0.0124608  ,  1.1929     ,  4.18015e-05,  7.46582e-65])
