45431   , -2153.46    , array([ 2.36993    ,  0.0727058  ,  3.92411e-87,  4.71013e-22,  0.0311701  ])
45432   , -2158.78    , array([ 2.36993    ,  0.0726331  ,  3.92803e-87,  4.71013e-22,  0.0311701  ])
45433   , -2158.78    , array([ 2.36993    ,  0.0726331  ,  3.92411e-87,  4.71484e-22,  0.0311701  ])
45434   , -2164.29    , array([ 2.36993    ,  0.0726331  ,  3.92411e-87,  4.71013e-22,  0.0312013  ])
45435   , -2158.76    , array([ 2.36966    ,  0.0726354  ,  3.92411e-87,  4.71013e-22,  0.031171   ])
45436   , -2158.76    , array([ 2.36966    ,  0.0726354  ,  3.92411e-87,  4.71013e-22,  0.031171   ])
45437   , -2158.89    , array([ 2.37203    ,  0.0726354  ,  3.92411e-87,  4.71013e-22,  0.031171   ])
45438   , -2153.45    , array([ 2.36966    ,  0.072708   ,  3.92411e-87,  4.71013e-22,  0.031171   ])
45439   , -2158.76    , array([ 2.36966    ,  0.0726354  ,  3.92803e-87,  4.71013e-22,  0.031171   ])
45440   , -2158.76    , array([ 2.36966    ,  0.0726354  ,  3.92411e-87,  4.71484e-22,  0.031171   ])
45441   , -2164.27    , array([ 2.36966    ,  0.0726354  ,  3.92411e-87,  4.71013e-22,  0.0312022  ])
45449   , -2158.75    , array([ 2.36961    ,  0.0726358  ,  3.92411e-87,  4.71013e-22,  0.0311712  ])
45450   , -2158.75    , array([ 2.36961    ,  0.0726358  ,  3.92411e-87,  4.71013e-22,  0.0311712  ])
45451   , -2158.89    , array([ 2.37198    ,  0.0726358  ,  3.92411e-87,  4.71013e-22,  0.0311712  ])
45452   , -2153.44    , array([ 2.36961    ,  0.0727085  ,  3.92411e-87,  4.71013e-22,  0.0311712  ])
45453   , -2158.75    , array([ 2.36961    ,  0.0726358  ,  3.92803e-87,  4.71013e-22,  0.0311712  ])
45454   , -2158.75    , array([ 2.36961    ,  0.0726358  ,  3.92411e-87,  4.71484e-22,  0.0311712  ])
