Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-13947.91	27911.82	5448.75	6713.0	2.7352,0.6378,1.538,0.6293,0.3973,4.5968,3.2762,2.1139
our_model	Round_1_Replicate_2	-11810.12	23636.24	1255.31	20102.77	1.4094,0.3251,0.5078,0.0694,1.0604,10.755,0.022,0.1457
our_model	Round_1_Replicate_3	-12048.42	24112.84	1756.31	17837.49	1.7872,0.6922,0.853,0.7695,1.7534,3.4494,0.175,0.0526
our_model	Round_1_Replicate_4	-13978.4	27972.8	5508.32	6375.03	2.8829,0.6963,1.538,0.5011,0.4744,4.2779,3.5298,2.1272
our_model	Round_1_Replicate_5	-11290.23	22596.46	220.91	20509.07	1.3908,0.4054,0.7235,0.3389,0.984,7.1351,0.0726,0.0714
our_model	Round_1_Replicate_6	-14212.21	28440.42	6022.49	11103.17	1.6635,0.3903,0.8267,0.8952,0.805,7.7431,0.01,2.7767
our_model	Round_1_Replicate_7	-14013.84	28043.68	5557.53	7713.93	2.353,0.6272,1.1425,0.4792,0.6999,5.1217,2.7034,1.7767
our_model	Round_1_Replicate_8	-11294.72	22605.44	230.63	20258.05	1.4107,0.4801,0.7402,0.4844,1.5278,4.9842,0.1032,0.0536
our_model	Round_1_Replicate_9	-11591.27	23198.54	825.28	20500.21	1.4428,0.3448,0.5813,0.1027,0.8423,9.7185,0.0407,0.1023
our_model	Round_1_Replicate_10	-11417.68	22851.36	478.49	20616.81	1.3461,0.4611,0.6372,0.3558,1.7755,5.8467,0.0987,0.054
our_model	Round_2_Replicate_1	-11187.74	22391.48	18.98	20029.77	1.4905,0.518,0.9471,0.4298,1.1084,2.4454,0.1027,0.0469
our_model	Round_2_Replicate_2	-11217.48	22450.96	76.99	20071.12	1.487,0.445,0.8483,0.407,0.8397,5.774,0.0821,0.0662
our_model	Round_2_Replicate_3	-11266.71	22549.42	173.49	20117.76	1.4912,0.4178,0.7871,0.3682,0.7587,6.82,0.072,0.075
our_model	Round_2_Replicate_4	-11317.01	22650.02	276.37	20454.93	1.4469,0.3795,0.801,0.4871,0.6183,7.4065,0.0634,0.076
our_model	Round_2_Replicate_5	-11214.98	22445.96	73.27	20196.91	1.4675,0.4415,0.9774,0.5522,0.7668,5.0386,0.083,0.0607
our_model	Round_2_Replicate_6	-11190.73	22397.46	25.1	20032.03	1.5162,0.4885,1.0177,0.4615,0.8457,3.4404,0.0924,0.0526
our_model	Round_2_Replicate_7	-11194.32	22404.64	31.79	20126.14	1.4737,0.4667,0.8824,0.406,0.972,4.7558,0.0899,0.058
our_model	Round_2_Replicate_8	-11185.43	22386.86	14.32	20092.84	1.4723,0.4923,0.9085,0.4463,1.0827,3.6174,0.0986,0.0515
our_model	Round_2_Replicate_9	-11180.58	22377.16	4.59	20038.1	1.4862,0.4891,0.9441,0.4731,1.0054,3.7146,0.097,0.0529
our_model	Round_2_Replicate_10	-11195.44	22406.88	34.9	19948.48	1.5197,0.5371,1.1164,0.5432,1.09,0.5081,0.1091,0.0413
our_model	Round_2_Replicate_11	-11179.98	22375.96	3.39	20000.74	1.4959,0.5042,0.9742,0.4908,1.0645,2.892,0.1022,0.0492
our_model	Round_2_Replicate_12	-11193.81	22403.62	31.54	20036.54	1.5094,0.5289,1.0925,0.542,1.0814,0.7016,0.1073,0.0414
our_model	Round_2_Replicate_13	-11197.4	22410.8	38.25	20097.06	1.4944,0.4596,0.9522,0.4803,0.806,4.7215,0.088,0.0584
our_model	Round_2_Replicate_14	-11183.48	22382.96	10.5	20059.73	1.4945,0.5026,0.9523,0.419,1.0588,2.9833,0.0994,0.0492
our_model	Round_2_Replicate_15	-11272.92	22561.84	187.97	20385.0	1.4431,0.3925,0.8415,0.5625,0.7286,6.8822,0.0715,0.0719
our_model	Round_2_Replicate_16	-11334.04	22684.08	312.92	20131.99	1.5391,0.3953,0.8138,0.397,0.5342,7.1751,0.0632,0.079
our_model	Round_2_Replicate_17	-11179.1	22374.2	1.64	20025.93	1.4958,0.4925,0.9716,0.4774,0.9885,3.4302,0.0977,0.0517
our_model	Round_2_Replicate_18	-11241.3	22498.6	124.98	20411.4	1.4298,0.4123,0.8544,0.5012,0.8073,6.1805,0.0766,0.0658
