14449   , -2411.47    , array([ 4.07689    ,  0.0277855  ,  0.00487206 ,  1.93119e-66])
14450   , -2411.5     , array([ 4.08097    ,  0.0277855  ,  0.00487206 ,  1.93119e-66])
14451   , -2411.47    , array([ 4.07689    ,  0.0278133  ,  0.00487206 ,  1.93119e-66])
14452   , -2411.55    , array([ 4.07689    ,  0.0277855  ,  0.00487693 ,  1.93119e-66])
14453   , -2411.47    , array([ 4.07689    ,  0.0277855  ,  0.00487206 ,  1.93312e-66])
14454   , -2411.47    , array([ 4.07689    ,  0.0277855  ,  0.00487206 ,  1.93119e-66])
14455   , -2361.1     , array([ 2.9821     ,  0.0277855  ,  0.00186478 ,  1.93119e-66])
14456   , -2361.1     , array([ 2.9821     ,  0.0277855  ,  0.00186478 ,  1.93119e-66])
14457   , -2361.11    , array([ 2.98508    ,  0.0277855  ,  0.00186478 ,  1.93119e-66])
14458   , -2361.1     , array([ 2.9821     ,  0.0278133  ,  0.00186478 ,  1.93119e-66])
14459   , -2361.12    , array([ 2.9821     ,  0.0277855  ,  0.00186665 ,  1.93119e-66])
14460   , -2361.1     , array([ 2.9821     ,  0.0277855  ,  0.00186478 ,  1.93312e-66])
14461   , -6360.7     , array([ 0.0055975  ,  0.0277855  ,  0.00513562 ,  1.93119e-66])
14462   , -6360.7     , array([ 0.0055975  ,  0.0277855  ,  0.00513562 ,  1.93119e-66])
14463   , -6356.87    , array([ 0.0056031  ,  0.0277855  ,  0.00513562 ,  1.93119e-66])
14464   , -6360.7     , array([ 0.0055975  ,  0.0278133  ,  0.00513562 ,  1.93119e-66])
14465   , -6364.06    , array([ 0.0055975  ,  0.0277855  ,  0.00514076 ,  1.93119e-66])
14466   , -6360.7     , array([ 0.0055975  ,  0.0277855  ,  0.00513562 ,  1.93312e-66])
14467   , -2300.13    , array([ 0.555012   ,  0.0277855  ,  0.00244602 ,  1.93119e-66])
14468   , -2300.13    , array([ 0.555012   ,  0.0277855  ,  0.00244602 ,  1.93119e-66])
14469   , -2300.21    , array([ 0.555568   ,  0.0277855  ,  0.00244602 ,  1.93119e-66])
14470   , -2300.13    , array([ 0.555012   ,  0.0278133  ,  0.00244602 ,  1.93119e-66])
14471   , -2300.1     , array([ 0.555012   ,  0.0277855  ,  0.00244846 ,  1.93119e-66])
14472   , -2300.13    , array([ 0.555012   ,  0.0277855  ,  0.00244602 ,  1.93312e-66])
14473   , -1865.77    , array([ 0.0747318  ,  0.0277855  ,  0.00338046 ,  1.93119e-66])
14474   , -1865.77    , array([ 0.0747318  ,  0.0277855  ,  0.00338046 ,  1.93119e-66])
14475   , -1866.02    , array([ 0.0748065  ,  0.0277855  ,  0.00338046 ,  1.93119e-66])
14476   , -1865.77    , array([ 0.0747318  ,  0.0278133  ,  0.00338046 ,  1.93119e-66])
14477   , -1865.51    , array([ 0.0747318  ,  0.0277855  ,  0.00338384 ,  1.93119e-66])
14478   , -1865.77    , array([ 0.0747318  ,  0.0277855  ,  0.00338046 ,  1.93312e-66])
14479   , -1797.95    , array([ 0.0579586  ,  0.0277855  ,  0.00352199 ,  1.93119e-66])
14480   , -1797.95    , array([ 0.0579586  ,  0.0277855  ,  0.00352199 ,  1.93119e-66])
14481   , -1798.14    , array([ 0.0580166  ,  0.0277855  ,  0.00352199 ,  1.93119e-66])
14482   , -1797.95    , array([ 0.0579586  ,  0.0278133  ,  0.00352199 ,  1.93119e-66])
14483   , -1797.75    , array([ 0.0579586  ,  0.0277855  ,  0.00352551 ,  1.93119e-66])
14484   , -1797.95    , array([ 0.0579586  ,  0.0277855  ,  0.00352199 ,  1.93312e-66])
14485   , -1755.96    , array([ 0.0399509  ,  0.0277855  ,  0.00373993 ,  1.93119e-66])
