91400   , -27811.5    , array([ 4.47266    ,  0.0490542  ,  0.00100195 ,  2.03272e-40,  0.060924   ])
91401   , -27766.5    , array([ 4.46819    ,  0.0491032  ,  0.00100195 ,  2.03272e-40,  0.060924   ])
91402   , -27811      , array([ 4.46819    ,  0.0490542  ,  0.00100295 ,  2.03272e-40,  0.060924   ])
91403   , -27811      , array([ 4.46819    ,  0.0490542  ,  0.00100195 ,  2.03476e-40,  0.060924   ])
91404   , -27856.1    , array([ 4.46819    ,  0.0490542  ,  0.00100195 ,  2.03272e-40,  0.0609849  ])
91412   , -27810.3    , array([ 4.47066    ,  0.0490484  ,  0.00100145 ,  2.03272e-40,  0.0609156  ])
91413   , -27810.3    , array([ 4.47066    ,  0.0490484  ,  0.00100145 ,  2.03272e-40,  0.0609156  ])
91414   , -27810.8    , array([ 4.47513    ,  0.0490484  ,  0.00100145 ,  2.03272e-40,  0.0609156  ])
91415   , -27765.8    , array([ 4.47066    ,  0.0490975  ,  0.00100145 ,  2.03272e-40,  0.0609156  ])
91416   , -27810.3    , array([ 4.47066    ,  0.0490484  ,  0.00100245 ,  2.03272e-40,  0.0609156  ])
91417   , -27810.3    , array([ 4.47066    ,  0.0490484  ,  0.00100145 ,  2.03476e-40,  0.0609156  ])
91418   , -27855.5    , array([ 4.47066    ,  0.0490484  ,  0.00100145 ,  2.03272e-40,  0.0609766  ])
91419   , -27809.7    , array([ 4.47313    ,  0.0490426  ,  0.00100096 ,  2.03272e-40,  0.0609073  ])
91420   , -27809.7    , array([ 4.47313    ,  0.0490426  ,  0.00100096 ,  2.03272e-40,  0.0609073  ])
91421   , -27810.2    , array([ 4.47761    ,  0.0490426  ,  0.00100096 ,  2.03272e-40,  0.0609073  ])
91422   , -27765.2    , array([ 4.47313    ,  0.0490917  ,  0.00100096 ,  2.03272e-40,  0.0609073  ])
91423   , -27809.7    , array([ 4.47313    ,  0.0490426  ,  0.00100196 ,  2.03272e-40,  0.0609073  ])
91424   , -27809.7    , array([ 4.47313    ,  0.0490426  ,  0.00100096 ,  2.03476e-40,  0.0609073  ])
91425   , -27854.8    , array([ 4.47313    ,  0.0490426  ,  0.00100096 ,  2.03272e-40,  0.0609682  ])
91433   , -27809.5    , array([ 4.47375    ,  0.0490411  ,  0.00100083 ,  2.03272e-40,  0.0609052  ])
91434   , -27809.5    , array([ 4.47375    ,  0.0490411  ,  0.00100083 ,  2.03272e-40,  0.0609052  ])
91435   , -27810      , array([ 4.47823    ,  0.0490411  ,  0.00100083 ,  2.03272e-40,  0.0609052  ])
91436   , -27765      , array([ 4.47375    ,  0.0490902  ,  0.00100083 ,  2.03272e-40,  0.0609052  ])
91437   , -27809.5    , array([ 4.47375    ,  0.0490411  ,  0.00100184 ,  2.03272e-40,  0.0609052  ])
91438   , -27809.5    , array([ 4.47375    ,  0.0490411  ,  0.00100083 ,  2.03476e-40,  0.0609052  ])
91439   , -27854.6    , array([ 4.47375    ,  0.0490411  ,  0.00100083 ,  2.03272e-40,  0.0609661  ])
91440   , -27809.3    , array([ 4.47437    ,  0.0490397  ,  0.00100071 ,  2.03272e-40,  0.0609031  ])
91441   , -27809.3    , array([ 4.47437    ,  0.0490397  ,  0.00100071 ,  2.03272e-40,  0.0609031  ])
91442   , -27809.8    , array([ 4.47884    ,  0.0490397  ,  0.00100071 ,  2.03272e-40,  0.0609031  ])
91443   , -27764.8    , array([ 4.47437    ,  0.0490888  ,  0.00100071 ,  2.03272e-40,  0.0609031  ])
91444   , -27809.3    , array([ 4.47437    ,  0.0490397  ,  0.00100171 ,  2.03272e-40,  0.0609031  ])
91445   , -27809.3    , array([ 4.47437    ,  0.0490397  ,  0.00100071 ,  2.03476e-40,  0.0609031  ])
91446   , -27854.5    , array([ 4.47437    ,  0.0490397  ,  0.00100071 ,  2.03272e-40,  0.060964   ])
