3425    , -2336.76    , array([ 0.0411158  ,  0.889243   ,  5.6877e-58 ,  1.90898e-05])
3426    , -2336.76    , array([ 0.0411569  ,  0.889243   ,  5.6877e-58 ,  1.90898e-05])
3427    , -2336.76    , array([ 0.0411158  ,  0.890133   ,  5.6877e-58 ,  1.90898e-05])
3428    , -2336.76    , array([ 0.0411158  ,  0.889243   ,  5.6934e-58 ,  1.90898e-05])
3429    , -2336.76    , array([ 0.0411158  ,  0.889243   ,  5.6877e-58 ,  1.91089e-05])
3430    , -2336.76    , array([ 0.0411158  ,  0.889243   ,  5.6877e-58 ,  1.90898e-05])
3431    , -2336.54    , array([ 0.0411158  ,  0.588833   ,  5.6877e-58 ,  1.99825e-05])
3432    , -2336.54    , array([ 0.0411158  ,  0.588833   ,  5.6877e-58 ,  1.99825e-05])
3433    , -2336.54    , array([ 0.0411569  ,  0.588833   ,  5.6877e-58 ,  1.99825e-05])
3434    , -2336.54    , array([ 0.0411158  ,  0.589422   ,  5.6877e-58 ,  1.99825e-05])
3435    , -2336.54    , array([ 0.0411158  ,  0.588833   ,  5.6934e-58 ,  1.99825e-05])
3436    , -2336.54    , array([ 0.0411158  ,  0.588833   ,  5.6877e-58 ,  2.00025e-05])
3437    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3438    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3439    , -2333.2     , array([ 0.0411569  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3440    , -2333.21    , array([ 0.0411158  ,  0.113322   ,  5.6877e-58 ,  2.39908e-05])
3441    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6934e-58 ,  2.39908e-05])
3442    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.40148e-05])
3449    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3450    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3451    , -2333.2     , array([ 0.0411569  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3452    , -2333.21    , array([ 0.0411158  ,  0.113321   ,  5.6877e-58 ,  2.39908e-05])
3453    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6934e-58 ,  2.39908e-05])
3454    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.40148e-05])
3455    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3456    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3457    , -2333.2     , array([ 0.0411569  ,  0.113208   ,  5.6877e-58 ,  2.39908e-05])
3458    , -2333.21    , array([ 0.0411158  ,  0.113321   ,  5.6877e-58 ,  2.39908e-05])
3459    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6934e-58 ,  2.39908e-05])
3460    , -2333.2     , array([ 0.0411158  ,  0.113208   ,  5.6877e-58 ,  2.40148e-05])
3461    , -2196.95    , array([ 0.0411158  ,  0.00418456 ,  5.6877e-58 ,  3.45808e-05])
3462    , -2196.95    , array([ 0.0411158  ,  0.00418456 ,  5.6877e-58 ,  3.45808e-05])
3463    , -2196.95    , array([ 0.0411569  ,  0.00418456 ,  5.6877e-58 ,  3.45808e-05])
3464    , -2197.08    , array([ 0.0411158  ,  0.00418875 ,  5.6877e-58 ,  3.45808e-05])
3465    , -2196.95    , array([ 0.0411158  ,  0.00418456 ,  5.6934e-58 ,  3.45808e-05])
3466    , -2196.83    , array([ 0.0411158  ,  0.00418456 ,  5.6877e-58 ,  3.46154e-05])
3467    , -2196.95    , array([ 0.0411158  ,  0.00418455 ,  5.6877e-58 ,  3.45808e-05])
3468    , -2196.95    , array([ 0.0411158  ,  0.00418455 ,  5.6877e-58 ,  3.45808e-05])
3469    , -2196.95    , array([ 0.0411569  ,  0.00418455 ,  5.6877e-58 ,  3.45808e-05])
3470    , -2197.08    , array([ 0.0411158  ,  0.00418874 ,  5.6877e-58 ,  3.45808e-05])
3471    , -2196.95    , array([ 0.0411158  ,  0.00418455 ,  5.6934e-58 ,  3.45808e-05])
3472    , -2196.83    , array([ 0.0411158  ,  0.00418455 ,  5.6877e-58 ,  3.46154e-05])
3473    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3474    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3475    , -2196.95    , array([ 0.0411569  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3476    , -2197.08    , array([ 0.0411158  ,  0.00418873 ,  5.6877e-58 ,  3.45808e-05])
3477    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6934e-58 ,  3.45808e-05])
3478    , -2196.83    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.46154e-05])
3485    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3486    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3487    , -2196.95    , array([ 0.0411569  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3488    , -2197.08    , array([ 0.0411158  ,  0.00418872 ,  5.6877e-58 ,  3.45808e-05])
3489    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6934e-58 ,  3.45808e-05])
3490    , -2196.83    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.46154e-05])
3491    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3492    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3493    , -2196.95    , array([ 0.0411569  ,  0.00418454 ,  5.6877e-58 ,  3.45808e-05])
3494    , -2197.08    , array([ 0.0411158  ,  0.00418872 ,  5.6877e-58 ,  3.45808e-05])
3495    , -2196.95    , array([ 0.0411158  ,  0.00418454 ,  5.6934e-58 ,  3.45808e-05])
3496    , -2196.83    , array([ 0.0411158  ,  0.00418454 ,  5.6877e-58 ,  3.46154e-05])
3497    , -2041.93    , array([ 0.0411158  ,  0.00183481 ,  5.6877e-58 ,  3.78907e-05])
3498    , -2041.93    , array([ 0.0411158  ,  0.00183481 ,  5.6877e-58 ,  3.78907e-05])
3499    , -2041.93    , array([ 0.0411569  ,  0.00183481 ,  5.6877e-58 ,  3.78907e-05])
