289580  , -79089.4    , array([ 0.963075   ,  0.0735832  ,  9.74116e-46,  0.000147139,  2.64585e-12])
289581  , -79089.4    , array([ 0.964038   ,  0.0735832  ,  9.74116e-46,  0.000147139,  2.64585e-12])
289582  , -79089.4    , array([ 0.963075   ,  0.0736569  ,  9.74116e-46,  0.000147139,  2.64585e-12])
289583  , -79089.4    , array([ 0.963075   ,  0.0735832  ,  9.75091e-46,  0.000147139,  2.64585e-12])
289584  , -79089.4    , array([ 0.963075   ,  0.0735832  ,  9.74116e-46,  0.000147286,  2.64585e-12])
289585  , -79089.4    , array([ 0.963075   ,  0.0735832  ,  9.74116e-46,  0.000147139,  2.64849e-12])
289586  , -79089.4    , array([ 0.963075   ,  0.0735832  ,  9.74116e-46,  0.000147139,  2.64585e-12])
289587  , -79089.4    , array([ 0.963073   ,  0.0735801  ,  9.74116e-46,  0.000147139,  2.64596e-12])
289588  , -79089.4    , array([ 0.963073   ,  0.0735801  ,  9.74116e-46,  0.000147139,  2.64596e-12])
289589  , -79089.4    , array([ 0.964036   ,  0.0735801  ,  9.74116e-46,  0.000147139,  2.64596e-12])
289590  , -79089.4    , array([ 0.963073   ,  0.0736538  ,  9.74116e-46,  0.000147139,  2.64596e-12])
289591  , -79089.4    , array([ 0.963073   ,  0.0735801  ,  9.75091e-46,  0.000147139,  2.64596e-12])
289592  , -79089.4    , array([ 0.963073   ,  0.0735801  ,  9.74116e-46,  0.000147286,  2.64596e-12])
289593  , -79089.4    , array([ 0.963073   ,  0.0735801  ,  9.74116e-46,  0.000147139,  2.64861e-12])
289594  , -79089.4    , array([ 0.963064   ,  0.0735677  ,  9.74116e-46,  0.000147139,  2.64644e-12])
289595  , -79089.4    , array([ 0.963064   ,  0.0735677  ,  9.74116e-46,  0.000147139,  2.64644e-12])
289596  , -79089.4    , array([ 0.964028   ,  0.0735677  ,  9.74116e-46,  0.000147139,  2.64644e-12])
289597  , -79089.4    , array([ 0.963064   ,  0.0736413  ,  9.74116e-46,  0.000147139,  2.64644e-12])
289598  , -79089.4    , array([ 0.963064   ,  0.0735677  ,  9.75091e-46,  0.000147139,  2.64644e-12])
289599  , -79089.4    , array([ 0.963064   ,  0.0735677  ,  9.74116e-46,  0.000147286,  2.64644e-12])
289600  , -79089.4    , array([ 0.963064   ,  0.0735677  ,  9.74116e-46,  0.000147139,  2.64909e-12])
289601  , -79089.4    , array([ 0.96303    ,  0.0735181  ,  9.74116e-46,  0.000147139,  2.64834e-12])
289602  , -79089.4    , array([ 0.96303    ,  0.0735181  ,  9.74116e-46,  0.000147139,  2.64834e-12])
289603  , -79089.4    , array([ 0.963994   ,  0.0735181  ,  9.74116e-46,  0.000147139,  2.64834e-12])
289604  , -79089.4    , array([ 0.96303    ,  0.0735916  ,  9.74116e-46,  0.000147139,  2.64834e-12])
289605  , -79089.4    , array([ 0.96303    ,  0.0735181  ,  9.75091e-46,  0.000147139,  2.64834e-12])
289606  , -79089.4    , array([ 0.96303    ,  0.0735181  ,  9.74116e-46,  0.000147286,  2.64834e-12])
289607  , -79089.4    , array([ 0.96303    ,  0.0735181  ,  9.74116e-46,  0.000147139,  2.65099e-12])
289608  , -79089.4    , array([ 0.962895   ,  0.0733198  ,  9.74116e-46,  0.000147139,  2.65595e-12])
289609  , -79089.4    , array([ 0.962895   ,  0.0733198  ,  9.74116e-46,  0.000147139,  2.65595e-12])
289610  , -79089.4    , array([ 0.963858   ,  0.0733198  ,  9.74116e-46,  0.000147139,  2.65595e-12])
289611  , -79089.4    , array([ 0.962895   ,  0.0733931  ,  9.74116e-46,  0.000147139,  2.65595e-12])
289612  , -79089.4    , array([ 0.962895   ,  0.0733198  ,  9.75091e-46,  0.000147139,  2.65595e-12])
289613  , -79089.4    , array([ 0.962895   ,  0.0733198  ,  9.74116e-46,  0.000147286,  2.65595e-12])
289614  , -79089.4    , array([ 0.962895   ,  0.0733198  ,  9.74116e-46,  0.000147139,  2.65861e-12])
289615  , -79089.4    , array([ 0.962354   ,  0.0725319  ,  9.74116e-46,  0.000147139,  2.68663e-12])
