63495   , -25630.5    , array([ 33.3198    ,  0.0605536  ,  4.45007e-05,  6.89658e-29,  0.00526816 ])
63496   , -25657.1    , array([ 33.2865    ,  0.0606142  ,  4.45007e-05,  6.89658e-29,  0.00526816 ])
63497   , -25630.5    , array([ 33.2865    ,  0.0605536  ,  4.45452e-05,  6.89658e-29,  0.00526816 ])
63498   , -25630.5    , array([ 33.2865    ,  0.0605536  ,  4.45007e-05,  6.90348e-29,  0.00526816 ])
63499   , -25603.9    , array([ 33.2865    ,  0.0605536  ,  4.45007e-05,  6.89658e-29,  0.00527343 ])
63500   , -14296.9    , array([ 71.8933    ,  0.00866124 ,  0.124409   ,  6.89658e-29,  0.0011873  ])
63501   , -14296.9    , array([ 71.8933    ,  0.00866124 ,  0.124409   ,  6.89658e-29,  0.0011873  ])
63502   , -14296.9    , array([ 71.9652    ,  0.00866124 ,  0.124409   ,  6.89658e-29,  0.0011873  ])
63503   , -14319.4    , array([ 71.8933    ,  0.00866991 ,  0.124409   ,  6.89658e-29,  0.0011873  ])
63504   , -14296.9    , array([ 71.8933    ,  0.00866124 ,  0.124533   ,  6.89658e-29,  0.0011873  ])
63505   , -14296.9    , array([ 71.8933    ,  0.00866124 ,  0.124409   ,  6.90348e-29,  0.0011873  ])
63506   , -14274.3    , array([ 71.8933    ,  0.00866124 ,  0.124409   ,  6.89658e-29,  0.00118848 ])
63514   , -14296      , array([ 72.0155    ,  0.00866514 ,  0.124503   ,  6.89658e-29,  0.00118788 ])
63515   , -14296      , array([ 72.0155    ,  0.00866514 ,  0.124503   ,  6.89658e-29,  0.00118788 ])
63516   , -14296      , array([ 72.0875    ,  0.00866514 ,  0.124503   ,  6.89658e-29,  0.00118788 ])
63517   , -14318.5    , array([ 72.0155    ,  0.0086738  ,  0.124503   ,  6.89658e-29,  0.00118788 ])
63518   , -14296      , array([ 72.0155    ,  0.00866514 ,  0.124627   ,  6.89658e-29,  0.00118788 ])
63519   , -14296      , array([ 72.0155    ,  0.00866514 ,  0.124503   ,  6.90348e-29,  0.00118788 ])
63520   , -14273.4    , array([ 72.0155    ,  0.00866514 ,  0.124503   ,  6.89658e-29,  0.00118907 ])
63521   , -14292.1    , array([ 72.5347    ,  0.00868163 ,  0.124901   ,  6.89658e-29,  0.00119034 ])
63522   , -14292.1    , array([ 72.5347    ,  0.00868163 ,  0.124901   ,  6.89658e-29,  0.00119034 ])
63523   , -14292.1    , array([ 72.6073    ,  0.00868163 ,  0.124901   ,  6.89658e-29,  0.00119034 ])
63524   , -14314.7    , array([ 72.5347    ,  0.00869031 ,  0.124901   ,  6.89658e-29,  0.00119034 ])
63525   , -14292.1    , array([ 72.5347    ,  0.00868163 ,  0.125026   ,  6.89658e-29,  0.00119034 ])
63526   , -14292.1    , array([ 72.5347    ,  0.00868163 ,  0.124901   ,  6.90348e-29,  0.00119034 ])
63527   , -14269.6    , array([ 72.5347    ,  0.00868163 ,  0.124901   ,  6.89658e-29,  0.00119153 ])
63535   , -14291.9    , array([ 72.5655    ,  0.0086826  ,  0.124924   ,  6.89658e-29,  0.00119048 ])
