29086   , -12419      , array([ 1.01975    ,  0.513794   ,  1.02091e-39,  0.345047   ,  0.187485   ])
29094   , -12407.5    , array([ 1.01975    ,  0.51379    ,  1.02091e-39,  0.34506    ,  0.187297   ])
29095   , -12407.5    , array([ 1.01975    ,  0.51379    ,  1.02091e-39,  0.34506    ,  0.187297   ])
29096   , -12397.5    , array([ 1.02077    ,  0.51379    ,  1.02091e-39,  0.34506    ,  0.187297   ])
29097   , -12411.7    , array([ 1.01975    ,  0.514304   ,  1.02091e-39,  0.34506    ,  0.187297   ])
29098   , -12407.5    , array([ 1.01975    ,  0.51379    ,  1.02193e-39,  0.34506    ,  0.187297   ])
29099   , -12406.9    , array([ 1.01975    ,  0.51379    ,  1.02091e-39,  0.345405   ,  0.187297   ])
29100   , -12418.9    , array([ 1.01975    ,  0.51379    ,  1.02091e-39,  0.34506    ,  0.187484   ])
29101   , -12407.5    , array([ 1.01975    ,  0.513786   ,  1.02091e-39,  0.345073   ,  0.187297   ])
29102   , -12407.5    , array([ 1.01975    ,  0.513786   ,  1.02091e-39,  0.345073   ,  0.187297   ])
29103   , -12397.4    , array([ 1.02077    ,  0.513786   ,  1.02091e-39,  0.345073   ,  0.187297   ])
29104   , -12411.6    , array([ 1.01975    ,  0.5143     ,  1.02091e-39,  0.345073   ,  0.187297   ])
29105   , -12407.5    , array([ 1.01975    ,  0.513786   ,  1.02193e-39,  0.345073   ,  0.187297   ])
29106   , -12406.9    , array([ 1.01975    ,  0.513786   ,  1.02091e-39,  0.345418   ,  0.187297   ])
29107   , -12418.8    , array([ 1.01975    ,  0.513786   ,  1.02091e-39,  0.345073   ,  0.187484   ])
29108   , -9280.39    , array([ 0.974773   ,  0.360321   ,  1.02091e-39,  1.93812    ,  0.168514   ])
29109   , -9280.39    , array([ 0.974773   ,  0.360321   ,  1.02091e-39,  1.93812    ,  0.168514   ])
29110   , -9272.86    , array([ 0.975749   ,  0.360321   ,  1.02091e-39,  1.93812    ,  0.168514   ])
29111   , -9286.83    , array([ 0.974773   ,  0.360682   ,  1.02091e-39,  1.93812    ,  0.168514   ])
29112   , -9280.39    , array([ 0.974773   ,  0.360321   ,  1.02193e-39,  1.93812    ,  0.168514   ])
29113   , -9280.73    , array([ 0.974773   ,  0.360321   ,  1.02091e-39,  1.94006    ,  0.168514   ])
29114   , -9285.82    , array([ 0.974773   ,  0.360321   ,  1.02091e-39,  1.93812    ,  0.168683   ])
29122   , -9280.33    , array([ 0.974773   ,  0.360318   ,  1.02091e-39,  1.93816    ,  0.168514   ])
29123   , -9280.33    , array([ 0.974773   ,  0.360318   ,  1.02091e-39,  1.93816    ,  0.168514   ])
29124   , -9272.79    , array([ 0.975748   ,  0.360318   ,  1.02091e-39,  1.93816    ,  0.168514   ])
29125   , -9286.76    , array([ 0.974773   ,  0.360678   ,  1.02091e-39,  1.93816    ,  0.168514   ])
29126   , -9280.33    , array([ 0.974773   ,  0.360318   ,  1.02193e-39,  1.93816    ,  0.168514   ])
29127   , -9280.67    , array([ 0.974773   ,  0.360318   ,  1.02091e-39,  1.9401     ,  0.168514   ])
29128   , -9285.75    , array([ 0.974773   ,  0.360318   ,  1.02091e-39,  1.93816    ,  0.168682   ])
29129   , -6760.84    , array([ 0.921244   ,  0.190938   ,  1.02091e-39,  6.66697    ,  0.141958   ])
29130   , -6760.84    , array([ 0.921244   ,  0.190938   ,  1.02091e-39,  6.66697    ,  0.141958   ])
29131   , -6756.39    , array([ 0.922166   ,  0.190938   ,  1.02091e-39,  6.66697    ,  0.141958   ])
29132   , -6769.38    , array([ 0.921244   ,  0.191129   ,  1.02091e-39,  6.66697    ,  0.141958   ])
29133   , -6760.84    , array([ 0.921244   ,  0.190938   ,  1.02193e-39,  6.66697    ,  0.141958   ])
29134   , -6765.08    , array([ 0.921244   ,  0.190938   ,  1.02091e-39,  6.67364    ,  0.141958   ])
29135   , -6762.61    , array([ 0.921244   ,  0.190938   ,  1.02091e-39,  6.66697    ,  0.142101   ])
29136   , -4141.8     , array([ 0.815522   ,  0.0949827  ,  1.02091e-39,  8.15842    ,  0.105348   ])
29137   , -4141.8     , array([ 0.815522   ,  0.0949827  ,  1.02091e-39,  8.15842    ,  0.105348   ])
