89643   , -1674.66    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14997e-47,  0.0251755  ])
89644   , -1675.37    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14883e-47,  0.0252007  ])
89645   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89646   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89647   , -1654.62    , array([ 1.8257     ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89648   , -1654.65    , array([ 1.82387    ,  0.0626043  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89649   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.73139e-32,  1.14883e-47,  0.0223101  ])
89650   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14997e-47,  0.0223101  ])
89651   , -1654.26    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223324  ])
89652   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
89653   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
89654   , -1649.16    , array([ 1.77915    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
89655   , -1649.3     , array([ 1.77737    ,  0.064412   ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
89656   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.73139e-32,  1.14883e-47,  0.0228907  ])
89657   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14997e-47,  0.0228907  ])
89658   , -1648.74    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0229136  ])
89659   , -1638.92    , array([ 1.63203    ,  0.0666939  ,  2.72866e-32,  1.14883e-47,  0.0237094  ])
89660   , -1638.92    , array([ 1.63203    ,  0.0666939  ,  2.72866e-32,  1.14883e-47,  0.0237094  ])
89661   , -1638.99    , array([ 1.63366    ,  0.0666939  ,  2.72866e-32,  1.14883e-47,  0.0237094  ])
89662   , -1639.17    , array([ 1.63203    ,  0.0667606  ,  2.72866e-32,  1.14883e-47,  0.0237094  ])
89663   , -1638.92    , array([ 1.63203    ,  0.0666939  ,  2.73139e-32,  1.14883e-47,  0.0237094  ])
89664   , -1638.92    , array([ 1.63203    ,  0.0666939  ,  2.72866e-32,  1.14997e-47,  0.0237094  ])
89665   , -1638.63    , array([ 1.63203    ,  0.0666939  ,  2.72866e-32,  1.14883e-47,  0.0237332  ])
89666   , -1633.18    , array([ 1.37137    ,  0.0692682  ,  2.72866e-32,  1.14883e-47,  0.0247321  ])
89667   , -1633.18    , array([ 1.37137    ,  0.0692682  ,  2.72866e-32,  1.14883e-47,  0.0247321  ])
89668   , -1633.14    , array([ 1.37274    ,  0.0692682  ,  2.72866e-32,  1.14883e-47,  0.0247321  ])
89669   , -1633.26    , array([ 1.37137    ,  0.0693375  ,  2.72866e-32,  1.14883e-47,  0.0247321  ])
89670   , -1633.18    , array([ 1.37137    ,  0.0692682  ,  2.73139e-32,  1.14883e-47,  0.0247321  ])
89671   , -1633.18    , array([ 1.37137    ,  0.0692682  ,  2.72866e-32,  1.14997e-47,  0.0247321  ])
89672   , -1633.13    , array([ 1.37137    ,  0.0692682  ,  2.72866e-32,  1.14883e-47,  0.0247568  ])
89673   , -1632.51    , array([ 1.45656    ,  0.0678718  ,  2.72866e-32,  1.14883e-47,  0.0242861  ])
89674   , -1632.51    , array([ 1.45656    ,  0.0678718  ,  2.72866e-32,  1.14883e-47,  0.0242861  ])
89675   , -1632.52    , array([ 1.45802    ,  0.0678718  ,  2.72866e-32,  1.14883e-47,  0.0242861  ])
