99488   , -74092.7    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.10312    ])
99489   , -73518.7    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0637319  ])
99490   , -73531.8    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0618123  ])
99491   , -73508.2    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.069374   ])
99492   , -73618.6    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.082264   ])
99493   , -73507.1    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99494   , -73507.4    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0672922  ])
99495   , -73507.3    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0686517  ])
99496   , -82674.9    , array([ 24.0645    ,  9.00677    ,  5.17586    ,  5.17586    ,  0.135944   ])
99497   , -73507.1    , array([ 21.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99498   , -73593      , array([ 22.4766    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99499   , -73350.5    , array([ 19.8586    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99500   , -73038.3    , array([ 17.2405    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99501   , -72284.6    , array([ 13.0045    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99502   , -69150      , array([ 6.15035    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99504   , -69150      , array([ 6.15035    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99505   , -59611      , array([ 1.91428    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99507   , -66417.5    , array([ 4.03211    ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99508   , -51574.9    , array([ 0.914281   ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99509   , -49120.6    , array([ 0.296247   ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99511   , -47611.1    , array([ 0.532315   ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99512   , -47611.1    , array([ 0.532315   ,  6.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99513   , -48145.2    , array([ 0.532315   ,  7.41884    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99514   , -46309.1    , array([ 0.532315   ,  4.80081    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99515   , -40700.1    , array([ 0.532315   ,  2.18278    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99517   , -40700.1    , array([ 0.532315   ,  2.18278    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99518   , -21692.3    , array([ 0.532315   ,  0.564742   ,  2.58793    ,  2.58793    ,  0.0679719  ])
99520   , -35553.7    , array([ 0.532315   ,  1.37361    ,  2.58793    ,  2.58793    ,  0.0679719  ])
99521   , -4871.37    , array([ 0.532315   ,  0.182776   ,  2.58793    ,  2.58793    ,  0.0679719  ])
99523   , -12349.4    , array([ 0.532315   ,  0.328674   ,  2.58793    ,  2.58793    ,  0.0679719  ])
99524   , -4492.42    , array([ 0.532315   ,  0.0926061  ,  2.58793    ,  2.58793    ,  0.0679719  ])
99525   , -33793.8    , array([ 0.532315   ,  0.0293437  ,  2.58793    ,  2.58793    ,  0.0679719  ])
99526   , -4492.42    , array([ 0.532315   ,  0.0926061  ,  2.58793    ,  2.58793    ,  0.0679719  ])
99527   , -3782.3     , array([ 0.532315   ,  0.0926061  ,  3.58793    ,  2.58793    ,  0.0679719  ])
99528   , -2979.7     , array([ 0.532315   ,  0.0926061  ,  5.20596    ,  2.58793    ,  0.0679719  ])
99529   , -2389.96    , array([ 0.532315   ,  0.0926061  ,  7.43006    ,  2.58793    ,  0.0679719  ])
99531   , -2389.96    , array([ 0.532315   ,  0.0926061  ,  7.43006    ,  2.58793    ,  0.0679719  ])
99532   , -2247.43    , array([ 0.532315   ,  0.0926061  ,  8.80463    ,  2.58793    ,  0.0679719  ])
99533   , -2226.77    , array([ 0.532315   ,  0.0926061  ,  9.65416    ,  2.58793    ,  0.0679719  ])
99534   , -2226.75    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  2.58793    ,  0.0679719  ])
99535   , -2227.06    , array([ 0.532315   ,  0.0926061  ,  9.5004     ,  2.58793    ,  0.0679719  ])
99536   , -2226.75    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  2.58793    ,  0.0679719  ])
99537   , -2022.88    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  3.58793    ,  0.0679719  ])
99538   , -2070.33    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  5.20596    ,  0.0679719  ])
99539   , -2022.88    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  3.58793    ,  0.0679719  ])
99540   , -1994.21    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.20596    ,  0.0679719  ])
99541   , -2007.01    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.58793    ,  0.0679719  ])
99542   , -1994.15    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.18731    ,  0.0679719  ])
99543   , -1994.14    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0679719  ])
99544   , -1994.17    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.15548    ,  0.0679719  ])
99545   , -1994.14    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0679719  ])
