1       , -54514.6    , array([ 1.05645    ,  0.331943   ,  2.3602     ,  0.474839   ,  0.00748377 ])
2       , -54517.6    , array([ 1.05751    ,  0.331943   ,  2.3602     ,  0.474839   ,  0.00748377 ])
3       , -54530.5    , array([ 1.05645    ,  0.332275   ,  2.3602     ,  0.474839   ,  0.00748377 ])
4       , -54514.9    , array([ 1.05645    ,  0.331943   ,  2.36256    ,  0.474839   ,  0.00748377 ])
5       , -54514.7    , array([ 1.05645    ,  0.331943   ,  2.3602     ,  0.475314   ,  0.00748377 ])
6       , -54496      , array([ 1.05645    ,  0.331943   ,  2.3602     ,  0.474839   ,  0.00749126 ])
7       , -54514.6    , array([ 1.05645    ,  0.331943   ,  2.3602     ,  0.474839   ,  0.00748377 ])
8       , -22537.4    , array([ 0.933017   ,  0.17309    ,  2.3354     ,  0.473388   ,  0.0160333  ])
9       , -22537.4    , array([ 0.933017   ,  0.17309    ,  2.3354     ,  0.473388   ,  0.0160333  ])
10      , -22539.4    , array([ 0.93395    ,  0.17309    ,  2.3354     ,  0.473388   ,  0.0160333  ])
11      , -22561      , array([ 0.933017   ,  0.173263   ,  2.3354     ,  0.473388   ,  0.0160333  ])
12      , -22538.1    , array([ 0.933017   ,  0.17309    ,  2.33774    ,  0.473388   ,  0.0160333  ])
13      , -22537.6    , array([ 0.933017   ,  0.17309    ,  2.3354     ,  0.473861   ,  0.0160333  ])
14      , -22512.9    , array([ 0.933017   ,  0.17309    ,  2.3354     ,  0.473388   ,  0.0160494  ])
15      , -127106     , array([ 0.567614   ,  0.0127968  ,  2.23879    ,  0.467627   ,  0.337782   ])
16      , -127106     , array([ 0.567614   ,  0.0127968  ,  2.23879    ,  0.467627   ,  0.337782   ])
17      , -127108     , array([ 0.568182   ,  0.0127968  ,  2.23879    ,  0.467627   ,  0.337782   ])
18      , -127064     , array([ 0.567614   ,  0.0128096  ,  2.23879    ,  0.467627   ,  0.337782   ])
19      , -127101     , array([ 0.567614   ,  0.0127968  ,  2.24103    ,  0.467627   ,  0.337782   ])
20      , -127076     , array([ 0.567614   ,  0.0127968  ,  2.23879    ,  0.468095   ,  0.337782   ])
21      , -127105     , array([ 0.567614   ,  0.0127968  ,  2.23879    ,  0.467627   ,  0.33812    ])
22      , -4783.86    , array([ 0.860967   ,  0.113592   ,  2.3195     ,  0.472451   ,  0.0262462  ])
23      , -4783.86    , array([ 0.860967   ,  0.113592   ,  2.3195     ,  0.472451   ,  0.0262462  ])
24      , -4783.9     , array([ 0.861828   ,  0.113592   ,  2.3195     ,  0.472451   ,  0.0262462  ])
25      , -4796.28    , array([ 0.860967   ,  0.113706   ,  2.3195     ,  0.472451   ,  0.0262462  ])
26      , -4784.24    , array([ 0.860967   ,  0.113592   ,  2.32182    ,  0.472451   ,  0.0262462  ])
27      , -4784.07    , array([ 0.860967   ,  0.113592   ,  2.3195     ,  0.472924   ,  0.0262462  ])
28      , -4772.09    , array([ 0.860967   ,  0.113592   ,  2.3195     ,  0.472451   ,  0.0262724  ])
36      , -4767.09    , array([ 0.862142   ,  0.11342    ,  2.31915    ,  0.472399   ,  0.0262415  ])
37      , -4767.09    , array([ 0.862142   ,  0.11342    ,  2.31915    ,  0.472399   ,  0.0262415  ])
38      , -4767.12    , array([ 0.863005   ,  0.11342    ,  2.31915    ,  0.472399   ,  0.0262415  ])
39      , -4779.47    , array([ 0.862142   ,  0.113533   ,  2.31915    ,  0.472399   ,  0.0262415  ])
40      , -4767.47    , array([ 0.862142   ,  0.11342    ,  2.32147    ,  0.472399   ,  0.0262415  ])
41      , -4767.29    , array([ 0.862142   ,  0.11342    ,  2.31915    ,  0.472872   ,  0.0262415  ])
42      , -4755.34    , array([ 0.862142   ,  0.11342    ,  2.31915    ,  0.472399   ,  0.0262678  ])
43      , -1886.95    , array([ 1.63336    ,  0.0556876  ,  2.16076    ,  0.448512   ,  0.0241629  ])
44      , -1886.95    , array([ 1.63336    ,  0.0556876  ,  2.16076    ,  0.448512   ,  0.0241629  ])
45      , -1887.08    , array([ 1.63499    ,  0.0556876  ,  2.16076    ,  0.448512   ,  0.0241629  ])
46      , -1882.51    , array([ 1.63336    ,  0.0557433  ,  2.16076    ,  0.448512   ,  0.0241629  ])
47      , -1886.82    , array([ 1.63336    ,  0.0556876  ,  2.16292    ,  0.448512   ,  0.0241629  ])
48      , -1886.85    , array([ 1.63336    ,  0.0556876  ,  2.16076    ,  0.448961   ,  0.0241629  ])
49      , -1890.76    , array([ 1.63336    ,  0.0556876  ,  2.16076    ,  0.448512   ,  0.024187   ])
57      , -1886.88    , array([ 1.63395    ,  0.0557039  ,  2.16053    ,  0.448527   ,  0.0241703  ])
58      , -1886.88    , array([ 1.63395    ,  0.0557039  ,  2.16053    ,  0.448527   ,  0.0241703  ])
59      , -1887.01    , array([ 1.63558    ,  0.0557039  ,  2.16053    ,  0.448527   ,  0.0241703  ])
60      , -1882.44    , array([ 1.63395    ,  0.0557596  ,  2.16053    ,  0.448527   ,  0.0241703  ])
61      , -1886.75    , array([ 1.63395    ,  0.0557039  ,  2.1627     ,  0.448527   ,  0.0241703  ])
62      , -1886.79    , array([ 1.63395    ,  0.0557039  ,  2.16053    ,  0.448976   ,  0.0241703  ])
63      , -1890.69    , array([ 1.63395    ,  0.0557039  ,  2.16053    ,  0.448527   ,  0.0241945  ])
64      , -1886.84    , array([ 1.63433    ,  0.0557143  ,  2.16039    ,  0.448537   ,  0.0241751  ])
65      , -1886.84    , array([ 1.63433    ,  0.0557143  ,  2.16039    ,  0.448537   ,  0.0241751  ])
66      , -1886.97    , array([ 1.63596    ,  0.0557143  ,  2.16039    ,  0.448537   ,  0.0241751  ])
67      , -1882.4     , array([ 1.63433    ,  0.0557701  ,  2.16039    ,  0.448537   ,  0.0241751  ])
68      , -1886.71    , array([ 1.63433    ,  0.0557143  ,  2.16255    ,  0.448537   ,  0.0241751  ])
69      , -1886.74    , array([ 1.63433    ,  0.0557143  ,  2.16039    ,  0.448986   ,  0.0241751  ])
70      , -1890.65    , array([ 1.63433    ,  0.0557143  ,  2.16039    ,  0.448537   ,  0.0241993  ])
78      , -1886.82    , array([ 1.63448    ,  0.0557184  ,  2.16033    ,  0.448541   ,  0.024177   ])
79      , -1886.82    , array([ 1.63448    ,  0.0557184  ,  2.16033    ,  0.448541   ,  0.024177   ])
80      , -1886.96    , array([ 1.63611    ,  0.0557184  ,  2.16033    ,  0.448541   ,  0.024177   ])
81      , -1882.38    , array([ 1.63448    ,  0.0557741  ,  2.16033    ,  0.448541   ,  0.024177   ])
82      , -1886.69    , array([ 1.63448    ,  0.0557184  ,  2.1625     ,  0.448541   ,  0.024177   ])
