85047   , -55984.5    , array([ 0.0564481  ,  3.34463    ,  5.68837e-26,  0.0171202  ,  0.00318725 ])
85048   , -54039.8    , array([ 0.0371807  ,  3.22505    ,  5.68837e-26,  0.0171201  ,  0.00503232 ])
85049   , -54039.8    , array([ 0.0371807  ,  3.22505    ,  5.68837e-26,  0.0171201  ,  0.00503232 ])
85050   , -54031.2    , array([ 0.0372179  ,  3.22505    ,  5.68837e-26,  0.0171201  ,  0.00503232 ])
85051   , -54040.5    , array([ 0.0371807  ,  3.22828    ,  5.68837e-26,  0.0171201  ,  0.00503232 ])
85052   , -54039.8    , array([ 0.0371807  ,  3.22505    ,  5.69406e-26,  0.0171201  ,  0.00503232 ])
85053   , -54039.8    , array([ 0.0371807  ,  3.22505    ,  5.68837e-26,  0.0171372  ,  0.00503232 ])
85054   , -54045.8    , array([ 0.0371807  ,  3.22505    ,  5.68837e-26,  0.0171201  ,  0.00503736 ])
85055   , -53166.8    , array([ 0.0449313  ,  3.27874    ,  5.68837e-26,  0.0171201  ,  0.00408904 ])
85056   , -53166.8    , array([ 0.0449313  ,  3.27874    ,  5.68837e-26,  0.0171201  ,  0.00408904 ])
85057   , -53168.1    , array([ 0.0449762  ,  3.27874    ,  5.68837e-26,  0.0171201  ,  0.00408904 ])
85058   , -53167.5    , array([ 0.0449313  ,  3.28202    ,  5.68837e-26,  0.0171201  ,  0.00408904 ])
85059   , -53166.8    , array([ 0.0449313  ,  3.27874    ,  5.69406e-26,  0.0171201  ,  0.00408904 ])
85060   , -53166.8    , array([ 0.0449313  ,  3.27874    ,  5.68837e-26,  0.0171373  ,  0.00408904 ])
85061   , -53163.7    , array([ 0.0449313  ,  3.27874    ,  5.68837e-26,  0.0171201  ,  0.00409313 ])
85069   , -53163.2    , array([ 0.0449177  ,  3.27785    ,  5.68837e-26,  0.0171201  ,  0.00409312 ])
85070   , -53163.2    , array([ 0.0449177  ,  3.27785    ,  5.68837e-26,  0.0171201  ,  0.00409312 ])
85071   , -53164.4    , array([ 0.0449627  ,  3.27785    ,  5.68837e-26,  0.0171201  ,  0.00409312 ])
85072   , -53163.9    , array([ 0.0449177  ,  3.28112    ,  5.68837e-26,  0.0171201  ,  0.00409312 ])
85073   , -53163.2    , array([ 0.0449177  ,  3.27785    ,  5.69406e-26,  0.0171201  ,  0.00409312 ])
85074   , -53163.2    , array([ 0.0449177  ,  3.27785    ,  5.68837e-26,  0.0171372  ,  0.00409312 ])
85075   , -53160.2    , array([ 0.0449177  ,  3.27785    ,  5.68837e-26,  0.0171201  ,  0.00409721 ])
85076   , -53131.4    , array([ 0.0447925  ,  3.2696     ,  5.68837e-26,  0.01712    ,  0.00413105 ])
85077   , -53131.4    , array([ 0.0447925  ,  3.2696     ,  5.68837e-26,  0.01712    ,  0.00413105 ])
85078   , -53132.5    , array([ 0.0448374  ,  3.2696     ,  5.68837e-26,  0.01712    ,  0.00413105 ])
85079   , -53132.1    , array([ 0.0447925  ,  3.27287    ,  5.68837e-26,  0.01712    ,  0.00413105 ])
85080   , -53131.4    , array([ 0.0447925  ,  3.2696     ,  5.69406e-26,  0.01712    ,  0.00413105 ])
