319     , -54455.2    , array([ 0.0153056  ,  0.517837   ,  0.00838695 ,  0.0424742  ])
320     , -54455.6    , array([ 0.015321   ,  0.517837   ,  0.00838695 ,  0.0424742  ])
321     , -54454.7    , array([ 0.0153056  ,  0.518355   ,  0.00838695 ,  0.0424742  ])
322     , -54454.9    , array([ 0.0153056  ,  0.517837   ,  0.00839534 ,  0.0424742  ])
323     , -54456.1    , array([ 0.0153056  ,  0.517837   ,  0.00838695 ,  0.0425167  ])
324     , -54455.2    , array([ 0.0153056  ,  0.517837   ,  0.00838695 ,  0.0424742  ])
325     , -53783      , array([ 0.0110248  ,  0.800646   ,  0.0109784  ,  0.0189655  ])
326     , -53783      , array([ 0.0110248  ,  0.800646   ,  0.0109784  ,  0.0189655  ])
327     , -53783.2    , array([ 0.0110358  ,  0.800646   ,  0.0109784  ,  0.0189655  ])
328     , -53782.7    , array([ 0.0110248  ,  0.801447   ,  0.0109784  ,  0.0189655  ])
329     , -53783      , array([ 0.0110248  ,  0.800646   ,  0.0109894  ,  0.0189655  ])
330     , -53782.9    , array([ 0.0110248  ,  0.800646   ,  0.0109784  ,  0.0189845  ])
331     , -111168     , array([ 0.00387815 ,  13.8815    ,  0.0195127  ,  0.0393925  ])
332     , -111168     , array([ 0.00387815 ,  13.8815    ,  0.0195127  ,  0.0393925  ])
333     , -111077     , array([ 0.00388203 ,  13.8815    ,  0.0195127  ,  0.0393925  ])
334     , -111169     , array([ 0.00387815 ,  13.8954    ,  0.0195127  ,  0.0393925  ])
335     , -111251     , array([ 0.00387815 ,  13.8815    ,  0.0195323  ,  0.0393925  ])
336     , -111191     , array([ 0.00387815 ,  13.8815    ,  0.0195127  ,  0.0394319  ])
337     , -53751.8    , array([ 0.0107161  ,  0.865208   ,  0.0111514  ,  0.0193461  ])
338     , -53751.8    , array([ 0.0107161  ,  0.865208   ,  0.0111514  ,  0.0193461  ])
339     , -53751.8    , array([ 0.0107268  ,  0.865208   ,  0.0111514  ,  0.0193461  ])
340     , -53751.4    , array([ 0.0107161  ,  0.866074   ,  0.0111514  ,  0.0193461  ])
341     , -53751.9    , array([ 0.0107161  ,  0.865208   ,  0.0111626  ,  0.0193461  ])
342     , -53751.8    , array([ 0.0107161  ,  0.865208   ,  0.0111514  ,  0.0193655  ])
343     , -53693.5    , array([ 0.0107791  ,  1.02767    ,  0.0107165  ,  0.0195571  ])
344     , -53693.5    , array([ 0.0107791  ,  1.02767    ,  0.0107165  ,  0.0195571  ])
345     , -53693.6    , array([ 0.0107898  ,  1.02767    ,  0.0107165  ,  0.0195571  ])
346     , -53693.2    , array([ 0.0107791  ,  1.02869    ,  0.0107165  ,  0.0195571  ])
347     , -53693.5    , array([ 0.0107791  ,  1.02767    ,  0.0107272  ,  0.0195571  ])
348     , -53693.4    , array([ 0.0107791  ,  1.02767    ,  0.0107165  ,  0.0195767  ])
349     , -53619.7    , array([ 0.00278685 ,  1.11321    ,  0.00281335 ,  0.0201467  ])
350     , -53619.7    , array([ 0.00278685 ,  1.11321    ,  0.00281335 ,  0.0201467  ])
351     , -53619.6    , array([ 0.00278964 ,  1.11321    ,  0.00281335 ,  0.0201467  ])
352     , -53619.4    , array([ 0.00278685 ,  1.11433    ,  0.00281335 ,  0.0201467  ])
353     , -53619.7    , array([ 0.00278685 ,  1.11321    ,  0.00281617 ,  0.0201467  ])
354     , -53619.6    , array([ 0.00278685 ,  1.11321    ,  0.00281335 ,  0.0201669  ])
355     , -53494.8    , array([ 0.00228161 ,  1.75491    ,  0.002003   ,  0.0226777  ])
356     , -53494.8    , array([ 0.00228161 ,  1.75491    ,  0.002003   ,  0.0226777  ])
357     , -53494.8    , array([ 0.00228389 ,  1.75491    ,  0.002003   ,  0.0226777  ])
358     , -53494.6    , array([ 0.00228161 ,  1.75666    ,  0.002003   ,  0.0226777  ])
359     , -53494.8    , array([ 0.00228161 ,  1.75491    ,  0.00200501 ,  0.0226777  ])
360     , -53494.7    , array([ 0.00228161 ,  1.75491    ,  0.002003   ,  0.0227004  ])
361     , -53396.8    , array([ 0.0010296  ,  4.53099    ,  0.000722741,  0.0283355  ])
362     , -53396.8    , array([ 0.0010296  ,  4.53099    ,  0.000722741,  0.0283355  ])
363     , -53397.1    , array([ 0.00103063 ,  4.53099    ,  0.000722741,  0.0283355  ])
364     , -53396.7    , array([ 0.0010296  ,  4.53553    ,  0.000722741,  0.0283355  ])
365     , -53396.6    , array([ 0.0010296  ,  4.53099    ,  0.000723464,  0.0283355  ])
366     , -53397      , array([ 0.0010296  ,  4.53099    ,  0.000722741,  0.0283638  ])
373     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
374     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
375     , -53397.1    , array([ 0.00103063 ,  4.531      ,  0.000722741,  0.0283355  ])
376     , -53396.7    , array([ 0.0010296  ,  4.53553    ,  0.000722741,  0.0283355  ])
377     , -53396.6    , array([ 0.0010296  ,  4.531      ,  0.000723464,  0.0283355  ])
378     , -53397      , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283638  ])
385     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
386     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
387     , -53397.1    , array([ 0.00103063 ,  4.531      ,  0.000722741,  0.0283355  ])
388     , -53396.7    , array([ 0.0010296  ,  4.53553    ,  0.000722741,  0.0283355  ])
389     , -53396.6    , array([ 0.0010296  ,  4.531      ,  0.000723464,  0.0283355  ])
390     , -53397      , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283638  ])
397     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
398     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
399     , -53397.1    , array([ 0.00103063 ,  4.531      ,  0.000722741,  0.0283355  ])
400     , -53396.7    , array([ 0.0010296  ,  4.53553    ,  0.000722741,  0.0283355  ])
401     , -53396.6    , array([ 0.0010296  ,  4.531      ,  0.000723464,  0.0283355  ])
402     , -53397      , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283638  ])
409     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
410     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
411     , -53397.1    , array([ 0.00103063 ,  4.531      ,  0.000722741,  0.0283355  ])
412     , -53396.7    , array([ 0.0010296  ,  4.53553    ,  0.000722741,  0.0283355  ])
413     , -53396.6    , array([ 0.0010296  ,  4.531      ,  0.000723464,  0.0283355  ])
414     , -53397      , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283638  ])
421     , -53396.8    , array([ 0.0010296  ,  4.531      ,  0.000722741,  0.0283355  ])
