321733  , -54402.3    , array([ 0.0324977  ,  1.56048    ,  5.57452e-30,  0.00384363 ,  0.00226786 ])
321734  , -54407.7    , array([ 0.0325302  ,  1.56048    ,  5.57452e-30,  0.00384363 ,  0.00226786 ])
321735  , -54403.2    , array([ 0.0324977  ,  1.56205    ,  5.57452e-30,  0.00384363 ,  0.00226786 ])
321736  , -54402.3    , array([ 0.0324977  ,  1.56048    ,  5.58009e-30,  0.00384363 ,  0.00226786 ])
321737  , -54402.3    , array([ 0.0324977  ,  1.56048    ,  5.57452e-30,  0.00384748 ,  0.00226786 ])
321738  , -54395.5    , array([ 0.0324977  ,  1.56048    ,  5.57452e-30,  0.00384363 ,  0.00227013 ])
321739  , -54402.3    , array([ 0.0324977  ,  1.56048    ,  5.57452e-30,  0.00384363 ,  0.00226786 ])
321740  , -69361.5    , array([ 0.0173884  ,  1.40625    ,  5.57452e-30,  0.00384352 ,  0.00497827 ])
321741  , -69361.5    , array([ 0.0173884  ,  1.40625    ,  5.57452e-30,  0.00384352 ,  0.00497827 ])
321742  , -69325.5    , array([ 0.0174058  ,  1.40625    ,  5.57452e-30,  0.00384352 ,  0.00497827 ])
321743  , -69363      , array([ 0.0173884  ,  1.40766    ,  5.57452e-30,  0.00384352 ,  0.00497827 ])
321744  , -69361.5    , array([ 0.0173884  ,  1.40625    ,  5.58009e-30,  0.00384352 ,  0.00497827 ])
321745  , -69361.5    , array([ 0.0173884  ,  1.40625    ,  5.57452e-30,  0.00384737 ,  0.00497827 ])
321746  , -69393      , array([ 0.0173884  ,  1.40625    ,  5.57452e-30,  0.00384352 ,  0.00498325 ])
321747  , -53229.1    , array([ 0.0284515  ,  1.52633    ,  5.57452e-30,  0.00384361 ,  0.00268052 ])
321748  , -53229.1    , array([ 0.0284515  ,  1.52633    ,  5.57452e-30,  0.00384361 ,  0.00268052 ])
321749  , -53229.3    , array([ 0.02848    ,  1.52633    ,  5.57452e-30,  0.00384361 ,  0.00268052 ])
321750  , -53230.1    , array([ 0.0284515  ,  1.52786    ,  5.57452e-30,  0.00384361 ,  0.00268052 ])
321751  , -53229.1    , array([ 0.0284515  ,  1.52633    ,  5.58009e-30,  0.00384361 ,  0.00268052 ])
321752  , -53229.1    , array([ 0.0284515  ,  1.52633    ,  5.57452e-30,  0.00384745 ,  0.00268052 ])
321753  , -53227.3    , array([ 0.0284515  ,  1.52633    ,  5.57452e-30,  0.00384361 ,  0.00268321 ])
321754  , -47930.1    , array([ 0.0623398  ,  0.60751    ,  5.57452e-30,  0.0038424  ,  0.00627403 ])
321755  , -47930.1    , array([ 0.0623398  ,  0.60751    ,  5.57452e-30,  0.0038424  ,  0.00627403 ])
