95893   , -55816.1    , array([ 0.544606   ,  0.0160642  ,  0.00029754 ,  1.8732e-28 ,  0.000390782])
95894   , -55816.4    , array([ 0.545151   ,  0.0160642  ,  0.00029754 ,  1.8732e-28 ,  0.000390782])
95895   , -55834.3    , array([ 0.544606   ,  0.0160803  ,  0.00029754 ,  1.8732e-28 ,  0.000390782])
95896   , -55816.1    , array([ 0.544606   ,  0.0160642  ,  0.000297837,  1.8732e-28 ,  0.000390782])
95897   , -55816.1    , array([ 0.544606   ,  0.0160642  ,  0.00029754 ,  1.87507e-28,  0.000390782])
95898   , -55797.6    , array([ 0.544606   ,  0.0160642  ,  0.00029754 ,  1.8732e-28 ,  0.000391173])
95899   , -55816.1    , array([ 0.544606   ,  0.0160642  ,  0.00029754 ,  1.8732e-28 ,  0.000390782])
95900   , -21407.4    , array([ 0.537346   ,  0.00792096 ,  0.00029754 ,  1.8732e-28 ,  0.000803703])
95901   , -21407.4    , array([ 0.537346   ,  0.00792096 ,  0.00029754 ,  1.8732e-28 ,  0.000803703])
95902   , -21407.6    , array([ 0.537883   ,  0.00792096 ,  0.00029754 ,  1.8732e-28 ,  0.000803703])
95903   , -21432.9    , array([ 0.537346   ,  0.00792888 ,  0.00029754 ,  1.8732e-28 ,  0.000803703])
95904   , -21407.4    , array([ 0.537346   ,  0.00792096 ,  0.000297837,  1.8732e-28 ,  0.000803703])
95905   , -21407.4    , array([ 0.537346   ,  0.00792096 ,  0.00029754 ,  1.87507e-28,  0.000803703])
95906   , -21381.7    , array([ 0.537346   ,  0.00792096 ,  0.00029754 ,  1.8732e-28 ,  0.000804507])
95914   , -21371.8    , array([ 0.537339   ,  0.0079155  ,  0.00029754 ,  1.8732e-28 ,  0.000804267])
95915   , -21371.8    , array([ 0.537339   ,  0.0079155  ,  0.00029754 ,  1.8732e-28 ,  0.000804267])
95916   , -21372      , array([ 0.537876   ,  0.0079155  ,  0.00029754 ,  1.8732e-28 ,  0.000804267])
95917   , -21397.3    , array([ 0.537339   ,  0.00792342 ,  0.00029754 ,  1.8732e-28 ,  0.000804267])
95918   , -21371.8    , array([ 0.537339   ,  0.0079155  ,  0.000297837,  1.8732e-28 ,  0.000804267])
95919   , -21371.8    , array([ 0.537339   ,  0.0079155  ,  0.00029754 ,  1.87507e-28,  0.000804267])
95920   , -21346.1    , array([ 0.537339   ,  0.0079155  ,  0.00029754 ,  1.8732e-28 ,  0.000805072])
95921   , -15256.6    , array([ 0.536078   ,  0.00699393 ,  0.00029754 ,  1.8732e-28 ,  0.000912477])
95922   , -15256.6    , array([ 0.536078   ,  0.00699393 ,  0.00029754 ,  1.8732e-28 ,  0.000912477])
95923   , -15256.8    , array([ 0.536614   ,  0.00699393 ,  0.00029754 ,  1.8732e-28 ,  0.000912477])
95924   , -15279.6    , array([ 0.536078   ,  0.00700093 ,  0.00029754 ,  1.8732e-28 ,  0.000912477])
95925   , -15256.6    , array([ 0.536078   ,  0.00699393 ,  0.000297837,  1.8732e-28 ,  0.000912477])
95926   , -15256.6    , array([ 0.536078   ,  0.00699393 ,  0.00029754 ,  1.87507e-28,  0.000912477])
95927   , -15233.4    , array([ 0.536078   ,  0.00699393 ,  0.00029754 ,  1.8732e-28 ,  0.00091339 ])
95928   , -61069.4    , array([ 0.522497   ,  0.00180961 ,  0.00029754 ,  1.8732e-28 ,  0.00362226 ])
95929   , -61069.4    , array([ 0.522497   ,  0.00180961 ,  0.00029754 ,  1.8732e-28 ,  0.00362226 ])
95930   , -61069.5    , array([ 0.52302    ,  0.00180961 ,  0.00029754 ,  1.8732e-28 ,  0.00362226 ])
95931   , -60992.1    , array([ 0.522497   ,  0.00181142 ,  0.00029754 ,  1.8732e-28 ,  0.00362226 ])
95932   , -61069.4    , array([ 0.522497   ,  0.00180961 ,  0.000297837,  1.8732e-28 ,  0.00362226 ])
95933   , -61069.4    , array([ 0.522497   ,  0.00180961 ,  0.00029754 ,  1.87507e-28,  0.00362226 ])
95934   , -61144.9    , array([ 0.522497   ,  0.00180961 ,  0.00029754 ,  1.8732e-28 ,  0.00362589 ])
95935   , -2602.9     , array([ 0.531554   ,  0.00447508 ,  0.00029754 ,  1.8732e-28 ,  0.00143874 ])
95936   , -2602.9     , array([ 0.531554   ,  0.00447508 ,  0.00029754 ,  1.8732e-28 ,  0.00143874 ])
95937   , -2602.95    , array([ 0.532085   ,  0.00447508 ,  0.00029754 ,  1.8732e-28 ,  0.00143874 ])
95938   , -2605.09    , array([ 0.531554   ,  0.00447956 ,  0.00029754 ,  1.8732e-28 ,  0.00143874 ])
95939   , -2602.9     , array([ 0.531554   ,  0.00447508 ,  0.000297837,  1.8732e-28 ,  0.00143874 ])
95940   , -2602.9     , array([ 0.531554   ,  0.00447508 ,  0.00029754 ,  1.87507e-28,  0.00143874 ])
95941   , -2600.57    , array([ 0.531554   ,  0.00447508 ,  0.00029754 ,  1.8732e-28 ,  0.00144018 ])
95949   , -2602.81    , array([ 0.531508   ,  0.00447764 ,  0.00029754 ,  1.8732e-28 ,  0.00143955 ])
95950   , -2602.81    , array([ 0.531508   ,  0.00447764 ,  0.00029754 ,  1.8732e-28 ,  0.00143955 ])
95951   , -2602.86    , array([ 0.53204    ,  0.00447764 ,  0.00029754 ,  1.8732e-28 ,  0.00143955 ])
95952   , -2605       , array([ 0.531508   ,  0.00448212 ,  0.00029754 ,  1.8732e-28 ,  0.00143955 ])
95953   , -2602.81    , array([ 0.531508   ,  0.00447764 ,  0.000297837,  1.8732e-28 ,  0.00143955 ])
95954   , -2602.81    , array([ 0.531508   ,  0.00447764 ,  0.00029754 ,  1.87507e-28,  0.00143955 ])
95955   , -2600.48    , array([ 0.531508   ,  0.00447764 ,  0.00029754 ,  1.8732e-28 ,  0.00144099 ])
95956   , -2602.72    , array([ 0.531463   ,  0.0044802  ,  0.00029754 ,  1.8732e-28 ,  0.00144037 ])
95957   , -2602.72    , array([ 0.531463   ,  0.0044802  ,  0.00029754 ,  1.8732e-28 ,  0.00144037 ])
