5904    , -2358.31    , array([ 4.27653    ,  0.445127   ,  0.00143526 ,  7.4438e-15 ])
5905    , -2358.31    , array([ 4.28081    ,  0.445127   ,  0.00143526 ,  7.4438e-15 ])
5906    , -2358.31    , array([ 4.27653    ,  0.445573   ,  0.00143526 ,  7.4438e-15 ])
5907    , -2358.33    , array([ 4.27653    ,  0.445127   ,  0.0014367  ,  7.4438e-15 ])
5908    , -2358.31    , array([ 4.27653    ,  0.445127   ,  0.00143526 ,  7.45124e-15])
5909    , -2358.31    , array([ 4.27653    ,  0.445127   ,  0.00143526 ,  7.4438e-15 ])
5910    , -2344.05    , array([ 3.1858     ,  0.445127   ,  0.000546192,  7.4438e-15 ])
5911    , -2344.05    , array([ 3.1858     ,  0.445127   ,  0.000546192,  7.4438e-15 ])
5912    , -2344.05    , array([ 3.18899    ,  0.445127   ,  0.000546192,  7.4438e-15 ])
5913    , -2344.05    , array([ 3.1858     ,  0.445573   ,  0.000546192,  7.4438e-15 ])
5914    , -2344.06    , array([ 3.1858     ,  0.445127   ,  0.000546739,  7.4438e-15 ])
5915    , -2344.05    , array([ 3.1858     ,  0.445127   ,  0.000546192,  7.45124e-15])
5916    , -2329.63    , array([ 0.555949   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5917    , -2329.63    , array([ 0.555949   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5918    , -2329.65    , array([ 0.556505   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5919    , -2329.63    , array([ 0.555949   ,  0.445573   ,  0.000469752,  7.4438e-15 ])
5920    , -2329.63    , array([ 0.555949   ,  0.445127   ,  0.000470222,  7.4438e-15 ])
5921    , -2329.63    , array([ 0.555949   ,  0.445127   ,  0.000469752,  7.45124e-15])
5928    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5929    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5930    , -2329.65    , array([ 0.556505   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5931    , -2329.63    , array([ 0.555948   ,  0.445573   ,  0.000469752,  7.4438e-15 ])
5932    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000470222,  7.4438e-15 ])
5933    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000469752,  7.45124e-15])
5934    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5935    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5936    , -2329.65    , array([ 0.556504   ,  0.445127   ,  0.000469752,  7.4438e-15 ])
5937    , -2329.63    , array([ 0.555948   ,  0.445573   ,  0.000469752,  7.4438e-15 ])
5938    , -2329.63    , array([ 0.555948   ,  0.445127   ,  0.000470222,  7.4438e-15 ])
