142783  , -2219.18    , array([ 3.71596    ,  0.0182008  ,  8.55036e-43,  1.04359e-53,  0.00617858 ])
142784  , -2219.18    , array([ 3.71596    ,  0.0182008  ,  8.55036e-43,  1.04359e-53,  0.00617858 ])
142785  , -2219.22    , array([ 3.71968    ,  0.0182008  ,  8.55036e-43,  1.04359e-53,  0.00617858 ])
142786  , -2220.16    , array([ 3.71596    ,  0.018219   ,  8.55036e-43,  1.04359e-53,  0.00617858 ])
142787  , -2219.18    , array([ 3.71596    ,  0.0182008  ,  8.55891e-43,  1.04359e-53,  0.00617858 ])
142788  , -2219.18    , array([ 3.71596    ,  0.0182008  ,  8.55036e-43,  1.04464e-53,  0.00617858 ])
142789  , -2217.87    , array([ 3.71596    ,  0.0182008  ,  8.55036e-43,  1.04359e-53,  0.00618476 ])
142790  , -1757.95    , array([ 2.93112    ,  0.0672347  ,  8.55036e-43,  1.04359e-53,  0.0229327  ])
142791  , -1757.95    , array([ 2.93112    ,  0.0672347  ,  8.55036e-43,  1.04359e-53,  0.0229327  ])
142792  , -1758.11    , array([ 2.93405    ,  0.0672347  ,  8.55036e-43,  1.04359e-53,  0.0229327  ])
142793  , -1759.6     , array([ 2.93112    ,  0.067302   ,  8.55036e-43,  1.04359e-53,  0.0229327  ])
142794  , -1757.95    , array([ 2.93112    ,  0.0672347  ,  8.55891e-43,  1.04359e-53,  0.0229327  ])
142795  , -1757.95    , array([ 2.93112    ,  0.0672347  ,  8.55036e-43,  1.04464e-53,  0.0229327  ])
142796  , -1756.29    , array([ 2.93112    ,  0.0672347  ,  8.55036e-43,  1.04359e-53,  0.0229557  ])
142797  , -1755.64    , array([ 2.9026     ,  0.0709553  ,  8.55036e-43,  1.04359e-53,  0.0242065  ])
142798  , -1755.64    , array([ 2.9026     ,  0.0709553  ,  8.55036e-43,  1.04359e-53,  0.0242065  ])
142799  , -1755.81    , array([ 2.9055     ,  0.0709553  ,  8.55036e-43,  1.04359e-53,  0.0242065  ])
142800  , -1757.32    , array([ 2.9026     ,  0.0710263  ,  8.55036e-43,  1.04359e-53,  0.0242065  ])
142801  , -1755.64    , array([ 2.9026     ,  0.0709553  ,  8.55891e-43,  1.04359e-53,  0.0242065  ])
142802  , -1755.64    , array([ 2.9026     ,  0.0709553  ,  8.55036e-43,  1.04464e-53,  0.0242065  ])
142803  , -1754.01    , array([ 2.9026     ,  0.0709553  ,  8.55036e-43,  1.04359e-53,  0.0242308  ])
