11167   , -2336.79    , array([ 0.100736   ,  0.0571258  ,  1.0928e-07 ,  2.3819e-19 ])
11168   , -2336.79    , array([ 0.100837   ,  0.0571258  ,  1.0928e-07 ,  2.3819e-19 ])
11169   , -2336.79    , array([ 0.100736   ,  0.057183   ,  1.0928e-07 ,  2.3819e-19 ])
11170   , -2336.79    , array([ 0.100736   ,  0.0571258  ,  1.09389e-07,  2.3819e-19 ])
11171   , -2336.79    , array([ 0.100736   ,  0.0571258  ,  1.0928e-07 ,  2.38428e-19])
11172   , -2336.79    , array([ 0.100736   ,  0.0571258  ,  1.0928e-07 ,  2.3819e-19 ])
11173   , -2336.78    , array([ 0.0986595  ,  0.0571258  ,  1.11348e-07,  2.3819e-19 ])
11174   , -2336.78    , array([ 0.0986595  ,  0.0571258  ,  1.11348e-07,  2.3819e-19 ])
11175   , -2336.78    , array([ 0.0987582  ,  0.0571258  ,  1.11348e-07,  2.3819e-19 ])
11176   , -2336.78    , array([ 0.0986595  ,  0.057183   ,  1.11348e-07,  2.3819e-19 ])
11177   , -2336.78    , array([ 0.0986595  ,  0.0571258  ,  1.11459e-07,  2.3819e-19 ])
11178   , -2336.78    , array([ 0.0986595  ,  0.0571258  ,  1.11348e-07,  2.38428e-19])
11179   , -2336.78    , array([ 0.0907718  ,  0.0571258  ,  1.20021e-07,  2.3819e-19 ])
11180   , -2336.78    , array([ 0.0907718  ,  0.0571258  ,  1.20021e-07,  2.3819e-19 ])
11181   , -2336.78    , array([ 0.0908626  ,  0.0571258  ,  1.20021e-07,  2.3819e-19 ])
11182   , -2336.78    , array([ 0.0907718  ,  0.057183   ,  1.20021e-07,  2.3819e-19 ])
11183   , -2336.78    , array([ 0.0907718  ,  0.0571258  ,  1.20141e-07,  2.3819e-19 ])
11184   , -2336.78    , array([ 0.0907718  ,  0.0571258  ,  1.20021e-07,  2.38428e-19])
11185   , -2336.76    , array([ 0.0650427  ,  0.0571258  ,  1.62016e-07,  2.3819e-19 ])
11186   , -2336.76    , array([ 0.0650427  ,  0.0571258  ,  1.62016e-07,  2.3819e-19 ])
11187   , -2336.76    , array([ 0.0651078  ,  0.0571258  ,  1.62016e-07,  2.3819e-19 ])
11188   , -2336.76    , array([ 0.0650427  ,  0.057183   ,  1.62016e-07,  2.3819e-19 ])
11189   , -2336.76    , array([ 0.0650427  ,  0.0571258  ,  1.62179e-07,  2.3819e-19 ])
11190   , -2336.76    , array([ 0.0650427  ,  0.0571258  ,  1.62016e-07,  2.38428e-19])
11191   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11192   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11193   , -2336.21    , array([ 0.0171642  ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11194   , -2336.21    , array([ 0.017147   ,  0.057183   ,  5.37977e-07,  2.3819e-19 ])
11195   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.38515e-07,  2.3819e-19 ])
11196   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.38428e-19])
11203   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11204   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11205   , -2336.21    , array([ 0.0171642  ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11206   , -2336.21    , array([ 0.017147   ,  0.057183   ,  5.37977e-07,  2.3819e-19 ])
11207   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.38516e-07,  2.3819e-19 ])
11208   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.38428e-19])
11209   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11210   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11211   , -2336.21    , array([ 0.0171642  ,  0.0571258  ,  5.37977e-07,  2.3819e-19 ])
11212   , -2336.21    , array([ 0.017147   ,  0.057183   ,  5.37977e-07,  2.3819e-19 ])
11213   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.38516e-07,  2.3819e-19 ])
11214   , -2336.21    , array([ 0.017147   ,  0.0571258  ,  5.37977e-07,  2.38428e-19])
11215   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93162e-06,  2.3819e-19 ])
11216   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93162e-06,  2.3819e-19 ])
11217   , -2248.29    , array([ 0.0011929  ,  0.0571258  ,  5.93162e-06,  2.3819e-19 ])
11218   , -2248.2     , array([ 0.0011917  ,  0.057183   ,  5.93162e-06,  2.3819e-19 ])
11219   , -2248.12    , array([ 0.0011917  ,  0.0571258  ,  5.93756e-06,  2.3819e-19 ])
11220   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93162e-06,  2.38428e-19])
11221   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93163e-06,  2.3819e-19 ])
11222   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93163e-06,  2.3819e-19 ])
11223   , -2248.29    , array([ 0.00119289 ,  0.0571258  ,  5.93163e-06,  2.3819e-19 ])
11224   , -2248.2     , array([ 0.0011917  ,  0.057183   ,  5.93163e-06,  2.3819e-19 ])
11225   , -2248.12    , array([ 0.0011917  ,  0.0571258  ,  5.93757e-06,  2.3819e-19 ])
11226   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93163e-06,  2.38428e-19])
11227   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93164e-06,  2.3819e-19 ])
11228   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93164e-06,  2.3819e-19 ])
11229   , -2248.28    , array([ 0.00119289 ,  0.0571258  ,  5.93164e-06,  2.3819e-19 ])
11230   , -2248.2     , array([ 0.0011917  ,  0.057183   ,  5.93164e-06,  2.3819e-19 ])
11231   , -2248.12    , array([ 0.0011917  ,  0.0571258  ,  5.93758e-06,  2.3819e-19 ])
11232   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93164e-06,  2.38428e-19])
11239   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93165e-06,  2.3819e-19 ])
11240   , -2248.2     , array([ 0.0011917  ,  0.0571258  ,  5.93165e-06,  2.3819e-19 ])
