209349  , -81846.5    , array([ 1.18256    ,  2.10997    ,  4.39216e-05,  1.35568e-15,  1.10978    ])
209350  , -81796.7    , array([ 1.18374    ,  2.10997    ,  4.39216e-05,  1.35568e-15,  1.10978    ])
209351  , -81850      , array([ 1.18256    ,  2.11209    ,  4.39216e-05,  1.35568e-15,  1.10978    ])
209352  , -81846.5    , array([ 1.18256    ,  2.10997    ,  4.39655e-05,  1.35568e-15,  1.10978    ])
209353  , -81846.5    , array([ 1.18256    ,  2.10997    ,  4.39216e-05,  1.35703e-15,  1.10978    ])
209354  , -81915.5    , array([ 1.18256    ,  2.10997    ,  4.39216e-05,  1.35568e-15,  1.11089    ])
209355  , -81846.5    , array([ 1.18256    ,  2.10997    ,  4.39216e-05,  1.35568e-15,  1.10978    ])
209356  , -29806.3    , array([ 2.13508    ,  2.02442    ,  4.39292e-05,  1.35568e-15,  0.489705   ])
209357  , -29806.3    , array([ 2.13508    ,  2.02442    ,  4.39292e-05,  1.35568e-15,  0.489705   ])
209358  , -29794.8    , array([ 2.13722    ,  2.02442    ,  4.39292e-05,  1.35568e-15,  0.489705   ])
209359  , -29815.5    , array([ 2.13508    ,  2.02645    ,  4.39292e-05,  1.35568e-15,  0.489705   ])
209360  , -29806.3    , array([ 2.13508    ,  2.02442    ,  4.39732e-05,  1.35568e-15,  0.489705   ])
209361  , -29806.3    , array([ 2.13508    ,  2.02442    ,  4.39292e-05,  1.35703e-15,  0.489705   ])
209362  , -29826.4    , array([ 2.13508    ,  2.02442    ,  4.39292e-05,  1.35568e-15,  0.490195   ])
209370  , -29787.9    , array([ 2.13449    ,  2.02141    ,  4.39292e-05,  1.35568e-15,  0.489513   ])
209371  , -29787.9    , array([ 2.13449    ,  2.02141    ,  4.39292e-05,  1.35568e-15,  0.489513   ])
209372  , -29776.4    , array([ 2.13663    ,  2.02141    ,  4.39292e-05,  1.35568e-15,  0.489513   ])
209373  , -29797.1    , array([ 2.13449    ,  2.02344    ,  4.39292e-05,  1.35568e-15,  0.489513   ])
209374  , -29787.9    , array([ 2.13449    ,  2.02141    ,  4.39731e-05,  1.35568e-15,  0.489513   ])
209375  , -29787.9    , array([ 2.13449    ,  2.02141    ,  4.39292e-05,  1.35703e-15,  0.489513   ])
209376  , -29808.1    , array([ 2.13449    ,  2.02141    ,  4.39292e-05,  1.35568e-15,  0.490003   ])
209377  , -25900.4    , array([ 1.57334    ,  0.392263   ,  4.39048e-05,  1.35568e-15,  0.31789    ])
209378  , -25900.4    , array([ 1.57334    ,  0.392263   ,  4.39048e-05,  1.35568e-15,  0.31789    ])
209379  , -25892.8    , array([ 1.57491    ,  0.392263   ,  4.39048e-05,  1.35568e-15,  0.31789    ])
209380  , -25880      , array([ 1.57334    ,  0.392655   ,  4.39048e-05,  1.35568e-15,  0.31789    ])
209381  , -25900.4    , array([ 1.57334    ,  0.392263   ,  4.39488e-05,  1.35568e-15,  0.31789    ])
209382  , -25900.4    , array([ 1.57334    ,  0.392263   ,  4.39048e-05,  1.35703e-15,  0.31789    ])
209383  , -25940.2    , array([ 1.57334    ,  0.392263   ,  4.39048e-05,  1.35568e-15,  0.318208   ])
