79638   , -76559.9    , array([ 0.0424067  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79639   , -76559.9    , array([ 0.0424067  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79640   , -78935.9    , array([ 1.04241    ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79642   , -76559.9    , array([ 0.0424067  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79644   , -78782.6    , array([ 0.424373   ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79645   , -78572.5    , array([ 0.233372   ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79648   , -78100.9    , array([ 0.115349   ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79650   , -77515      , array([ 0.0702682  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79651   , -75520      , array([ 0.0292511  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79652   , -74290.8    , array([ 0.0211205  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79653   , -72986.3    , array([ 0.0160955  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79654   , -71751.7    , array([ 0.0129899  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79655   , -70703.6    , array([ 0.0110705  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79657   , -71137.4    , array([ 0.0118037  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79658   , -70411.2    , array([ 0.0106174  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79659   , -70193.7    , array([ 0.0102995  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79660   , -70193.7    , array([ 0.0102995  ,  3.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79661   , -70201.9    , array([ 0.0102995  ,  4.60251    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79662   , -70163      , array([ 0.0102995  ,  1.98447    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79664   , -70163      , array([ 0.0102995  ,  1.98447    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79665   , -70093.6    , array([ 0.0102995  ,  0.984472   ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79666   , -69861.9    , array([ 0.0102995  ,  0.366438   ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79668   , -70006.4    , array([ 0.0102995  ,  0.602506   ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79669   , -69618.9    , array([ 0.0102995  ,  0.22054    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79670   , -69199.4    , array([ 0.0102995  ,  0.13037    ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79671   , -68441.8    , array([ 0.0102995  ,  0.074642   ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79672   , -66887.9    , array([ 0.0102995  ,  0.0393633  ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79673   , -66887.9    , array([ 0.0102995  ,  0.0393633  ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79674   , -66889      , array([ 0.0102995  ,  0.0393633  ,  1.87761    ,  8.77271e-24,  0.00013839 ])
79676   , -66887.9    , array([ 0.0102995  ,  0.0393633  ,  0.877606   ,  8.77271e-24,  0.00013839 ])
79677   , -66887.2    , array([ 0.0102995  ,  0.0393633  ,  0.259572   ,  8.77271e-24,  0.00013839 ])
79679   , -66887.6    , array([ 0.0102995  ,  0.0393633  ,  0.568589   ,  8.77271e-24,  0.00013839 ])
79680   , -66887.1    , array([ 0.0102995  ,  0.0393633  ,  0.113674   ,  8.77271e-24,  0.00013839 ])
79681   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.0235036  ,  8.77271e-24,  0.00013839 ])
79683   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.0579455  ,  8.77271e-24,  0.00013839 ])
79684   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  8.77271e-24,  0.00013839 ])
79686   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.0109712  ,  8.77271e-24,  0.00013839 ])
79687   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  8.77271e-24,  0.00013839 ])
79688   , -66888.9    , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  1          ,  0.00013839 ])
79690   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  8.77271e-24,  0.00013839 ])
79692   , -66887.7    , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  0.381966   ,  0.00013839 ])
79693   , -66887.3    , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  0.190983   ,  0.00013839 ])
79696   , -66887.1    , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  0.072949   ,  0.00013839 ])
79698   , -66887      , array([ 0.0102995  ,  0.0393633  ,  0.00221736 ,  0.027864   ,  0.00013839 ])
