17526   , -4800.49    , array([ 16.4046    ,  0.0147051  ,  3.30645e-78,  0.00992019 ])
17527   , -4800.49    , array([ 16.421     ,  0.0147051  ,  3.30645e-78,  0.00992019 ])
17528   , -4796.78    , array([ 16.4046    ,  0.0147198  ,  3.30645e-78,  0.00992019 ])
17529   , -4800.49    , array([ 16.4046    ,  0.0147051  ,  3.30976e-78,  0.00992019 ])
17530   , -4803.51    , array([ 16.4046    ,  0.0147051  ,  3.30645e-78,  0.00993011 ])
17531   , -4800.49    , array([ 16.4046    ,  0.0147051  ,  3.30645e-78,  0.00992019 ])
17532   , -1897.98    , array([ 16.4046    ,  0.0321838  ,  3.30645e-78,  0.00524319 ])
17533   , -1897.98    , array([ 16.4046    ,  0.0321838  ,  3.30645e-78,  0.00524319 ])
17534   , -1897.98    , array([ 16.421     ,  0.0321838  ,  3.30645e-78,  0.00524319 ])
17535   , -1897.33    , array([ 16.4046    ,  0.032216   ,  3.30645e-78,  0.00524319 ])
17536   , -1897.98    , array([ 16.4046    ,  0.0321838  ,  3.30976e-78,  0.00524319 ])
17537   , -1898.5     , array([ 16.4046    ,  0.0321838  ,  3.30645e-78,  0.00524843 ])
17544   , -1897.98    , array([ 16.4046    ,  0.0321839  ,  3.30645e-78,  0.00524321 ])
17545   , -1897.98    , array([ 16.4046    ,  0.0321839  ,  3.30645e-78,  0.00524321 ])
17546   , -1897.98    , array([ 16.421     ,  0.0321839  ,  3.30645e-78,  0.00524321 ])
17547   , -1897.33    , array([ 16.4046    ,  0.0322161  ,  3.30645e-78,  0.00524321 ])
17548   , -1897.98    , array([ 16.4046    ,  0.0321839  ,  3.30976e-78,  0.00524321 ])
17549   , -1898.5     , array([ 16.4046    ,  0.0321839  ,  3.30645e-78,  0.00524846 ])
17550   , -1897.98    , array([ 16.4046    ,  0.032184   ,  3.30645e-78,  0.00524323 ])
17551   , -1897.98    , array([ 16.4046    ,  0.032184   ,  3.30645e-78,  0.00524323 ])
17552   , -1897.98    , array([ 16.421     ,  0.032184   ,  3.30645e-78,  0.00524323 ])
17553   , -1897.33    , array([ 16.4046    ,  0.0322162  ,  3.30645e-78,  0.00524323 ])
17554   , -1897.98    , array([ 16.4046    ,  0.032184   ,  3.30976e-78,  0.00524323 ])
17555   , -1898.5     , array([ 16.4046    ,  0.032184   ,  3.30645e-78,  0.00524848 ])
17556   , -3174.31    , array([ 16.4046    ,  1.24218    ,  3.30645e-78,  0.385434   ])
17557   , -3174.31    , array([ 16.4046    ,  1.24218    ,  3.30645e-78,  0.385434   ])
17558   , -3174.31    , array([ 16.421     ,  1.24218    ,  3.30645e-78,  0.385434   ])
17559   , -3178.45    , array([ 16.4046    ,  1.24343    ,  3.30645e-78,  0.385434   ])
17560   , -3174.31    , array([ 16.4046    ,  1.24218    ,  3.30976e-78,  0.385434   ])
17561   , -3174.55    , array([ 16.4046    ,  1.24218    ,  3.30645e-78,  0.385819   ])
17562   , -1659.28    , array([ 16.4046    ,  0.10662    ,  3.30645e-78,  0.0214557  ])
17563   , -1659.28    , array([ 16.4046    ,  0.10662    ,  3.30645e-78,  0.0214557  ])
17564   , -1659.28    , array([ 16.421     ,  0.10662    ,  3.30645e-78,  0.0214557  ])
17565   , -1658.7     , array([ 16.4046    ,  0.106727   ,  3.30645e-78,  0.0214557  ])
17566   , -1659.28    , array([ 16.4046    ,  0.10662    ,  3.30976e-78,  0.0214557  ])
17567   , -1659.43    , array([ 16.4046    ,  0.10662    ,  3.30645e-78,  0.0214771  ])
17568   , -1071.02    , array([ 16.4046    ,  0.378896   ,  3.30645e-78,  0.0953542  ])
17569   , -1071.02    , array([ 16.4046    ,  0.378896   ,  3.30645e-78,  0.0953542  ])
17570   , -1071.02    , array([ 16.421     ,  0.378896   ,  3.30645e-78,  0.0953542  ])
