1100    , -1290.24    , array([ 0.00225789 ,  0.586865   ,  0.00256101 ,  0.0151672  ])
1101    , -1291.01    , array([ 0.00226015 ,  0.586865   ,  0.00256101 ,  0.0151672  ])
1102    , -1290.07    , array([ 0.00225789 ,  0.587452   ,  0.00256101 ,  0.0151672  ])
1103    , -1289.42    , array([ 0.00225789 ,  0.586865   ,  0.00256357 ,  0.0151672  ])
1104    , -1288.55    , array([ 0.00225789 ,  0.586865   ,  0.00256101 ,  0.0151824  ])
1105    , -1290.24    , array([ 0.00225789 ,  0.586865   ,  0.00256101 ,  0.0151672  ])
1106    , -6786.74    , array([ 0.00153935 ,  0.638229   ,  0.00383737 ,  0.0350741  ])
1107    , -6786.74    , array([ 0.00153935 ,  0.638229   ,  0.00383737 ,  0.0350741  ])
1108    , -6763.47    , array([ 0.00154089 ,  0.638229   ,  0.00383737 ,  0.0350741  ])
1109    , -6790.31    , array([ 0.00153935 ,  0.638867   ,  0.00383737 ,  0.0350741  ])
1110    , -6809.96    , array([ 0.00153935 ,  0.638229   ,  0.00384121 ,  0.0350741  ])
1111    , -6792.6     , array([ 0.00153935 ,  0.638229   ,  0.00383737 ,  0.0351092  ])
1112    , -881.972    , array([ 0.00205125 ,  0.599333   ,  0.0028341  ,  0.0187124  ])
1113    , -881.972    , array([ 0.00205125 ,  0.599333   ,  0.0028341  ,  0.0187124  ])
1114    , -882.169    , array([ 0.0020533  ,  0.599333   ,  0.0028341  ,  0.0187124  ])
1115    , -882.099    , array([ 0.00205125 ,  0.599932   ,  0.0028341  ,  0.0187124  ])
1116    , -881.745    , array([ 0.00205125 ,  0.599333   ,  0.00283693 ,  0.0187124  ])
1117    , -881.091    , array([ 0.00205125 ,  0.599333   ,  0.0028341  ,  0.0187311  ])
1118    , -776.945    , array([ 0.00341969 ,  0.236728   ,  0.00180534 ,  0.052542   ])
1119    , -776.945    , array([ 0.00341969 ,  0.236728   ,  0.00180534 ,  0.052542   ])
1120    , -777.293    , array([ 0.00342312 ,  0.236728   ,  0.00180534 ,  0.052542   ])
1121    , -775.823    , array([ 0.00341969 ,  0.236965   ,  0.00180534 ,  0.052542   ])
1122    , -776.593    , array([ 0.00341969 ,  0.236728   ,  0.00180715 ,  0.052542   ])
1123    , -776.409    , array([ 0.00341969 ,  0.236728   ,  0.00180534 ,  0.0525946  ])
1124    , -597.665    , array([ 0.00264835 ,  0.37671    ,  0.00226209 ,  0.0313519  ])
1125    , -597.665    , array([ 0.00264835 ,  0.37671    ,  0.00226209 ,  0.0313519  ])
1126    , -597.999    , array([ 0.002651   ,  0.37671    ,  0.00226209 ,  0.0313519  ])
1127    , -597.143    , array([ 0.00264835 ,  0.377087   ,  0.00226209 ,  0.0313519  ])
1128    , -597.318    , array([ 0.00264835 ,  0.37671    ,  0.00226436 ,  0.0313519  ])
1129    , -596.703    , array([ 0.00264835 ,  0.37671    ,  0.00226209 ,  0.0313833  ])
1130    , -556.99     , array([ 0.00583088 ,  0.448698   ,  0.00106007 ,  0.0895315  ])
1131    , -556.99     , array([ 0.00583088 ,  0.448698   ,  0.00106007 ,  0.0895315  ])
1132    , -557.419    , array([ 0.00583672 ,  0.448698   ,  0.00106007 ,  0.0895315  ])
1133    , -556.986    , array([ 0.00583088 ,  0.449147   ,  0.00106007 ,  0.0895315  ])
1134    , -556.565    , array([ 0.00583088 ,  0.448698   ,  0.00106113 ,  0.0895315  ])
1135    , -556.841    , array([ 0.00583088 ,  0.448698   ,  0.00106007 ,  0.0896211  ])
1136    , -476.697    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0818325  ])
1137    , -476.697    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0818325  ])
1138    , -477.128    , array([ 0.00375217 ,  0.434794   ,  0.000850714,  0.0818325  ])
1139    , -476.499    , array([ 0.00374842 ,  0.435229   ,  0.000850714,  0.0818325  ])
1140    , -476.268    , array([ 0.00374842 ,  0.434794   ,  0.000851565,  0.0818325  ])
1141    , -476.558    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0819144  ])
1148    , -476.697    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0818325  ])
1149    , -476.697    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0818325  ])
1150    , -477.127    , array([ 0.00375217 ,  0.434794   ,  0.000850714,  0.0818325  ])
1151    , -476.499    , array([ 0.00374842 ,  0.435229   ,  0.000850714,  0.0818325  ])
1152    , -476.268    , array([ 0.00374842 ,  0.434794   ,  0.000851565,  0.0818325  ])
1153    , -476.558    , array([ 0.00374842 ,  0.434794   ,  0.000850714,  0.0819144  ])
1154    , -326.01     , array([ 0.00116754 ,  0.400122   ,  0.000475919,  0.0645407  ])
1155    , -326.01     , array([ 0.00116754 ,  0.400122   ,  0.000475919,  0.0645407  ])
1156    , -326.316    , array([ 0.0011687  ,  0.400122   ,  0.000475919,  0.0645407  ])
1157    , -325.441    , array([ 0.00116754 ,  0.400523   ,  0.000475919,  0.0645407  ])
1158    , -325.704    , array([ 0.00116754 ,  0.400122   ,  0.000476395,  0.0645407  ])
1159    , -325.78     , array([ 0.00116754 ,  0.400122   ,  0.000475919,  0.0646053  ])
1160    , -1644.64    , array([ 0.0194647  ,  0.565821   ,  0.0400695  ,  0.024316   ])
1161    , -1644.64    , array([ 0.0194647  ,  0.565821   ,  0.0400695  ,  0.024316   ])
1162    , -1637.73    , array([ 0.0194842  ,  0.565821   ,  0.0400695  ,  0.024316   ])
1163    , -1645.9     , array([ 0.0194647  ,  0.566387   ,  0.0400695  ,  0.024316   ])
1164    , -1651.21    , array([ 0.0194647  ,  0.565821   ,  0.0401096  ,  0.024316   ])
1165    , -1646.95    , array([ 0.0194647  ,  0.565821   ,  0.0400695  ,  0.0243403  ])
1166    , -265.155    , array([ 0.00276985 ,  0.445038   ,  0.00185633 ,  0.0478267  ])
1167    , -265.155    , array([ 0.00276985 ,  0.445038   ,  0.00185633 ,  0.0478267  ])
1168    , -265.232    , array([ 0.00277262 ,  0.445038   ,  0.00185633 ,  0.0478267  ])
1169    , -264.719    , array([ 0.00276985 ,  0.445483   ,  0.00185633 ,  0.0478267  ])
1170    , -265.075    , array([ 0.00276985 ,  0.445038   ,  0.00185818 ,  0.0478267  ])
1171    , -264.726    , array([ 0.00276985 ,  0.445038   ,  0.00185633 ,  0.0478746  ])
1172    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860437,  0.0557372  ])
1173    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860437,  0.0557372  ])
1174    , -188.507    , array([ 0.00142267 ,  0.484873   ,  0.000860437,  0.0557372  ])
1175    , -188.117    , array([ 0.00142125 ,  0.485358   ,  0.000860437,  0.0557372  ])
1176    , -188.423    , array([ 0.00142125 ,  0.484873   ,  0.000861298,  0.0557372  ])
1177    , -188.243    , array([ 0.00142125 ,  0.484873   ,  0.000860437,  0.0557929  ])
1184    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1185    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1186    , -188.507    , array([ 0.00142267 ,  0.484873   ,  0.000860436,  0.0557372  ])
1187    , -188.117    , array([ 0.00142125 ,  0.485359   ,  0.000860436,  0.0557372  ])
1188    , -188.423    , array([ 0.00142125 ,  0.484873   ,  0.000861297,  0.0557372  ])
1189    , -188.243    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557929  ])
1196    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1197    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1198    , -188.507    , array([ 0.00142267 ,  0.484873   ,  0.000860436,  0.0557372  ])
1199    , -188.117    , array([ 0.00142125 ,  0.485359   ,  0.000860436,  0.0557372  ])
1200    , -188.423    , array([ 0.00142125 ,  0.484873   ,  0.000861297,  0.0557372  ])
1201    , -188.243    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557929  ])
1208    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1209    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1210    , -188.507    , array([ 0.00142267 ,  0.484873   ,  0.000860436,  0.0557372  ])
1211    , -188.117    , array([ 0.00142125 ,  0.485359   ,  0.000860436,  0.0557372  ])
1212    , -188.423    , array([ 0.00142125 ,  0.484873   ,  0.000861297,  0.0557372  ])
1213    , -188.243    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557929  ])
1220    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1221    , -188.465    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557372  ])
1222    , -188.507    , array([ 0.00142267 ,  0.484873   ,  0.000860436,  0.0557372  ])
1223    , -188.117    , array([ 0.00142125 ,  0.485359   ,  0.000860436,  0.0557372  ])
1224    , -188.423    , array([ 0.00142125 ,  0.484873   ,  0.000861297,  0.0557372  ])
1225    , -188.243    , array([ 0.00142125 ,  0.484873   ,  0.000860436,  0.0557929  ])
1226    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1227    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1228    , -164.454    , array([ 0.00103307 ,  0.511634   ,  0.000605042,  0.0581953  ])
1229    , -164.138    , array([ 0.00103203 ,  0.512146   ,  0.000605042,  0.0581953  ])
1230    , -164.409    , array([ 0.00103203 ,  0.511634   ,  0.000605648,  0.0581953  ])
1231    , -164.286    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0582535  ])
1238    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1239    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1240    , -164.454    , array([ 0.00103307 ,  0.511634   ,  0.000605042,  0.0581953  ])
1241    , -164.138    , array([ 0.00103203 ,  0.512146   ,  0.000605042,  0.0581953  ])
1242    , -164.409    , array([ 0.00103203 ,  0.511634   ,  0.000605648,  0.0581953  ])
1243    , -164.286    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0582535  ])
1250    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1251    , -164.431    , array([ 0.00103203 ,  0.511634   ,  0.000605042,  0.0581953  ])
1252    , -164.454    , array([ 0.00103307 ,  0.511634   ,  0.000605042,  0.0581953  ])
