122031  , -42723.4    , array([ 0.311137   ,  0.805956   ,  3.61986e-05,  1.36343e-07,  0.162472   ])
122032  , -42682.5    , array([ 0.311448   ,  0.805956   ,  3.61986e-05,  1.36343e-07,  0.162472   ])
122033  , -42735.5    , array([ 0.311137   ,  0.806762   ,  3.61986e-05,  1.36343e-07,  0.162472   ])
122034  , -42723.4    , array([ 0.311137   ,  0.805956   ,  3.62348e-05,  1.36343e-07,  0.162472   ])
122035  , -42723.4    , array([ 0.311137   ,  0.805956   ,  3.61986e-05,  1.36479e-07,  0.162472   ])
122036  , -42752.1    , array([ 0.311137   ,  0.805956   ,  3.61986e-05,  1.36343e-07,  0.162635   ])
122037  , -37850.1    , array([ 0.181713   ,  0.56277    ,  1.24687e-08,  1.36346e-07,  0.0625276  ])
122038  , -37850.1    , array([ 0.181713   ,  0.56277    ,  1.24687e-08,  1.36346e-07,  0.0625276  ])
122039  , -37816.8    , array([ 0.181895   ,  0.56277    ,  1.24687e-08,  1.36346e-07,  0.0625276  ])
122040  , -37863.6    , array([ 0.181713   ,  0.563333   ,  1.24687e-08,  1.36346e-07,  0.0625276  ])
122041  , -37850.1    , array([ 0.181713   ,  0.56277    ,  1.24811e-08,  1.36346e-07,  0.0625276  ])
122042  , -37850.1    , array([ 0.181713   ,  0.56277    ,  1.24687e-08,  1.36483e-07,  0.0625276  ])
122043  , -37865      , array([ 0.181713   ,  0.56277    ,  1.24687e-08,  1.36346e-07,  0.0625901  ])
122044  , -13610.9    , array([ 0.231442   ,  0.179215   ,  1.55005e-11,  1.36995e-07,  0.0370143  ])
122045  , -13610.9    , array([ 0.231442   ,  0.179215   ,  1.55005e-11,  1.36995e-07,  0.0370143  ])
122046  , -13596.2    , array([ 0.231674   ,  0.179215   ,  1.55005e-11,  1.36995e-07,  0.0370143  ])
122047  , -13622      , array([ 0.231442   ,  0.179394   ,  1.55005e-11,  1.36995e-07,  0.0370143  ])
122048  , -13610.9    , array([ 0.231442   ,  0.179215   ,  1.5516e-11 ,  1.36995e-07,  0.0370143  ])
122049  , -13610.9    , array([ 0.231442   ,  0.179215   ,  1.55005e-11,  1.37132e-07,  0.0370143  ])
122050  , -13612.7    , array([ 0.231442   ,  0.179215   ,  1.55005e-11,  1.36995e-07,  0.0370513  ])
122051  , -255232     , array([ 3.1777     ,  0.0458784  ,  1.03253    ,  1.38382e-07,  0.545707   ])
122052  , -255232     , array([ 3.1777     ,  0.0458784  ,  1.03253    ,  1.38382e-07,  0.545707   ])
122053  , -255257     , array([ 3.18088    ,  0.0458784  ,  1.03253    ,  1.38382e-07,  0.545707   ])
122054  , -255037     , array([ 3.1777     ,  0.0459243  ,  1.03253    ,  1.38382e-07,  0.545707   ])
122055  , -255177     , array([ 3.1777     ,  0.0458784  ,  1.03356    ,  1.38382e-07,  0.545707   ])
122056  , -255232     , array([ 3.1777     ,  0.0458784  ,  1.03253    ,  1.3852e-07 ,  0.545707   ])
122057  , -255340     , array([ 3.1777     ,  0.0458784  ,  1.03253    ,  1.38382e-07,  0.546253   ])
122058  , -12860.6    , array([ 0.241276   ,  0.175378   ,  2.30295e-11,  1.37017e-07,  0.0386307  ])
122059  , -12860.6    , array([ 0.241276   ,  0.175378   ,  2.30295e-11,  1.37017e-07,  0.0386307  ])
122060  , -12846      , array([ 0.241518   ,  0.175378   ,  2.30295e-11,  1.37017e-07,  0.0386307  ])
122061  , -12870.8    , array([ 0.241276   ,  0.175553   ,  2.30295e-11,  1.37017e-07,  0.0386307  ])
122062  , -12860.6    , array([ 0.241276   ,  0.175378   ,  2.30525e-11,  1.37017e-07,  0.0386307  ])
122063  , -12860.6    , array([ 0.241276   ,  0.175378   ,  2.30295e-11,  1.37154e-07,  0.0386307  ])
122064  , -12863.2    , array([ 0.241276   ,  0.175378   ,  2.30295e-11,  1.37017e-07,  0.0386694  ])
122065  , -9752.34    , array([ 0.312743   ,  0.153238   ,  2.71787e-10,  1.37154e-07,  0.0504275  ])
122066  , -9752.34    , array([ 0.312743   ,  0.153238   ,  2.71787e-10,  1.37154e-07,  0.0504275  ])
122067  , -9738.91    , array([ 0.313056   ,  0.153238   ,  2.71787e-10,  1.37154e-07,  0.0504275  ])
122068  , -9755.46    , array([ 0.312743   ,  0.153391   ,  2.71787e-10,  1.37154e-07,  0.0504275  ])
122069  , -9752.34    , array([ 0.312743   ,  0.153238   ,  2.72059e-10,  1.37154e-07,  0.0504275  ])
122070  , -9752.34    , array([ 0.312743   ,  0.153238   ,  2.71787e-10,  1.37291e-07,  0.0504275  ])
122071  , -9761.34    , array([ 0.312743   ,  0.153238   ,  2.71787e-10,  1.37154e-07,  0.050478   ])
122072  , -4671.74    , array([ 0.271815   ,  0.0631336  ,  6.2926e-14 ,  1.37552e-07,  0.0233925  ])
122073  , -4671.74    , array([ 0.271815   ,  0.0631336  ,  6.2926e-14 ,  1.37552e-07,  0.0233925  ])
122074  , -4665.69    , array([ 0.272086   ,  0.0631336  ,  6.2926e-14 ,  1.37552e-07,  0.0233925  ])
122075  , -4670.77    , array([ 0.271815   ,  0.0631968  ,  6.2926e-14 ,  1.37552e-07,  0.0233925  ])
122076  , -4671.74    , array([ 0.271815   ,  0.0631336  ,  6.2989e-14 ,  1.37552e-07,  0.0233925  ])
122077  , -4671.74    , array([ 0.271815   ,  0.0631336  ,  6.2926e-14 ,  1.37689e-07,  0.0233925  ])
122078  , -4677.7     , array([ 0.271815   ,  0.0631336  ,  6.2926e-14 ,  1.37552e-07,  0.0234159  ])
122079  , -3164.66    , array([ 0.23916    ,  0.0383183  ,  8.87805e-17,  1.37791e-07,  0.0130162  ])
122080  , -3164.66    , array([ 0.23916    ,  0.0383183  ,  8.87805e-17,  1.37791e-07,  0.0130162  ])
