38371   , -722.58     , array([ 0.417419   ,  0.449915   ,  2.19821e-27,  0.214388   ])
38372   , -721.606    , array([ 0.417419   ,  0.449465   ,  2.20041e-27,  0.214388   ])
38373   , -721.145    , array([ 0.417419   ,  0.449465   ,  2.19821e-27,  0.214602   ])
38374   , -716.696    , array([ 0.417419   ,  0.415828   ,  2.19821e-27,  0.188666   ])
38375   , -716.696    , array([ 0.417419   ,  0.415828   ,  2.19821e-27,  0.188666   ])
38376   , -716.696    , array([ 0.417836   ,  0.415828   ,  2.19821e-27,  0.188666   ])
38377   , -717.468    , array([ 0.417419   ,  0.416244   ,  2.19821e-27,  0.188666   ])
38378   , -716.696    , array([ 0.417419   ,  0.415828   ,  2.20041e-27,  0.188666   ])
38379   , -716.178    , array([ 0.417419   ,  0.415828   ,  2.19821e-27,  0.188855   ])
38386   , -716.694    , array([ 0.417419   ,  0.415834   ,  2.19821e-27,  0.18867    ])
38387   , -716.694    , array([ 0.417419   ,  0.415834   ,  2.19821e-27,  0.18867    ])
38388   , -716.694    , array([ 0.417836   ,  0.415834   ,  2.19821e-27,  0.18867    ])
38389   , -717.466    , array([ 0.417419   ,  0.41625    ,  2.19821e-27,  0.18867    ])
38390   , -716.694    , array([ 0.417419   ,  0.415834   ,  2.20041e-27,  0.18867    ])
38391   , -716.175    , array([ 0.417419   ,  0.415834   ,  2.19821e-27,  0.188859   ])
38392   , -716.687    , array([ 0.417419   ,  0.415852   ,  2.19821e-27,  0.188685   ])
38393   , -716.687    , array([ 0.417419   ,  0.415852   ,  2.19821e-27,  0.188685   ])
38394   , -716.687    , array([ 0.417836   ,  0.415852   ,  2.19821e-27,  0.188685   ])
38395   , -717.459    , array([ 0.417419   ,  0.416268   ,  2.19821e-27,  0.188685   ])
38396   , -716.687    , array([ 0.417419   ,  0.415852   ,  2.20041e-27,  0.188685   ])
38397   , -716.168    , array([ 0.417419   ,  0.415852   ,  2.19821e-27,  0.188874   ])
38404   , -716.686    , array([ 0.417419   ,  0.415854   ,  2.19821e-27,  0.188687   ])
38405   , -716.686    , array([ 0.417419   ,  0.415854   ,  2.19821e-27,  0.188687   ])
38406   , -716.686    , array([ 0.417836   ,  0.415854   ,  2.19821e-27,  0.188687   ])
38407   , -717.459    , array([ 0.417419   ,  0.41627    ,  2.19821e-27,  0.188687   ])
38408   , -716.686    , array([ 0.417419   ,  0.415854   ,  2.20041e-27,  0.188687   ])
38409   , -716.168    , array([ 0.417419   ,  0.415854   ,  2.19821e-27,  0.188875   ])
38410   , -716.684    , array([ 0.417419   ,  0.415858   ,  2.19821e-27,  0.18869    ])
38411   , -716.684    , array([ 0.417419   ,  0.415858   ,  2.19821e-27,  0.18869    ])
38412   , -716.684    , array([ 0.417836   ,  0.415858   ,  2.19821e-27,  0.18869    ])
38413   , -717.457    , array([ 0.417419   ,  0.416274   ,  2.19821e-27,  0.18869    ])
38414   , -716.684    , array([ 0.417419   ,  0.415858   ,  2.20041e-27,  0.18869    ])
38415   , -716.166    , array([ 0.417419   ,  0.415858   ,  2.19821e-27,  0.188879   ])
38416   , -3377.47    , array([ 0.417419   ,  2.37044    ,  2.19821e-27,  4.36249    ])
38417   , -3377.47    , array([ 0.417419   ,  2.37044    ,  2.19821e-27,  4.36249    ])
38418   , -3377.47    , array([ 0.417836   ,  2.37044    ,  2.19821e-27,  4.36249    ])
38419   , -3380.65    , array([ 0.417419   ,  2.37281    ,  2.19821e-27,  4.36249    ])
38420   , -3377.47    , array([ 0.417419   ,  2.37044    ,  2.20041e-27,  4.36249    ])
38421   , -3375.23    , array([ 0.417419   ,  2.37044    ,  2.19821e-27,  4.36686    ])
38422   , -713.748    , array([ 0.417419   ,  0.426393   ,  2.19821e-27,  0.197403   ])
38423   , -713.748    , array([ 0.417419   ,  0.426393   ,  2.19821e-27,  0.197403   ])
38424   , -713.748    , array([ 0.417836   ,  0.426393   ,  2.19821e-27,  0.197403   ])
38425   , -714.583    , array([ 0.417419   ,  0.426819   ,  2.19821e-27,  0.197403   ])
38426   , -713.748    , array([ 0.417419   ,  0.426393   ,  2.20041e-27,  0.197403   ])
38427   , -713.248    , array([ 0.417419   ,  0.426393   ,  2.19821e-27,  0.197601   ])
38428   , -707.822    , array([ 0.417419   ,  0.42592    ,  2.19821e-27,  0.1994     ])
38429   , -707.822    , array([ 0.417419   ,  0.42592    ,  2.19821e-27,  0.1994     ])
38430   , -707.822    , array([ 0.417836   ,  0.42592    ,  2.19821e-27,  0.1994     ])
38431   , -708.652    , array([ 0.417419   ,  0.426346   ,  2.19821e-27,  0.1994     ])
38432   , -707.822    , array([ 0.417419   ,  0.42592    ,  2.20041e-27,  0.1994     ])
38433   , -707.328    , array([ 0.417419   ,  0.42592    ,  2.19821e-27,  0.1996     ])
38434   , -684.784    , array([ 0.417419   ,  0.424034   ,  2.19821e-27,  0.207593   ])
38435   , -684.784    , array([ 0.417419   ,  0.424034   ,  2.19821e-27,  0.207593   ])
38436   , -684.784    , array([ 0.417836   ,  0.424034   ,  2.19821e-27,  0.207593   ])
38437   , -685.592    , array([ 0.417419   ,  0.424459   ,  2.19821e-27,  0.207593   ])
38438   , -684.784    , array([ 0.417419   ,  0.424034   ,  2.20041e-27,  0.207593   ])
38439   , -684.314    , array([ 0.417419   ,  0.424034   ,  2.19821e-27,  0.207801   ])
38440   , -604.431    , array([ 0.417419   ,  0.416575   ,  2.19821e-27,  0.243872   ])
38441   , -604.431    , array([ 0.417419   ,  0.416575   ,  2.19821e-27,  0.243872   ])
38442   , -604.431    , array([ 0.417836   ,  0.416575   ,  2.19821e-27,  0.243872   ])
38443   , -605.154    , array([ 0.417419   ,  0.416992   ,  2.19821e-27,  0.243872   ])
38444   , -604.431    , array([ 0.417419   ,  0.416575   ,  2.20041e-27,  0.243872   ])
38445   , -604.076    , array([ 0.417419   ,  0.416575   ,  2.19821e-27,  0.244116   ])
38446   , -463.752    , array([ 0.417419   ,  0.360836   ,  2.19821e-27,  0.339076   ])
38447   , -463.752    , array([ 0.417419   ,  0.360836   ,  2.19821e-27,  0.339076   ])
38448   , -463.752    , array([ 0.417836   ,  0.360836   ,  2.19821e-27,  0.339076   ])
38449   , -464.105    , array([ 0.417419   ,  0.361197   ,  2.19821e-27,  0.339076   ])
38450   , -463.752    , array([ 0.417419   ,  0.360836   ,  2.20041e-27,  0.339076   ])
38451   , -463.717    , array([ 0.417419   ,  0.360836   ,  2.19821e-27,  0.339415   ])
38452   , -426.327    , array([ 0.417419   ,  0.309098   ,  2.19821e-27,  0.344299   ])
38453   , -426.327    , array([ 0.417419   ,  0.309098   ,  2.19821e-27,  0.344299   ])
38454   , -426.327    , array([ 0.417836   ,  0.309098   ,  2.19821e-27,  0.344299   ])
38455   , -426.475    , array([ 0.417419   ,  0.309407   ,  2.19821e-27,  0.344299   ])
38456   , -426.327    , array([ 0.417419   ,  0.309098   ,  2.20041e-27,  0.344299   ])
38457   , -426.281    , array([ 0.417419   ,  0.309098   ,  2.19821e-27,  0.344644   ])
38458   , -412.955    , array([ 0.417419   ,  0.274345   ,  2.19821e-27,  0.370334   ])
38459   , -412.955    , array([ 0.417419   ,  0.274345   ,  2.19821e-27,  0.370334   ])
38460   , -412.955    , array([ 0.417836   ,  0.274345   ,  2.19821e-27,  0.370334   ])
38461   , -413.038    , array([ 0.417419   ,  0.274619   ,  2.19821e-27,  0.370334   ])
38462   , -412.955    , array([ 0.417419   ,  0.274345   ,  2.20041e-27,  0.370334   ])
38463   , -413.02     , array([ 0.417419   ,  0.274345   ,  2.19821e-27,  0.370704   ])
38464   , -403.823    , array([ 0.417419   ,  0.237465   ,  2.19821e-27,  0.356174   ])
38465   , -403.823    , array([ 0.417419   ,  0.237465   ,  2.19821e-27,  0.356174   ])
38466   , -403.823    , array([ 0.417836   ,  0.237465   ,  2.19821e-27,  0.356174   ])
38467   , -403.864    , array([ 0.417419   ,  0.237703   ,  2.19821e-27,  0.356174   ])
38468   , -403.823    , array([ 0.417419   ,  0.237465   ,  2.20041e-27,  0.356174   ])
38469   , -403.805    , array([ 0.417419   ,  0.237465   ,  2.19821e-27,  0.356531   ])
38470   , -401.166    , array([ 0.417419   ,  0.204566   ,  2.19821e-27,  0.360035   ])
38471   , -401.166    , array([ 0.417419   ,  0.204566   ,  2.19821e-27,  0.360035   ])
38472   , -401.166    , array([ 0.417836   ,  0.204566   ,  2.19821e-27,  0.360035   ])
38473   , -401.156    , array([ 0.417419   ,  0.20477    ,  2.19821e-27,  0.360035   ])
38474   , -401.166    , array([ 0.417419   ,  0.204566   ,  2.20041e-27,  0.360035   ])
38475   , -401.287    , array([ 0.417419   ,  0.204566   ,  2.19821e-27,  0.360395   ])
38476   , -398.63     , array([ 0.417419   ,  0.19567    ,  2.19821e-27,  0.347096   ])
38477   , -398.63     , array([ 0.417419   ,  0.19567    ,  2.19821e-27,  0.347096   ])
38478   , -398.63     , array([ 0.417836   ,  0.19567    ,  2.19821e-27,  0.347096   ])
38479   , -398.643    , array([ 0.417419   ,  0.195866   ,  2.19821e-27,  0.347096   ])
38480   , -398.63     , array([ 0.417419   ,  0.19567    ,  2.20041e-27,  0.347096   ])
38481   , -398.649    , array([ 0.417419   ,  0.19567    ,  2.19821e-27,  0.347443   ])
38482   , -396.708    , array([ 0.417419   ,  0.169656   ,  2.19821e-27,  0.331881   ])
38483   , -396.708    , array([ 0.417419   ,  0.169656   ,  2.19821e-27,  0.331881   ])
38484   , -396.708    , array([ 0.417836   ,  0.169656   ,  2.19821e-27,  0.331881   ])
38485   , -396.71     , array([ 0.417419   ,  0.169826   ,  2.19821e-27,  0.331881   ])
38486   , -396.708    , array([ 0.417419   ,  0.169656   ,  2.20041e-27,  0.331881   ])
38487   , -396.735    , array([ 0.417419   ,  0.169656   ,  2.19821e-27,  0.332213   ])
38488   , -395.789    , array([ 0.417419   ,  0.141414   ,  2.19821e-27,  0.310613   ])
38489   , -395.789    , array([ 0.417419   ,  0.141414   ,  2.19821e-27,  0.310613   ])
38490   , -395.789    , array([ 0.417836   ,  0.141414   ,  2.19821e-27,  0.310613   ])
38491   , -395.754    , array([ 0.417419   ,  0.141555   ,  2.19821e-27,  0.310613   ])
38492   , -395.789    , array([ 0.417419   ,  0.141414   ,  2.20041e-27,  0.310613   ])
