73678   , -79089.4    , array([ 0.0385564  ,  0.00183071 ,  2.24834e-10,  1.93896e-05,  9.5066e-13 ])
73679   , -79089.4    , array([ 0.0385949  ,  0.00183071 ,  2.24834e-10,  1.93896e-05,  9.5066e-13 ])
73680   , -79089.4    , array([ 0.0385564  ,  0.00183254 ,  2.24834e-10,  1.93896e-05,  9.5066e-13 ])
73681   , -79089.4    , array([ 0.0385564  ,  0.00183071 ,  2.25059e-10,  1.93896e-05,  9.5066e-13 ])
73682   , -79089.4    , array([ 0.0385564  ,  0.00183071 ,  2.24834e-10,  1.9409e-05 ,  9.5066e-13 ])
73683   , -79089.4    , array([ 0.0385564  ,  0.00183071 ,  2.24834e-10,  1.93896e-05,  9.51611e-13])
73684   , -79089.4    , array([ 0.0385564  ,  0.00183071 ,  2.24834e-10,  1.93896e-05,  9.5066e-13 ])
73685   , -79089.4    , array([ 0.0385556  ,  0.00182959 ,  2.24834e-10,  1.93896e-05,  9.51259e-13])
73686   , -79089.4    , array([ 0.0385556  ,  0.00182959 ,  2.24834e-10,  1.93896e-05,  9.51259e-13])
73687   , -79089.4    , array([ 0.0385942  ,  0.00182959 ,  2.24834e-10,  1.93896e-05,  9.51259e-13])
73688   , -79089.4    , array([ 0.0385556  ,  0.00183142 ,  2.24834e-10,  1.93896e-05,  9.51259e-13])
73689   , -79089.4    , array([ 0.0385556  ,  0.00182959 ,  2.25059e-10,  1.93896e-05,  9.51259e-13])
73690   , -79089.4    , array([ 0.0385556  ,  0.00182959 ,  2.24834e-10,  1.9409e-05 ,  9.51259e-13])
73691   , -79089.4    , array([ 0.0385556  ,  0.00182959 ,  2.24834e-10,  1.93896e-05,  9.52211e-13])
73692   , -79089.4    , array([ 0.0385526  ,  0.00182514 ,  2.24834e-10,  1.93896e-05,  9.53659e-13])
73693   , -79089.4    , array([ 0.0385526  ,  0.00182514 ,  2.24834e-10,  1.93896e-05,  9.53659e-13])
73694   , -79089.4    , array([ 0.0385912  ,  0.00182514 ,  2.24834e-10,  1.93896e-05,  9.53659e-13])
73695   , -79089.4    , array([ 0.0385526  ,  0.00182696 ,  2.24834e-10,  1.93896e-05,  9.53659e-13])
73696   , -79089.4    , array([ 0.0385526  ,  0.00182514 ,  2.25059e-10,  1.93896e-05,  9.53659e-13])
73697   , -79089.4    , array([ 0.0385526  ,  0.00182514 ,  2.24834e-10,  1.9409e-05 ,  9.53659e-13])
73698   , -79089.4    , array([ 0.0385526  ,  0.00182514 ,  2.24834e-10,  1.93896e-05,  9.54614e-13])
73699   , -79089.4    , array([ 0.0385405  ,  0.00180741 ,  2.24834e-10,  1.93896e-05,  9.63322e-13])
73700   , -79089.4    , array([ 0.0385405  ,  0.00180741 ,  2.24834e-10,  1.93896e-05,  9.63322e-13])
73701   , -79089.4    , array([ 0.0385791  ,  0.00180741 ,  2.24834e-10,  1.93896e-05,  9.63322e-13])
73702   , -79089.4    , array([ 0.0385405  ,  0.00180922 ,  2.24834e-10,  1.93896e-05,  9.63322e-13])
73703   , -79089.4    , array([ 0.0385405  ,  0.00180741 ,  2.25059e-10,  1.93896e-05,  9.63322e-13])
73704   , -79089.4    , array([ 0.0385405  ,  0.00180741 ,  2.24834e-10,  1.9409e-05 ,  9.63322e-13])
73705   , -79089.4    , array([ 0.0385405  ,  0.00180741 ,  2.24834e-10,  1.93896e-05,  9.64286e-13])
73706   , -79089.4    , array([ 0.0384921  ,  0.00173822 ,  2.24834e-10,  1.93896e-05,  1.00296e-12])
73707   , -79089.4    , array([ 0.0384921  ,  0.00173822 ,  2.24834e-10,  1.93896e-05,  1.00296e-12])
73708   , -79089.4    , array([ 0.0385307  ,  0.00173822 ,  2.24834e-10,  1.93896e-05,  1.00296e-12])
73709   , -79089.4    , array([ 0.0384921  ,  0.00173995 ,  2.24834e-10,  1.93896e-05,  1.00296e-12])
73710   , -79089.4    , array([ 0.0384921  ,  0.00173822 ,  2.25059e-10,  1.93896e-05,  1.00296e-12])
73711   , -79089.4    , array([ 0.0384921  ,  0.00173822 ,  2.24834e-10,  1.9409e-05 ,  1.00296e-12])
73712   , -79089.4    , array([ 0.0384921  ,  0.00173822 ,  2.24834e-10,  1.93896e-05,  1.00396e-12])
73713   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73714   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73715   , -79089.4    , array([ 0.0383376  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73716   , -79089.4    , array([ 0.0382993  ,  0.00148842 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73717   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.25059e-10,  1.93896e-05,  1.17851e-12])
73718   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.9409e-05 ,  1.17851e-12])
73719   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17969e-12])
73727   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73728   , -79089.4    , array([ 0.0382993  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
73729   , -79089.4    , array([ 0.0383376  ,  0.00148693 ,  2.24834e-10,  1.93896e-05,  1.17851e-12])
