24605   , -79089.4    , array([ 0.164093   ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24606   , -79089.4    , array([ 0.164093   ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24607   , -79089.4    , array([ 1.16409    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24608   , -79089.4    , array([ 2.78213    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24609   , -79089.4    , array([ 1.16409    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24610   , -79089.4    , array([ 1.78213    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24611   , -79089.4    , array([ 2.16409    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24612   , -79089.4    , array([ 2.40016    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24613   , -79089.4    , array([ 2.54606    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24614   , -79089.4    , array([ 2.63623    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24615   , -79089.4    , array([ 2.69196    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24616   , -79089.4    , array([ 2.7264     ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24617   , -79089.4    , array([ 2.75202    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24618   , -79089.4    , array([ 2.75202    ,  1.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24619   , -79089.4    , array([ 2.75202    ,  2.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24620   , -79089.4    , array([ 2.75202    ,  4.46406    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24621   , -79089.4    , array([ 2.75202    ,  2.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24622   , -79089.4    , array([ 2.75202    ,  3.46406    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24623   , -79089.4    , array([ 2.75202    ,  3.84603    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24624   , -79089.4    , array([ 2.75202    ,  4.0821     ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24625   , -79089.4    , array([ 2.75202    ,  4.22799    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24626   , -79089.4    , array([ 2.75202    ,  4.31816    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24627   , -79089.4    , array([ 2.75202    ,  4.37389    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24628   , -79089.4    , array([ 2.75202    ,  4.40833    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24629   , -79089.4    , array([ 2.75202    ,  4.43396    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24630   , -79089.4    , array([ 2.75202    ,  4.43396    ,  0.40533    ,  7.15164e-52,  2.5955e-31 ])
24631   , -79089.4    , array([ 2.75202    ,  4.43396    ,  1.40533    ,  7.15164e-52,  2.5955e-31 ])
24632   , -79089.4    , array([ 2.75202    ,  4.43396    ,  3.02336    ,  7.15164e-52,  2.5955e-31 ])
24633   , -79089.4    , array([ 2.75202    ,  4.43396    ,  1.40533    ,  7.15164e-52,  2.5955e-31 ])
24634   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.02336    ,  7.15164e-52,  2.5955e-31 ])
24635   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.40533    ,  7.15164e-52,  2.5955e-31 ])
24636   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.6414     ,  7.15164e-52,  2.5955e-31 ])
24637   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.7873     ,  7.15164e-52,  2.5955e-31 ])
24638   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.87747    ,  7.15164e-52,  2.5955e-31 ])
24639   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.93319    ,  7.15164e-52,  2.5955e-31 ])
24640   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.96764    ,  7.15164e-52,  2.5955e-31 ])
24641   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  7.15164e-52,  2.5955e-31 ])
24642   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  7.15164e-52,  2.5955e-31 ])
24643   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  1          ,  2.5955e-31 ])
24644   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.61803    ,  2.5955e-31 ])
24645   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  1          ,  2.5955e-31 ])
24646   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  1.61803    ,  2.5955e-31 ])
24647   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2          ,  2.5955e-31 ])
24648   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.23607    ,  2.5955e-31 ])
24649   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.38197    ,  2.5955e-31 ])
24650   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.47214    ,  2.5955e-31 ])
24651   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.52786    ,  2.5955e-31 ])
24652   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.56231    ,  2.5955e-31 ])
24653   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  2.5955e-31 ])
24654   , -79089.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  2.5955e-31 ])
24655   , -64992.7    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  1          ])
24656   , -63748.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  2.61803    ])
24657   , -65124.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  1.88455    ])
24658   , -64992.7    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  1          ])
24659   , -62942.8    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.618034   ])
24660   , -60102      , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.381966   ])
24661   , -57782.8    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.236068   ])
24662   , -57272.2    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.145898   ])
24663   , -57575.2    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.125657   ])
24664   , -57204.4    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.175829   ])
24665   , -57347.9    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.198838   ])
24666   , -57188.8    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.167912   ])
24667   , -57188.3    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24668   , -57188.7    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.164571   ])
24669   , -82994.5    , array([ 5.33995    ,  7.02189    ,  5.58119    ,  5.17586    ,  0.332467   ])
24670   , -57188.3    , array([ 2.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24671   , -60483      , array([ 3.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24672   , -48218.6    , array([ 1.13399    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24674   , -48218.6    , array([ 1.13399    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24675   , -80754.8    , array([ 0.133988   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24676   , -52235      , array([ 1.75202    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24677   , -49376.9    , array([ 1.30832    ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24678   , -46351.4    , array([ 0.752022   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24679   , -47350.2    , array([ 0.515954   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24680   , -46402      , array([ 0.777358   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24681   , -46317.8    , array([ 0.722791   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24682   , -46396.3    , array([ 0.643786   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24683   , -46312.2    , array([ 0.702499   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24684   , -46323.4    , array([ 0.682003   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24685   , -46312.2    , array([ 0.702499   ,  4.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24686   , -47925.3    , array([ 0.702499   ,  5.43396    ,  2.99326    ,  2.58793    ,  0.166233   ])
24687   , -41714.4    , array([ 0.702499   ,  2.81592    ,  2.99326    ,  2.58793    ,  0.166233   ])
24688   , -3252.74    , array([ 0.702499   ,  0.197889   ,  2.99326    ,  2.58793    ,  0.166233   ])
24690   , -3252.74    , array([ 0.702499   ,  0.197889   ,  2.99326    ,  2.58793    ,  0.166233   ])
24692   , -28947.5    , array([ 0.702499   ,  1.19789    ,  2.99326    ,  2.58793    ,  0.166233   ])
24693   , -18903.5    , array([ 0.702499   ,  0.697345   ,  2.99326    ,  2.58793    ,  0.166233   ])
24696   , -8933.73    , array([ 0.702499   ,  0.388664   ,  2.99326    ,  2.58793    ,  0.166233   ])
24697   , -7175.01    , array([ 0.702499   ,  0.107719   ,  2.99326    ,  2.58793    ,  0.166233   ])
24698   , -3949.81    , array([ 0.702499   ,  0.24025    ,  2.99326    ,  2.58793    ,  0.166233   ])
24699   , -3650.59    , array([ 0.702499   ,  0.155529   ,  2.99326    ,  2.58793    ,  0.166233   ])
24700   , -3252.74    , array([ 0.702499   ,  0.197889   ,  2.99326    ,  2.58793    ,  0.166233   ])
24701   , -2617.22    , array([ 0.702499   ,  0.197889   ,  3.99326    ,  2.58793    ,  0.166233   ])
24702   , -2365.62    , array([ 0.702499   ,  0.197889   ,  5.61129    ,  2.58793    ,  0.166233   ])
24703   , -2357.59    , array([ 0.702499   ,  0.197889   ,  5.22632    ,  2.58793    ,  0.166233   ])
24704   , -2357.59    , array([ 0.702499   ,  0.197889   ,  5.22632    ,  2.58793    ,  0.166233   ])
24705   , -2400.83    , array([ 0.702499   ,  0.197889   ,  4.75534    ,  2.58793    ,  0.166233   ])
24706   , -2366.81    , array([ 0.702499   ,  0.197889   ,  5.04642    ,  2.58793    ,  0.166233   ])
24707   , -2356.15    , array([ 0.702499   ,  0.197889   ,  5.32048    ,  2.58793    ,  0.166233   ])
24708   , -2356.14    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  2.58793    ,  0.166233   ])
24709   , -2356.27    , array([ 0.702499   ,  0.197889   ,  5.36726    ,  2.58793    ,  0.166233   ])
24710   , -2356.14    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  2.58793    ,  0.166233   ])
24711   , -2984.45    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  3.58793    ,  0.166233   ])
24712   , -2689.51    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  0.969895   ,  0.166233   ])
24713   , -2356.14    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  2.58793    ,  0.166233   ])
24714   , -2217.98    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.96989    ,  0.166233   ])
24715   , -2273.05    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.58793    ,  0.166233   ])
24716   , -2218.08    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.97608    ,  0.166233   ])
24717   , -2217.84    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95238    ,  0.166233   ])
24718   , -2225.38    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.81317    ,  0.166233   ])
24719   , -2217.84    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.94603    ,  0.166233   ])
24720   , -2217.86    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95874    ,  0.166233   ])
24721   , -2217.84    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95238    ,  0.166233   ])
24722   , -5349.2     , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95238    ,  1.16623    ])
24724   , -2217.84    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95238    ,  0.166233   ])
24726   , -4189.52    , array([ 0.702499   ,  0.197889   ,  5.34375    ,  1.95238    ,  0.548199   ])
