4032    , -79089.4    , array([ 4.99979    ,  0.0869221  ,  4.72177e-48,  2.10153e-49,  1.55667e-10])
4033    , -79089.4    , array([ 5.0048     ,  0.0869221  ,  4.72177e-48,  2.10153e-49,  1.55667e-10])
4034    , -79089.4    , array([ 4.99979    ,  0.087009   ,  4.72177e-48,  2.10153e-49,  1.55667e-10])
4035    , -79089.4    , array([ 4.99979    ,  0.0869221  ,  4.72649e-48,  2.10153e-49,  1.55667e-10])
4036    , -79089.4    , array([ 4.99979    ,  0.0869221  ,  4.72177e-48,  2.10363e-49,  1.55667e-10])
4037    , -79089.4    , array([ 4.99979    ,  0.0869221  ,  4.72177e-48,  2.10153e-49,  1.55823e-10])
4038    , -79089.4    , array([ 4.99979    ,  0.0869221  ,  4.72177e-48,  2.10153e-49,  1.55667e-10])
4039    , -79089.4    , array([ 4.99967    ,  0.0867394  ,  4.72177e-48,  2.10153e-49,  1.56e-10   ])
4040    , -79089.4    , array([ 4.99967    ,  0.0867394  ,  4.72177e-48,  2.10153e-49,  1.56e-10   ])
4041    , -79089.4    , array([ 5.00467    ,  0.0867394  ,  4.72177e-48,  2.10153e-49,  1.56e-10   ])
4042    , -79089.4    , array([ 4.99967    ,  0.0868262  ,  4.72177e-48,  2.10153e-49,  1.56e-10   ])
4043    , -79089.4    , array([ 4.99967    ,  0.0867394  ,  4.72649e-48,  2.10153e-49,  1.56e-10   ])
4044    , -79089.4    , array([ 4.99967    ,  0.0867394  ,  4.72177e-48,  2.10363e-49,  1.56e-10   ])
4045    , -79089.4    , array([ 4.99967    ,  0.0867394  ,  4.72177e-48,  2.10153e-49,  1.56156e-10])
4046    , -79089.4    , array([ 4.99918    ,  0.0860127  ,  4.72177e-48,  2.10153e-49,  1.57336e-10])
4047    , -79089.4    , array([ 4.99918    ,  0.0860127  ,  4.72177e-48,  2.10153e-49,  1.57336e-10])
4048    , -79089.4    , array([ 5.00418    ,  0.0860127  ,  4.72177e-48,  2.10153e-49,  1.57336e-10])
4049    , -79089.4    , array([ 4.99918    ,  0.0860988  ,  4.72177e-48,  2.10153e-49,  1.57336e-10])
4050    , -79089.4    , array([ 4.99918    ,  0.0860127  ,  4.72649e-48,  2.10153e-49,  1.57336e-10])
4051    , -79089.4    , array([ 4.99918    ,  0.0860127  ,  4.72177e-48,  2.10363e-49,  1.57336e-10])
4052    , -79089.4    , array([ 4.99918    ,  0.0860127  ,  4.72177e-48,  2.10153e-49,  1.57494e-10])
4053    , -79089.4    , array([ 4.9972     ,  0.0831663  ,  4.72177e-48,  2.10153e-49,  1.62798e-10])
4054    , -79089.4    , array([ 4.9972     ,  0.0831663  ,  4.72177e-48,  2.10153e-49,  1.62798e-10])
4055    , -79089.4    , array([ 5.0022     ,  0.0831663  ,  4.72177e-48,  2.10153e-49,  1.62798e-10])
4056    , -79089.4    , array([ 4.9972     ,  0.0832495  ,  4.72177e-48,  2.10153e-49,  1.62798e-10])
4057    , -79089.4    , array([ 4.9972     ,  0.0831663  ,  4.72649e-48,  2.10153e-49,  1.62798e-10])
4058    , -79089.4    , array([ 4.9972     ,  0.0831663  ,  4.72177e-48,  2.10363e-49,  1.62798e-10])
4059    , -79089.4    , array([ 4.9972     ,  0.0831663  ,  4.72177e-48,  2.10153e-49,  1.62961e-10])
4060    , -79089.4    , array([ 4.9893     ,  0.0726919  ,  4.72177e-48,  2.10153e-49,  1.86607e-10])
4061    , -79089.4    , array([ 4.9893     ,  0.0726919  ,  4.72177e-48,  2.10153e-49,  1.86607e-10])
4062    , -79089.4    , array([ 4.99429    ,  0.0726919  ,  4.72177e-48,  2.10153e-49,  1.86607e-10])
4063    , -79089.4    , array([ 4.9893     ,  0.0727646  ,  4.72177e-48,  2.10153e-49,  1.86607e-10])
4064    , -79089.4    , array([ 4.9893     ,  0.0726919  ,  4.72649e-48,  2.10153e-49,  1.86607e-10])
4065    , -79089.4    , array([ 4.9893     ,  0.0726919  ,  4.72177e-48,  2.10363e-49,  1.86607e-10])
4066    , -79089.4    , array([ 4.9893     ,  0.0726919  ,  4.72177e-48,  2.10153e-49,  1.86793e-10])
4067    , -79089.4    , array([ 4.95782    ,  0.0424268  ,  4.72177e-48,  2.10153e-49,  3.22139e-10])
4068    , -79089.4    , array([ 4.95782    ,  0.0424268  ,  4.72177e-48,  2.10153e-49,  3.22139e-10])
4069    , -79089.4    , array([ 4.96278    ,  0.0424268  ,  4.72177e-48,  2.10153e-49,  3.22139e-10])
4070    , -79089.4    , array([ 4.95782    ,  0.0424692  ,  4.72177e-48,  2.10153e-49,  3.22139e-10])
4071    , -79089.4    , array([ 4.95782    ,  0.0424268  ,  4.72649e-48,  2.10153e-49,  3.22139e-10])
4072    , -79089.4    , array([ 4.95782    ,  0.0424268  ,  4.72177e-48,  2.10363e-49,  3.22139e-10])
4073    , -79089.4    , array([ 4.95782    ,  0.0424268  ,  4.72177e-48,  2.10153e-49,  3.22461e-10])
4074    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4075    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4076    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4077    , -79088.8    , array([ 4.83388    ,  0.00492824 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4078    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4079    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4080    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4088    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4089    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4090    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4091    , -79088.8    , array([ 4.83388    ,  0.00492824 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4092    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4093    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4094    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4095    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4096    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4097    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4098    , -79088.8    , array([ 4.83388    ,  0.00492823 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4099    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4100    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4101    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4109    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4110    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4111    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4112    , -79088.8    , array([ 4.83388    ,  0.00492823 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4113    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4114    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4115    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4116    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4117    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4118    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4119    , -79088.8    , array([ 4.83388    ,  0.00492823 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4120    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4121    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4122    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4130    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4131    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4132    , -79088.8    , array([ 4.83871    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4133    , -79088.8    , array([ 4.83388    ,  0.00492823 ,  4.72177e-48,  2.10153e-49,  2.86091e-09])
4134    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72649e-48,  2.10153e-49,  2.86091e-09])
4135    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10363e-49,  2.86091e-09])
4136    , -79088.8    , array([ 4.83388    ,  0.00492331 ,  4.72177e-48,  2.10153e-49,  2.86378e-09])
4137    , -79088.5    , array([ 4.82568    ,  0.00426169 ,  4.72177e-48,  2.10153e-49,  3.31174e-09])
4138    , -79088.5    , array([ 4.82568    ,  0.00426169 ,  4.72177e-48,  2.10153e-49,  3.31174e-09])
4139    , -79088.5    , array([ 4.83051    ,  0.00426169 ,  4.72177e-48,  2.10153e-49,  3.31174e-09])
4140    , -79088.5    , array([ 4.82568    ,  0.00426595 ,  4.72177e-48,  2.10153e-49,  3.31174e-09])
