3544    , -2456.01    , array([ 2.62668    ,  0.00918153 ,  0.00924698 ,  1.65182e-25])
3545    , -2456.09    , array([ 2.62931    ,  0.00918153 ,  0.00924698 ,  1.65182e-25])
3546    , -2456.01    , array([ 2.62668    ,  0.00919072 ,  0.00924698 ,  1.65182e-25])
3547    , -2456.14    , array([ 2.62668    ,  0.00918153 ,  0.00925623 ,  1.65182e-25])
3548    , -2456.01    , array([ 2.62668    ,  0.00918153 ,  0.00924698 ,  1.65347e-25])
3549    , -2456.01    , array([ 2.62668    ,  0.00918153 ,  0.00924698 ,  1.65182e-25])
3550    , -2363.87    , array([ 1.54173    ,  0.00918153 ,  0.00392071 ,  1.65182e-25])
3551    , -2363.87    , array([ 1.54173    ,  0.00918153 ,  0.00392071 ,  1.65182e-25])
3552    , -2363.92    , array([ 1.54327    ,  0.00918153 ,  0.00392071 ,  1.65182e-25])
3553    , -2363.87    , array([ 1.54173    ,  0.00919072 ,  0.00392071 ,  1.65182e-25])
3554    , -2363.89    , array([ 1.54173    ,  0.00918153 ,  0.00392463 ,  1.65182e-25])
3555    , -2363.87    , array([ 1.54173    ,  0.00918153 ,  0.00392071 ,  1.65347e-25])
3556    , -4127.25    , array([ 0.0212957  ,  0.00918153 ,  0.0124705  ,  1.65182e-25])
3557    , -4127.25    , array([ 0.0212957  ,  0.00918153 ,  0.0124705  ,  1.65182e-25])
3558    , -4123.83    , array([ 0.021317   ,  0.00918153 ,  0.0124705  ,  1.65182e-25])
3559    , -4127.25    , array([ 0.0212957  ,  0.00919072 ,  0.0124705  ,  1.65182e-25])
3560    , -4129.92    , array([ 0.0212957  ,  0.00918153 ,  0.012483   ,  1.65182e-25])
3561    , -4127.25    , array([ 0.0212957  ,  0.00918153 ,  0.0124705  ,  1.65347e-25])
3562    , -2191.58    , array([ 0.400614   ,  0.00918153 ,  0.00564307 ,  1.65182e-25])
3563    , -2191.58    , array([ 0.400614   ,  0.00918153 ,  0.00564307 ,  1.65182e-25])
3564    , -2191.8     , array([ 0.401014   ,  0.00918153 ,  0.00564307 ,  1.65182e-25])
3565    , -2191.58    , array([ 0.400614   ,  0.00919072 ,  0.00564307 ,  1.65182e-25])
3566    , -2191.45    , array([ 0.400614   ,  0.00918153 ,  0.00564872 ,  1.65182e-25])
3567    , -2191.58    , array([ 0.400614   ,  0.00918153 ,  0.00564307 ,  1.65347e-25])
3568    , -1708.22    , array([ 0.0933472  ,  0.00918153 ,  0.00836487 ,  1.65182e-25])
3569    , -1708.22    , array([ 0.0933472  ,  0.00918153 ,  0.00836487 ,  1.65182e-25])
3570    , -1708.32    , array([ 0.0934406  ,  0.00918153 ,  0.00836487 ,  1.65182e-25])
