Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-2180.5	4371.0	1672.79	3489.43	5.3576,0.6652,0.5162,1.2322,30.0
our_model	Round_1_Replicate_2	-1580.53	3171.06	534.71	19516.09	0.9955,0.1667,5.3687,0.4021,0.0738
our_model	Round_1_Replicate_3	-1361.46	2732.92	103.34	20019.13	0.9691,0.1122,5.5435,0.8121,0.0494
our_model	Round_1_Replicate_4	-1314.37	2638.74	6.87	19971.9	0.9929,0.1059,5.088,2.1302,0.0519
our_model	Round_1_Replicate_5	-2169.78	4349.56	1651.71	7045.33	2.6505,0.3271,1.0452,2.5062,30.0
our_model	Round_1_Replicate_6	-1382.25	2774.5	143.96	19871.44	0.9723,0.1295,5.446,0.9061,0.0592
our_model	Round_1_Replicate_7	-1397.71	2805.42	174.52	19856.76	0.9655,0.1334,5.4997,0.9074,0.0611
our_model	Round_1_Replicate_8	-1703.2	3416.4	783.46	19166.22	4.4629,0.0667,1.3762,2.7667,0.0275
our_model	Round_1_Replicate_9	-2038.88	4087.76	1400.21	6170.28	3.1312,0.3025,0.9256,2.7753,30.0
our_model	Round_1_Replicate_10	-1541.72	3093.44	455.73	19205.79	2.2753,0.08,2.5352,2.8981,0.0354
our_model	Round_2_Replicate_1	-1315.17	2640.34	8.51	20044.32	1.005,0.0919,4.923,2.9737,0.0461
our_model	Round_2_Replicate_2	-1316.77	2643.54	11.79	20026.65	1.0195,0.0913,4.877,2.6551,0.0443
our_model	Round_2_Replicate_3	-1310.97	2631.94	0.07	20003.62	0.9956,0.1003,4.9957,2.4969,0.0502
our_model	Round_2_Replicate_4	-1313.26	2636.52	4.64	19977.68	0.9916,0.1059,5.0988,2.2499,0.0527
our_model	Round_2_Replicate_5	-1347.59	2705.18	74.84	20116.1	1.0094,0.0795,4.6733,2.7059,0.0365
our_model	Round_2_Replicate_6	-1332.27	2674.54	42.33	20062.81	0.929,0.1167,5.426,2.056,0.0606
our_model	Round_2_Replicate_7	-1325.54	2661.08	29.5	20073.73	0.9557,0.1063,5.4277,1.5944,0.0499
our_model	Round_2_Replicate_8	-1318.66	2647.32	15.3	19947.7	1.0376,0.0918,4.4573,2.8133,0.0447
our_model	Round_2_Replicate_9	-1311.82	2633.64	1.79	20009.16	1.0058,0.0967,4.9366,2.5416,0.0477
our_model	Round_2_Replicate_10	-1334.74	2679.48	47.46	19986.07	0.9516,0.1176,5.351,1.6571,0.0571
our_model	Round_2_Replicate_11	-1310.97	2631.94	0.09	20007.84	0.997,0.0994,4.9875,2.5379,0.0497
our_model	Round_2_Replicate_12	-1313.72	2637.44	5.55	19975.04	1.021,0.0946,4.7101,2.7509,0.0467
our_model	Round_2_Replicate_13	-1312.72	2635.44	3.59	20036.1	1.0018,0.0948,4.977,2.6244,0.0469
our_model	Round_2_Replicate_14	-1312.71	2635.42	3.56	20057.41	0.975,0.0966,4.975,2.7055,0.0482
our_model	Round_2_Replicate_15	-1347.47	2704.94	74.0	20192.92	0.9709,0.0769,4.7691,3.9573,0.0385
our_model	Round_2_Replicate_16	-1311.88	2633.76	1.9	19998.9	0.9943,0.1035,5.1262,2.3339,0.0519
our_model	Round_2_Replicate_17	-1314.46	2638.92	7.04	20027.14	0.9662,0.1065,5.1761,2.1729,0.0531
our_model	Round_2_Replicate_18	-1319.08	2648.16	16.09	19962.96	1.0217,0.0929,4.4585,2.5962,0.0446
our_model	Round_2_Replicate_19	-1314.67	2639.34	7.54	20020.62	1.0167,0.0929,4.9042,2.6563,0.0455
our_model	Round_2_Replicate_20	-1314.07	2638.14	6.27	19895.02	1.0425,0.1044,4.9668,2.4428,0.0528
